Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9			-1	-1	1	8	455	100	0	
2	9	Fa5	F5	340	340	1	16	227	95	96	ARANAÐME
3	9	Mi5	E5	336	336	1	16	227	95	96	.
4	9	Fa5	F5	340	340	1	8	455	50	96	.
5	9	Sol5	G5	349	349	1	8	455	50	96	.
6	9	La5	A5	358	358	3	16	682	95	114	.
7	9	Sol5	G5	349	349	1	16	227	95	102	.
8	9	Fa5	F5	340	340	1	8	455	95	90	.
9	9	Mi5	E5	336	336	1	8	455	95	78	.
10	9	Sol5	G5	349	349	3	16	682	95	114	.
11	9	Fa5	F5	340	340	1	16	227	95	102	.
12	9	Mi5	E5	336	336	1	8	455	95	90	.
13	9	Re5	D5	327	327	1	8	455	95	78	.
14	9	Mi5	E5	336	336	1	8	455	95	84	.
15	9	Fa5	F5	340	340	1	8	455	95	84	.
16	9	Sol5	G5	349	349	1	16	227	95	114	.
17	9	Fa5	F5	340	340	1	16	227	95	105	.
18	9	Mi5	E5	336	336	1	16	227	95	96	.
19	9	Re5	D5	327	327	1	16	227	95	87	.
20	9	Do5	C5	318	318	3	8	1364	95	78	.
21	8	Mi6	E6	389	389	1	64	57	95	96	.
22	9	Re6	D6	380	380	1	8	455	95	96	.
23	9	Do6	C6	371	371	1	8	455	95	96	.
24	9	Si5b5	B5b5	362	362	1	8	455	95	96	.
25	9	La5	A5	358	358	1	8	455	95	96	.
26	9	Do6	C6	371	371	1	8	455	95	96	.
27	8	Do6	C6	371	371	1	64	57	95	96	.
28	9	Si5b5	B5b5	362	362	1	8	455	95	96	.
29	9	La5	A5	358	358	1	8	455	95	96	.
30	9	Sol5	G5	349	349	1	8	455	95	96	.
31	9	La5	A5	358	358	1	8	455	95	96	.
32	9	Do6	C6	371	371	1	16	227	95	96	.
33	9	Si5b5	B5b5	362	362	1	16	227	95	96	.
34	9	La5	A5	358	358	1	16	227	95	96	.
35	9	Sol5	G5	349	349	1	16	227	95	96	.
36	9	Fa5	F5	340	340	1	2	1818	95	96	.
37	9	Sol5	G5	349	349	1	8	455	95	78	.
38	9	La5	A5	358	358	1	8	455	95	84	.
39	9	Si5b5	B5b5	362	362	3	16	682	95	90	.
40	10	La5	A5	358	358	7	128	199	95	96	.
41	8	Si5b5	B5b5	362	362	1	128	28	95	102	.
42	9	Sol5	G5	349	349	1	8	455	95	108	.
43	9	Si5b5	B5b5	362	362	1	8	455	95	114	.
44	9	La5	A5	358	358	3	16	682	95	96	.
45	9	Sol5	G5	349	349	1	16	227	95	96	.
46	9	Fa5	F5	340	340	1	8	455	95	96	.
47	9	La5	A5	358	358	1	8	455	95	96	.
48	9	Sol5	G5	349	349	3	16	682	95	96	.
49	9	Fa5	F5	340	340	1	16	227	95	96	.
50	9	Mi5	E5	336	336	1	8	455	95	96	.
51	9	Sol5	G5	349	349	1	8	455	95	96	.
52	9	Fa5	F5	340	340	3	16	682	95	96	.
53	9	Mi5	E5	336	336	1	16	227	95	96	.
54	9	Re5	D5	327	327	1	8	455	95	96	.
55	9	Fa5	F5	340	340	1	8	455	95	96	.
56	9	Mi5	E5	336	336	1	8	455	95	96	.
57	9	Re5	D5	327	327	1	8	455	95	96	.
58	9	Do5	C5	318	318	3	16	682	95	96	.
59	9	Si4b5	B4b5	309	309	1	16	227	95	96	.
60	9	La4	A4	305	305	1	8	455	95	96	.
61	9	Fa5	F5	340	340	1	8	455	95	96	.
62	8	Fa5	F5	340	340	1	64	57	95	96	.
63	9	Mi5	E5	336	336	1	8	455	95	96	.
64	9	Re5	D5	327	327	1	8	455	95	96	.
65	9	Do5	C5	318	318	1	8	455	95	96	.
66	9	Si4b5	B4b5	309	309	1	8	455	95	96	.
