Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	3	8	938	95	96		0.375
2	9	La5	A5	358	358	1	8	312	95	96		0.5
3	9	Sol5	G5	349	349	3	16	469	95	96		0.6875
4	9	Fa5	F5	340	340	1	16	156	95	96		0.75
5	9	Mi5	E5	336	336	1	8	312	95	96		0.875
6	9	Fa5	F5	340	340	1	8	312	95	96		1.0
7	9	Sol5	G5	349	349	1	16	156	95	96		1.0625
8	9	Fa5	F5	340	340	1	16	156	95	96		1.125
9	9	Sol5	G5	349	349	1	16	156	95	96		1.1875
10	9	La5	A5	358	358	1	16	156	95	96		1.25
11	9	Sol5	G5	349	349	1	8	312	95	96		1.375
12	9	Fa5	F5	340	340	1	8	312	95	96		1.5
13	9	Mi5	E5	336	336	1	16	156	95	96		1.5625
14	9	Fa5	F5	340	340	1	16	156	95	96		1.625
15	9	Mi5	E5	336	336	1	16	156	95	96		1.6875
16	9	Re5	D5	327	327	1	16	156	95	96		1.75
17	9	Do5	C5	318	318	1	8	312	95	96		1.875
18	9	Re5	D5	327	327	1	8	312	95	96		2.0
19	9	Do5	C5	318	318	1	4	625	95	96		2.25
20	9	Re5	D5	327	327	1	8	312	95	96		2.375
21	9	Mi5	E5	336	336	1	8	312	95	96		2.5
22	9	Fa5	F5	340	340	1	8	312	95	96		2.625
23	9	Sol5	G5	349	349	1	8	312	95	96		2.75
24	9	Fa5	F5	340	340	1	8	312	95	96		2.875
25	9	Mi5	E5	336	336	1	8	312	95	96		3.0
26	9	Fa5	F5	340	340	3	16	469	95	96		3.1875
27	9	Mi5	E5	336	336	1	16	156	95	96		3.25
28	9	Fa5	F5	340	340	1	8	312	95	96		3.375
29	9	Sol5	G5	349	349	1	8	312	95	96		3.5
30	9	Fa5	F5	340	340	1	4	625	95	96		3.75
31	9	Sol5	G5	349	349	1	8	312	95	96		3.875
32	9	La5	A5	358	358	1	8	312	95	96		4.0
33	9	Sol5	G5	349	349	3	16	469	95	96		4.1875
34	9	Fa5	F5	340	340	1	16	156	95	96		4.25
35	9	Mi5	E5	336	336	1	8	312	95	96		4.375
36	9	Fa5	F5	340	340	1	8	312	95	96		4.5
37	9	Mi5	E5	336	336	1	4	625	95	96		4.75
38	9	Fa5	F5	340	340	1	4	625	95	96		5.0
39	9	Sol5	G5	349	349	1	8	312	95	96		5.125
40	9	La5	A5	358	358	1	8	312	95	96		5.25
41	9	Sol5	G5	349	349	1	8	312	95	96		5.375
42	9	Fa5#4	F5#4	344	344	1	8	312	95	96		5.5
43	9	Sol5	G5	349	349	1	8	312	95	96		5.625
44	9	La5	A5	358	358	1	8	312	95	96		5.75
45	9	La5	A5	358	358	1	4	625	95	96		6.0
46	9	La5	A5	358	358	1	4	625	95	96		6.25
47	9	Sol5	G5	349	349	1	8	312	95	96		6.375
48	9	La5	A5	358	358	1	8	312	95	96		6.5
49	9	Sol5	G5	349	349	1	4	625	95	96		6.75
50	9	Do6	C6	371	371	1	8	312	95	96		6.875
51	9	Si5b1	B5b1	366	366	1	16	156	95	96		6.9375
52	9	Do6	C6	371	371	1	16	156	95	96		7.0
53	9	Re6	D6	380	380	1	8	312	95	96		7.125
54	9	Do6	C6	371	371	1	16	156	95	96		7.1875
55	9	Si5b1	B5b1	366	366	1	16	156	95	96		7.25
56	9	La5	A5	358	358	1	4	625	95	96		7.5
57	9	La5	A5	358	358	3	8	938	95	96		7.875
58	9	Es	Es	-1	-1	1	8	312	100	0		8.0
59	9	La5	A5	358	358	1	8	312	95	96		8.125
60	9	Do6	C6	371	371	1	8	312	95	96		8.25
61	9	Si5b5	B5b5	362	362	1	4	625	95	96		8.5
62	9	Si5b5	B5b5	362	362	1	8	312	95	96		8.625
63	9	Re6	D6	380	380	1	8	312	95	96		8.75
64	9	Do6	C6	371	371	1	8	312	95	96		8.875
65	9	Si5b5	B5b5	362	362	1	8	312	95	96		9.0
66	9	Si5b5	B5b5	362	362	1	8	312	95	96		9.125
67	9	La5	A5	358	358	1	4	625	95	96		9.375
68	9	Sol5	G5	349	349	1	8	312	95	96		9.5
69	9	La5	A5	358	358	3	16	469	95	96		9.6875
70	9	Sol5	G5	349	349	1	16	156	95	96		9.75
71	9	Fa5	F5	340	340	1	4	625	95	96		10.0
72	9	Sol5	G5	349	349	3	16	469	95	96		10.1875
73	9	Fa5	F5	340	340	1	16	156	95	96		10.25
74	9	Mi5	E5	336	336	1	8	312	95	96		10.375
75	9	Fa5	F5	340	340	1	8	312	95	96		10.5
76	9	Sol5	G5	349	349	1	8	312	95	96		10.625
77	9	La5	A5	358	358	1	8	312	95	96		10.75
78	9	Fa5	F5	340	340	1	8	312	95	96		10.875
79	9	Sol5	G5	349	349	1	8	312	95	96		11.0
80	9	Es	Es	-1	-1	1	8	312	100	0		11.125
81	9	La5	A5	358	358	1	16	156	95	96		11.1875
