Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9			-1	-1	5	8	2273	100	0	
2	9	Do5	C5	318	318	1	4	909	95	96	Ne 
3	9	Do5	C5	318	318	1	8	455	95	96	ka
4	9	Fa5	F5	340	340	1	2	1818	95	96	dar 
5	9	Mi5	E5	336	336	1	24	152	99	96	göz
6	9	Fa5	F5	340	340	1	24	152	99	96	
7	9	Sol5	G5	349	349	1	24	152	99	96	
8	9	Fa5	F5	340	340	1	24	152	99	96	
9	9	Mi5	E5	336	336	1	24	152	99	96	
10	9	Re5	D5	327	327	1	24	152	99	96	
11	9	Mi5	E5	336	336	1	8	455	99	96	
12	9	Fa5	F5	340	340	1	8	455	99	96	
13	9	Sol5	G5	349	349	1	8	455	99	96	
14	9	La5	A5	358	358	1	8	455	99	96	
15	9	Si5b5	B5b5	362	362	1	16	227	99	96	
16	9	La5	A5	358	358	1	16	227	99	96	
17	9	Sol5	G5	349	349	1	16	227	99	96	
18	9	Fa5	F5	340	340	1	16	227	99	96	
19	9	Mi5	E5	336	336	1	16	227	99	96	
20	9	Re5	D5	327	327	1	16	227	99	96	
21	9	Do5	C5	318	318	2	8	910	95	96	
22	9	Si5b5	B5b5	362	362	1	4	909	95	96	ya
23	9	Si5b5	B5b5	362	362	1	8	455	95	96	þý 
24	9	Si5b5	B5b5	362	362	1	8	455	99	96	dök
25	9	La5	A5	358	358	1	4	909	99	96	
26	9	Sol5	G5	349	349	1	8	455	95	96	
27	9	Sol5	G5	349	349	1	8	455	99	96	tüm 
28	9	La5	A5	358	358	1	4	909	99	96	
29	9	Sol5	G5	349	349	1	8	455	99	96	
30	9	Sol5	G5	349	349	1	16	227	99	96	
31	9	Fa5	F5	340	340	1	16	227	99	96	
32	9	Fa5	F5	340	340	1	16	227	99	96	
33	9	Mi5	E5	336	336	1	16	227	99	96	
34	9	Fa5	F5	340	340	5	8	2273	95	96	
35	9	Fa5	F5	340	340	1	4	909	95	96	o 
36	9	La5	A5	358	358	1	8	455	95	96	gö
37	9	Sol5	G5	349	349	1	8	455	99	96	zün 
38	9	Fa5	F5	340	340	1	8	455	99	96	
39	9	Mi5	E5	336	336	1	8	455	99	96	
40	9	Re5	D5	327	327	1	8	455	95	96	
41	9	Re5	D5	327	327	1	8	455	99	96	üs
42	9	Mi5	E5	336	336	1	16	227	99	96	
43	9	Re5	D5	327	327	1	16	227	99	96	
44	9	Mi5	E5	336	336	1	16	227	99	96	
45	9	Re5	D5	327	327	1	16	227	99	96	
46	9	Do5	C5	318	318	1	16	227	99	96	
47	9	Si4	B4	314	314	1	16	227	99	96	
48	9	Do5	C5	318	318	3	8	1364	95	96	
49	9	Do5	C5	318	318	1	4	909	99	96	tü
50	9	Re5	D5	327	327	1	8	455	99	96	
51	9	Mi5	E5	336	336	1	8	455	99	96	
52	9	Fa5	F5	340	340	1	8	455	99	96	
53	9	Sol5	G5	349	349	1	8	455	99	96	
54	9	La5	A5	358	358	1	8	455	99	96	
55	9	Sol5	G5	349	349	3	16	682	99	96	
56	9	Fa5	F5	340	340	1	16	227	99	96	
57	9	Mi5	E5	336	336	1	16	227	99	96	
58	9	Sol5	G5	349	349	1	16	227	95	96	
59	9	Fa5	F5	340	340	1	16	227	99	96	ne 
60	9	Mi5	E5	336	336	1	16	227	95	96	
61	9	Fa5	F5	340	340	3	8	1364	95	96	ben  
62	9	Do5	C5	318	318	1	8	455	95	96	SAZ 
63	9	Re5	D5	327	327	1	8	455	95	96	.
64	9	Mi5	E5	336	336	1	8	455	95	96	.
65	9	Fa5	F5	340	340	3	16	682	95	96	.
66	9	Sol5	G5	349	349	1	16	227	95	96	.
67	9	Fa5	F5	340	340	1	16	227	95	96	.
