Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	9	8	0	20	0	Aksak	0.0
2	9	Do5	C5	318	318	1	4	1000	95	96	ARANAĞME	0.222222222222
3	9	Re5b4	D5b4	323	323	1	4	1000	95	96	.	0.444444444444
4	9	Mi5	E5	336	336	1	4	1000	95	96	.	0.666666666667
5	9	Fa5	F5	340	340	1	4	1000	95	96	.	0.888888888889
6	9	Sol5	G5	349	349	1	8	500	95	96	.	1.0
7	9	Sol5	G5	349	349	1	8	500	95	96	.	1.11111111111
8	9	La5b4	A5b4	354	354	1	16	250	95	96	.	1.16666666667
9	9	Si5b1	B5b1	366	366	1	16	250	95	96	.	1.22222222222
10	9	La5b4	A5b4	354	354	1	16	250	95	96	.	1.27777777778
11	9	Sol5	G5	349	349	1	16	250	95	96	.	1.33333333333
12	9	Fa5	F5	340	340	1	8	500	95	96	.	1.44444444444
13	9	Mi5	E5	336	336	1	8	500	95	96	.	1.55555555556
14	9	Fa5	F5	340	340	1	8	500	95	96	.	1.66666666667
15	9	Sol5	G5	349	349	1	4	1000	95	96	.	1.88888888889
16	9	Es	Es	-1	-1	1	8	500	100	0	.	2.0
17	9	Do5	C5	318	318	1	4	1000	95	96	.	2.22222222222
18	9	Re5b4	D5b4	323	323	1	4	1000	95	96	.	2.44444444444
19	9	Mi5	E5	336	336	1	4	1000	95	96	.	2.66666666667
20	9	Fa5	F5	340	340	1	4	1000	95	96	.	2.88888888889
21	9	Sol5	G5	349	349	1	8	500	95	96	.	3.0
22	9	La5b4	A5b4	354	354	1	16	250	95	96	.	3.05555555556
23	9	Sol5	G5	349	349	1	16	250	95	96	.	3.11111111111
24	9	Fa5	F5	340	340	1	8	500	95	96	.	3.22222222222
25	9	Sol5	G5	349	349	1	16	250	95	96	.	3.27777777778
26	9	Si5b1	B5b1	366	366	1	16	250	95	96	.	3.33333333333
27	9	La5b4	A5b4	354	354	1	16	250	95	96	.	3.38888888889
28	9	Sol5	G5	349	349	1	16	250	95	96	.	3.44444444444
29	9	Sol5	G5	349	349	1	16	250	95	96	.	3.5
30	9	Fa5	F5	340	340	1	16	250	95	96	.	3.55555555556
31	9	Fa5	F5	340	340	1	16	250	95	96	.	3.61111111111
32	9	Mi5	E5	336	336	1	16	250	95	96	.	3.66666666667
33	9	Fa5	F5	340	340	1	4	1000	95	96	.	3.88888888889
34	9	Es	Es	-1	-1	1	8	500	100	0		4.0
35	9	Do5	C5	318	318	1	4	1000	95	96	ARANAĞME	4.22222222222
36	9	Re5b4	D5b4	323	323	1	4	1000	95	96	.	4.44444444444
37	9	Mi5	E5	336	336	1	4	1000	95	96	.	4.66666666667
38	9	Fa5	F5	340	340	1	4	1000	95	96	.	4.88888888889
39	9	Sol5	G5	349	349	1	8	500	95	96	.	5.0
40	9	Sol5	G5	349	349	1	8	500	95	96	.	5.11111111111
41	9	La5b4	A5b4	354	354	1	16	250	95	96	.	5.16666666667
42	9	Si5b1	B5b1	366	366	1	16	250	95	96	.	5.22222222222
43	9	La5b4	A5b4	354	354	1	16	250	95	96	.	5.27777777778
44	9	Sol5	G5	349	349	1	16	250	95	96	.	5.33333333333
45	9	Fa5	F5	340	340	1	8	500	95	96	.	5.44444444444
46	9	Mi5	E5	336	336	1	8	500	95	96	.	5.55555555556
47	9	Fa5	F5	340	340	1	8	500	95	96	.	5.66666666667
48	9	Sol5	G5	349	349	1	4	1000	95	96	.	5.88888888889
49	9	Es	Es	-1	-1	1	8	500	100	0	.	6.0
50	9	Do5	C5	318	318	1	4	1000	95	96	.	6.22222222222
51	9	Re5b4	D5b4	323	323	1	4	1000	95	96	.	6.44444444444
52	9	Mi5	E5	336	336	1	4	1000	95	96	.	6.66666666667
53	9	Fa5	F5	340	340	1	4	1000	95	96	.	6.88888888889
