Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	9	8	0	20	0	Aksak	0.0
2	9	Fa5	F5	340	340	1	8	417	95	96	ARANAĞME	0.111111111111
3	9	Do6	C6	371	371	1	8	417	95	96	.	0.222222222222
4	9	Si5b5	B5b5	362	362	1	8	417	95	96	.	0.333333333333
5	9	La5	A5	358	358	1	8	417	95	96	.	0.444444444444
6	9	La5	A5	358	358	1	8	417	95	96	.	0.555555555556
7	9	Sol5	G5	349	349	1	8	417	95	96	.	0.666666666667
8	9	Fa5	F5	340	340	1	8	417	95	96	.	0.777777777778
9	9	Mi5	E5	336	336	1	8	417	95	96	.	0.888888888889
10	9	Re5	D5	327	327	1	8	417	95	96	.	1.0
11	9	Do5	C5	318	318	1	8	417	95	96	.	1.11111111111
12	9	La5	A5	358	358	1	8	417	95	96	.	1.22222222222
13	9	Sol5	G5	349	349	1	8	417	95	96	.	1.33333333333
14	9	Fa5	F5	340	340	1	8	417	95	96	.	1.44444444444
15	9	Fa5	F5	340	340	1	8	417	95	96	.	1.55555555556
16	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	1.66666666667
17	9	Re5	D5	327	327	1	8	417	95	96	.	1.77777777778
18	9	Do5	C5	318	318	1	8	417	95	96	.	1.88888888889
19	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	2.0
20	9	La4	A4	305	305	1	8	417	95	96	.	2.11111111111
21	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	2.22222222222
22	9	Re5	D5	327	327	1	8	417	95	96	.	2.33333333333
23	9	Do5	C5	318	318	1	8	417	95	96	.	2.44444444444
24	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	2.55555555556
25	9	La4	A4	305	305	1	8	417	95	96	.	2.66666666667
26	9	Sol4	G4	296	296	1	8	417	95	96	.	2.77777777778
27	9	Fa4	F4	287	287	1	8	417	95	96	.	2.88888888889
28	9	Mi4	E4	283	283	1	8	417	95	96	.	3.0
29	9	Fa4	F4	287	287	1	8	417	95	96	.	3.11111111111
30	9	Sol4	G4	296	296	1	8	417	95	96	.	3.22222222222
31	9	La4	A4	305	305	1	8	417	95	96	.	3.33333333333
32	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	3.44444444444
33	9	Do5	C5	318	318	1	8	417	95	96	.	3.55555555556
34	9	Re5	D5	327	327	1	8	417	95	96	.	3.66666666667
35	9	Mi5	E5	336	336	1	8	417	95	96	.	3.77777777778
36	9	Fa5	F5	340	340	1	4	834	95	96	.	4.0
37	9	Fa5	F5	340	340	1	8	417	95	96	ARANAĞME	4.11111111111
38	9	Do6	C6	371	371	1	8	417	95	96	.	4.22222222222
39	9	Si5b5	B5b5	362	362	1	8	417	95	96	.	4.33333333333
40	9	La5	A5	358	358	1	8	417	95	96	.	4.44444444444
41	9	La5	A5	358	358	1	8	417	95	96	.	4.55555555556
42	9	Sol5	G5	349	349	1	8	417	95	96	.	4.66666666667
43	9	Fa5	F5	340	340	1	8	417	95	96	.	4.77777777778
44	9	Mi5	E5	336	336	1	8	417	95	96	.	4.88888888889
45	9	Re5	D5	327	327	1	8	417	95	96	.	5.0
46	9	Do5	C5	318	318	1	8	417	95	96	.	5.11111111111
47	9	La5	A5	358	358	1	8	417	95	96	.	5.22222222222
48	9	Sol5	G5	349	349	1	8	417	95	96	.	5.33333333333
49	9	Fa5	F5	340	340	1	8	417	95	96	.	5.44444444444
50	9	Fa5	F5	340	340	1	8	417	95	96	.	5.55555555556
51	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	5.66666666667
52	9	Re5	D5	327	327	1	8	417	95	96	.	5.77777777778
53	9	Do5	C5	318	318	1	8	417	95	96	.	5.88888888889
54	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	6.0
55	9	La4	A4	305	305	1	8	417	95	96	.	6.11111111111
56	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	6.22222222222
