Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	1	4	1000	95	96		0.142857
2	9	La5	A5	358	358	1	8	500	95	96		0.214286
3	9	Sol5	G5	349	349	1	8	500	95	96		0.285714
4	9	Fa5	F5	340	340	1	16	250	95	96		0.321429
5	9	Mi5	E5	336	336	1	16	250	95	96		0.357143
6	9	Fa5	F5	340	340	1	4	1000	95	96		0.500000
7	9	Mi5	E5	336	336	1	16	250	95	96		0.535714
8	9	Fa5	F5	340	340	1	16	250	95	96		0.571429
9	9	Mi5	E5	336	336	1	16	250	95	96		0.607143
10	9	Fa5	F5	340	340	1	16	250	95	96		0.642857
11	9	Mi5	E5	336	336	1	16	250	95	96		0.678571
12	9	Re5	D5	327	327	1	16	250	95	96		0.714286
13	9	Mi5	E5	336	336	1	16	250	95	96		0.750000
14	9	Sol5	G5	349	349	1	16	250	95	96		0.785714
15	9	Fa5	F5	340	340	1	16	250	95	96		0.821429
16	9	Mi5	E5	336	336	1	16	250	95	96		0.857143
17	9	Mi5	E5	336	336	1	16	250	95	96		0.892857
18	9	Re5	D5	327	327	1	16	250	95	96		0.928571
19	9	Re5	D5	327	327	1	16	250	95	96		0.964286
20	9	Do5#4	C5#4	322	322	1	16	250	95	96		1.000000
21	9	Re5	D5	327	327	1	4	1000	95	96		1.142857
22	9	Re5	D5	327	327	1	16	250	95	96		1.178571
23	9	Mi5	E5	336	336	1	16	250	95	96		1.214286
24	9	Do5	C5	318	318	1	4	1000	95	96		1.357143
25	9	Es	Es	-1	-1	1	8	500	100	0		1.428571
26	9	Re5	D5	327	327	1	16	250	95	96		1.464286
27	9	Mi5	E5	336	336	1	16	250	95	96		1.500000
28	9	Fa5	F5	340	340	1	4	1000	95	96		1.642857
29	9	Sol5	G5	349	349	1	16	250	95	96		1.678571
30	9	La5	A5	358	358	1	16	250	95	96		1.714286
31	9	Si5b5	B5b5	362	362	1	4	1000	95	96		1.857143
32	9	Si5b5	B5b5	362	362	1	8	500	95	96		1.928571
33	9	Si5b5	B5b5	362	362	1	16	250	95	96		1.964286
34	9	La5	A5	358	358	1	16	250	95	96		2.000000
35	9	La5	A5	358	358	3	16	750	95	96		2.107143
36	9	Sol5	G5	349	349	1	16	250	95	96		2.142857
37	9	Fa5	F5	340	340	1	8	500	95	96		2.214286
38	9	La5	A5	358	358	1	8	500	95	96		2.285714
39	9	Sol5	G5	349	349	3	8	1500	95	96		2.500000
40	9	Do5	C5	318	318	1	4	1000	95	96		2.642857
41	9	Mi5	E5	336	336	1	8	500	95	96		2.714286
42	9	Fa5	F5	340	340	1	4	1000	95	96		2.857143
43	9	Fa5	F5	340	340	1	4	1000	95	96		3.000000
44	9	Sol5	G5	349	349	3	16	750	95	96		3.107143
45	9	Fa5	F5	340	340	1	16	250	95	96		3.142857
46	9	La5	A5	358	358	1	8	500	95	96		3.214286
47	9	Sol5	G5	349	349	1	8	500	95	96		3.285714
48	9	Fa5	F5	340	340	1	4	1000	95	96		3.428571
49	9	Es	Es	-1	-1	1	8	500	100	0		3.500000
50	9	Fa5	F5	340	340	1	8	500	95	96		3.571429
51	9	Mi5	E5	336	336	1	8	500	95	96		3.642857
52	9	Re5	D5	327	327	1	8	500	95	96		3.714286
53	9	Do5	C5	318	318	1	8	500	95	96		3.785714
54	9	Si4b5	B4b5	309	309	1	8	500	95	96		3.857143
55	9	La4	A4	305	305	1	8	500	95	96		3.928571
56	9	Sol4	G4	296	296	1	8	500	95	96		4.000000
57	9	Fa4	F4	287	287	3	8	1500	95	96		4.214286
58	9	Fa4	F4	287	287	1	4	1000	95	96		4.357143
59	9	Fa4	F4	287	287	1	4	1000	95	96		4.500000
60	9	Fa5	F5	340	340	1	4	1000	95	96		4.642857
61	9	Fa5	F5	340	340	1	8	500	95	96		4.714286
62	9	Fa5	F5	340	340	3	32	375	95	96		4.767857
63	9	Mi5	E5	336	336	1	32	125	95	96		4.785714
64	9	Re5	D5	327	327	1	16	250	95	96		4.821429
65	9	Mi5	E5	336	336	1	16	250	95	96		4.857143
66	9	Fa5	F5	340	340	1	4	1000	95	96		5.000000
67	9	Es	Es	-1	-1	1	8	500	100	0		5.071429
68	9	Do5	C5	318	318	1	8	500	95	96		5.142857
69	9	Do5	C5	318	318	1	16	250	95	96		5.178571
70	9	Re5	D5	327	327	1	16	250	95	96		5.214286
71	9	Do5	C5	318	318	3	32	375	95	96		5.267857
72	9	Si4b5	B4b5	309	309	1	32	125	95	96		5.285714
73	9	La4	A4	305	305	1	16	250	95	96		5.321429
74	9	Sol4	G4	296	296	1	16	250	95	96		5.357143
75	9	Fa4	F4	287	287	1	4	1000	95	96		5.500000
76	9	Do4	C4	265	265	1	4	1000	95	96		5.642857
77	9	Re4	D4	274	274	1	16	250	95	96		5.678571
78	9	Mi4	E4	283	283	1	16	250	95	96		5.714286
79	9	Fa4	F4	287	287	3	8	1500	95	96		5.928571
80	9	Sol4	G4	296	296	1	16	250	95	96		5.964286
81	9	La4	A4	305	305	1	16	250	95	96		6.000000
82	9	Si4b5	B4b5	309	309	1	4	1000	95	96		6.142857
83	9	Si4b5	B4b5	309	309	1	16	250	95	96		6.178571
84	9	La4	A4	305	305	1	16	250	95	96		6.214286
85	9	La4	A4	305	305	3	16	750	95	96		6.321429
86	9	Sol4	G4	296	296	1	16	250	95	96		6.357143
87	9	Fa4	F4	287	287	1	8	500	95	96		6.428571
88	9	La4	A4	305	305	1	8	500	95	96		6.500000
89	9	Sol4	G4	296	296	3	4	3000	95	96		6.928571
90	9	Mi4	E4	283	283	1	16	250	95	96		6.964286
91	9	Fa4	F4	287	287	1	16	250	95	96		7.000000
92	9	Mi4	E4	283	283	1	16	250	95	96		7.035714
93	9	Fa4	F4	287	287	1	16	250	95	96		7.071429
94	9	Mi4	E4	283	283	1	16	250	95	96		7.107143
95	9	Re4	D4	274	274	1	16	250	95	96		7.142857
96	9	Mi4	E4	283	283	1	16	250	95	96		7.178571
97	9	Fa4	F4	287	287	1	16	250	95	96		7.214286
98	9	Sol4	G4	296	296	1	16	250	95	96		7.250000
99	9	Mi4	E4	283	283	1	16	250	95	96		7.285714
100	9	Fa4	F4	287	287	1	4	1000	95	96		7.428571
101	9	Mi4	E4	283	283	1	16	250	95	96		7.464286
102	9	Fa4	F4	287	287	1	16	250	95	96		7.500000
103	9	Mi4	E4	283	283	1	16	250	95	96		7.535714
