Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	1	4	769	95	96		0.142857142857
2	9	Fa5	F5	340	340	1	4	769	95	96		0.285714285714
3	9	Fa5	F5	340	340	1	4	769	95	96		0.428571428571
4	9	Fa5	F5	340	340	1	8	385	95	96		0.5
5	9	Mi5	E5	336	336	1	8	385	95	96		0.571428571429
6	9	Mi5	E5	336	336	1	8	385	95	96		0.642857142857
7	9	Re5	D5	327	327	1	8	385	95	96		0.714285714286
8	9	Re5	D5	327	327	1	8	385	95	96		0.785714285714
9	9	Mi5	E5	336	336	1	16	192	95	96		0.821428571429
10	9	Fa5	F5	340	340	1	16	192	95	96		0.857142857143
11	9	Mi5	E5	336	336	1	16	192	95	96		0.892857142857
12	9	Re5	D5	327	327	1	16	192	95	96		0.928571428571
13	9	Do5	C5	318	318	1	8	385	95	96		1.0
14	9	Do5	C5	318	318	1	8	385	95	96		1.07142857143
15	9	Fa5	F5	340	340	1	8	385	95	96		1.14285714286
16	9	Mi5	E5	336	336	1	8	385	95	96		1.21428571429
17	9	La5	A5	358	358	1	8	385	95	96		1.28571428571
18	9	Sol5	G5	349	349	1	8	385	95	96		1.35714285714
19	9	Si5b5	B5b5	362	362	1	8	385	95	96		1.42857142857
20	9	La5	A5	358	358	1	8	385	95	96		1.5
21	9	Sol5	G5	349	349	1	8	385	95	96		1.57142857143
22	9	Fa5	F5	340	340	1	8	385	95	96		1.64285714286
23	9	Mi5	E5	336	336	1	8	385	95	96		1.71428571429
24	9	Fa5	F5	340	340	3	8	1154	95	96		1.92857142857
25	9	Es	Es	-1	-1	1	8	385	100	0		2.0
26	9	La5	A5	358	358	1	4	769	95	96		2.14285714286
27	9	La5	A5	358	358	1	4	769	95	96		2.28571428571
28	9	Sol5	G5	349	349	1	8	385	95	96		2.35714285714
29	9	Fa5	F5	340	340	1	8	385	95	96		2.42857142857
30	9	Si5b5	B5b5	362	362	1	12	256	99	96		2.47619047619
31	9	La5	A5	358	358	1	12	256	99	96		2.52380952381
32	9	Sol5	G5	349	349	1	12	256	95	96		2.57142857143
