Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Mi5	E5	336	336	1	4	714	99	96	Ah 
2	9	Fa5	F5	340	340	3	4	2143	95	96	
3	9	Do5	C5	318	318	1	2	1429	95	96	sul
4	9	Fa5	F5	340	340	1	8	357	99	96	tân_
5	9	Mi5	E5	336	336	1	8	357	99	96	
6	9	Fa5	F5	340	340	2	4	1428	95	96	
7	9	Sol5	G5	349	349	1	8	357	99	96	ý 
8	9	La5b4	A5b4	354	354	1	8	357	99	96	
9	9	Sol5	G5	349	349	1	8	357	99	96	
10	9	Fa5	F5	340	340	1	8	357	99	96	
11	9	Si5b5	B5b5	362	362	1	4	714	99	96	
12	9	La5b4	A5b4	354	354	1	8	357	95	96	
13	9	Sol5	G5	349	349	1	8	357	95	96	me
14	9	Sol5	G5	349	349	3	16	536	99	96	nî 
15	9	Fa5	F5	340	340	1	16	179	99	96	
16	9	Mi5	E5	336	336	1	8	357	99	96	
17	9	Fa5	F5	340	340	1	8	357	99	96	
18	9	Mi5	E5	336	336	1	8	357	99	96	
19	9	Sol5	G5	349	349	1	8	357	99	96	
20	9	Fa5	F5	340	340	2	4	1428	95	96	
21	9	Do5	C5	318	318	1	4	714	95	96	SAZ 
22	9	Fa5	F5	340	340	1	8	357	95	96	.
23	9	Fa5	F5	340	340	1	8	357	95	96	.
24	9	Fa5	F5	340	340	1	16	179	95	96	.
25	9	Sol5	G5	349	349	1	16	179	95	96	.
26	9	Fa5	F5	340	340	1	16	179	95	96	.
27	9	Mi5	E5	336	336	1	16	179	95	96	.
28	9	Fa5	F5	340	340	1	4	714	95	96	.
29	9	Do5	C5	318	318	1	2	1429	95	96	sul
30	9	Fa5	F5	340	340	1	8	357	99	96	tân_
31	9	Mi5	E5	336	336	1	8	357	99	96	
32	9	Fa5	F5	340	340	2	4	1428	95	96	
33	9	Sol5	G5	349	349	1	8	357	99	96	ý 
34	9	La5b4	A5b4	354	354	1	8	357	99	96	
35	9	Sol5	G5	349	349	1	8	357	99	96	
36	9	Fa5	F5	340	340	1	8	357	99	96	
37	9	Si5b5	B5b5	362	362	1	4	714	99	96	
38	9	La5b4	A5b4	354	354	1	8	357	95	96	
39	9	Sol5	G5	349	349	1	8	357	95	96	me
40	9	Sol5	G5	349	349	3	16	536	99	96	nî  
41	9	Fa5	F5	340	340	1	16	179	99	96	
42	9	Mi5	E5	336	336	1	8	357	99	96	
43	9	Fa5	F5	340	340	1	8	357	99	96	
44	9	Mi5	E5	336	336	1	8	357	99	96	
45	9	Fa5	F5	340	340	1	8	357	99	96	
46	9	Mi5	E5	336	336	1	8	357	99	96	
47	9	Fa5	F5	340	340	1	8	357	99	96	
48	9	Mi5	E5	336	336	1	8	357	99	96	
49	9	Re5	D5	327	327	1	8	357	99	96	
50	9	Fa5	F5	340	340	3	16	536	99	96	
51	9	Mi5	E5	336	336	1	16	179	99	96	
52	9	Re5	D5	327	327	1	8	357	99	96	
53	9	Mi5	E5	336	336	1	8	357	99	96	
54	9	Re5	D5	327	327	1	8	357	99	96	
55	9	Mi5	E5	336	336	1	8	357	99	96	
56	9	Re5	D5	327	327	1	8	357	99	96	
57	9	Do5	C5	318	318	1	8	357	95	96	
58	9	Re5	D5	327	327	3	8	1071	99	96	En
59	9	Fa5	F5	340	340	1	8	357	95	96	
60	9	Mi5	E5	336	336	3	16	536	99	96	der 
61	9	Re5	D5	327	327	1	16	179	99	96	
62	9	Do5	C5	318	318	1	2	1429	95	96	
63	9	Re5	D5	327	327	1	8	357	99	96	dil_
64	9	Mi5b3	E5b4	333	332	1	8	357	99	96	
65	9	Re5	D5	327	327	1	8	357	99	96	
66	9	Do5	C5	318	318	1	8	357	99	96	
67	9	Sol5	G5	349	349	1	8	357	99	96	
68	9	Fa5#3	F5#4	343	344	1	8	357	99	96	
69	9	Mi5b3	E5b4	333	332	1	8	357	95	96	
70	9	Re5	D5	327	327	1	8	357	95	96	ü 
71	9	Re5	D5	327	327	3	16	536	99	96	cân 
72	9	Do5	C5	318	318	1	16	179	99	96	
73	9	Si4b1	B4b1	313	313	1	8	357	99	96	
74	9	Do5	C5	318	318	1	8	357	99	96	
75	9	Si4b1	B4b1	313	313	1	8	357	99	96	
76	9	Re5	D5	327	327	1	8	357	99	96	
77	9	Do5	C5	318	318	4	8	1428	95	96	
78	9	Do5	C5	318	318	1	8	357	99	96	cân 
79	9	Si4b1	B4b1	313	313	1	8	357	99	96	
80	9	Do5	C5	318	318	1	8	357	99	96	
81	9	Mi5b3	E5b4	333	332	1	8	357	99	96	
82	9	Re5	D5	327	327	1	4	714	99	96	
83	9	Do5	C5	318	318	1	8	357	99	96	
84	9	Si4b5	B4b5	309	309	1	8	357	95	96	
85	9	Do5	C5	318	318	3	8	1071	99	96	î
86	9	Si4b5	B4b5	309	309	1	8	357	95	96	
87	9	Do5	C5	318	318	3	16	536	99	96	mân_
88	9	Si4b5	B4b5	309	309	1	16	179	99	96	
89	9	La4	A4	305	305	2	4	1428	95	96	
90	9	La4	A4	305	305	1	4	714	99	96	ý 
91	9	Sol4	G4	296	296	1	8	357	99	96	
92	9	Fa4	F4	287	287	1	8	357	99	96	
93	9	La4	A4	305	305	1	8	357	99	96	
94	9	Sol4	G4	296	296	1	4	714	95	96	
95	9	La4	A4	305	305	1	8	357	95	96	me
96	9	Sol4	G4	296	296	3	16	536	99	96	nî  
97	9	Fa4	F4	287	287	1	16	179	99	96	
98	9	Mi4	E4	283	283	1	8	357	99	96	
99	9	Fa4	F4	287	287	1	8	357	99	96	
100	9	Mi4	E4	283	283	1	8	357	99	96	
101	9	Sol4	G4	296	296	1	8	357	99	96	
102	9	Fa4	F4	287	287	2	4	1428	95	96	
103	9	Mi5	E5	336	336	1	4	714	99	96	Ah 
104	9	Fa5	F5	340	340	3	4	2143	95	96	
105	9	Do5	C5	318	318	1	2	1429	95	96	sul
106	9	Fa5	F5	340	340	1	8	357	99	96	tân_
107	9	Mi5	E5	336	336	1	8	357	99	96	
108	9	Fa5	F5	340	340	2	4	1428	95	96	
109	9	Sol5	G5	349	349	1	8	357	99	96	ý 
110	9	La5b4	A5b4	354	354	1	8	357	99	96	
111	9	Sol5	G5	349	349	1	8	357	99	96	
112	9	Fa5	F5	340	340	1	8	357	99	96	
113	9	Si5b5	B5b5	362	362	1	4	714	99	96	
114	9	La5b4	A5b4	354	354	1	8	357	95	96	
115	9	Sol5	G5	349	349	1	8	357	95	96	me
116	9	Sol5	G5	349	349	3	16	536	99	96	nî 
117	9	Fa5	F5	340	340	1	16	179	99	96	
118	9	Mi5	E5	336	336	1	8	357	99	96	
119	9	Fa5	F5	340	340	1	8	357	99	96	
120	9	Mi5	E5	336	336	1	8	357	99	96	
121	9	Sol5	G5	349	349	1	8	357	99	96	
122	9	Fa5	F5	340	340	2	4	1428	95	96	
123	9	Do5	C5	318	318	1	4	714	95	96	SAZ 
124	9	Fa5	F5	340	340	1	8	357	95	96	.
125	9	Fa5	F5	340	340	1	8	357	95	96	.
126	9	Fa5	F5	340	340	1	16	179	95	96	.
127	9	Sol5	G5	349	349	1	16	179	95	96	.
128	9	Fa5	F5	340	340	1	16	179	95	96	.
129	9	Mi5	E5	336	336	1	16	179	95	96	.
130	9	Fa5	F5	340	340	1	4	714	95	96	.
131	9	Do5	C5	318	318	1	2	1429	95	96	sul
132	9	Fa5	F5	340	340	1	8	357	99	96	tân_
133	9	Mi5	E5	336	336	1	8	357	99	96	
134	9	Fa5	F5	340	340	2	4	1428	95	96	
135	9	Sol5	G5	349	349	1	8	357	99	96	ý 
136	9	La5b4	A5b4	354	354	1	8	357	99	96	
137	9	Sol5	G5	349	349	1	8	357	99	96	
138	9	Fa5	F5	340	340	1	8	357	99	96	
139	9	Si5b5	B5b5	362	362	1	4	714	99	96	
140	9	La5b4	A5b4	354	354	1	8	357	95	96	
141	9	Sol5	G5	349	349	1	8	357	95	96	me
142	9	Sol5	G5	349	349	3	16	536	99	96	nî  
143	9	Fa5	F5	340	340	1	16	179	99	96	
144	9	Mi5	E5	336	336	1	8	357	99	96	
145	9	Fa5	F5	340	340	1	8	357	99	96	
146	9	Mi5	E5	336	336	1	8	357	99	96	
147	9	Fa5	F5	340	340	1	8	357	99	96	
148	9	Mi5	E5	336	336	1	8	357	99	96	
149	9	Fa5	F5	340	340	1	8	357	99	96	
150	9	Mi5	E5	336	336	1	8	357	99	96	
151	9	Re5	D5	327	327	1	8	357	99	96	
152	9	Fa5	F5	340	340	3	16	536	99	96	
153	9	Mi5	E5	336	336	1	16	179	99	96	
154	9	Re5	D5	327	327	1	8	357	99	96	
155	9	Mi5	E5	336	336	1	8	357	99	96	
156	9	Re5	D5	327	327	1	8	357	99	96	
157	9	Mi5	E5	336	336	1	8	357	99	96	
158	9	Re5	D5	327	327	1	8	357	99	96	
159	9	Do5	C5	318	318	1	8	357	95	96	
160	9	Re5	D5	327	327	3	8	1071	99	96	En
161	9	Fa5	F5	340	340	1	8	357	95	96	
162	9	Mi5	E5	336	336	3	16	536	99	96	der 
163	9	Re5	D5	327	327	1	16	179	99	96	
164	9	Do5	C5	318	318	1	2	1429	95	96	
165	9	Re5	D5	327	327	1	8	357	99	96	dil_
166	9	Mi5b3	E5b4	333	332	1	8	357	99	96	
167	9	Re5	D5	327	327	1	8	357	99	96	
168	9	Do5	C5	318	318	1	8	357	99	96	
169	9	Sol5	G5	349	349	1	8	357	99	96	
170	9	Fa5#3	F5#4	343	344	1	8	357	99	96	
171	9	Mi5b3	E5b4	333	332	1	8	357	95	96	
172	9	Re5	D5	327	327	1	8	357	95	96	ü 
173	9	Re5	D5	327	327	3	16	536	99	96	cân 
174	9	Do5	C5	318	318	1	16	179	99	96	
175	9	Si4b1	B4b1	313	313	1	8	357	99	96	
176	9	Do5	C5	318	318	1	8	357	99	96	
177	9	Si4b1	B4b1	313	313	1	8	357	99	96	
178	9	Re5	D5	327	327	1	8	357	99	96	
179	9	Do5	C5	318	318	4	8	1428	95	96	
180	9	Do5	C5	318	318	1	8	357	99	96	cân 
181	9	Si4b1	B4b1	313	313	1	8	357	99	96	
182	9	Do5	C5	318	318	1	8	357	99	96	
183	9	Mi5b3	E5b4	333	332	1	8	357	99	96	
184	9	Re5	D5	327	327	1	4	714	99	96	
185	9	Do5	C5	318	318	1	8	357	99	96	
186	9	Si4b5	B4b5	309	309	1	8	357	95	96	
187	9	Do5	C5	318	318	3	8	1071	99	96	î
188	9	Si4b5	B4b5	309	309	1	8	357	95	96	
189	9	Do5	C5	318	318	3	16	536	99	96	mân_
190	9	Si4b5	B4b5	309	309	1	16	179	99	96	
191	9	La4	A4	305	305	2	4	1428	95	96	
192	9	La4	A4	305	305	1	4	714	99	96	ý 
193	9	Sol4	G4	296	296	1	8	357	99	96	
194	9	Fa4	F4	287	287	1	8	357	99	96	
195	9	La4	A4	305	305	1	8	357	99	96	
196	9	Sol4	G4	296	296	1	4	714	95	96	
197	9	La4	A4	305	305	1	8	357	95	96	me
198	9	Sol4	G4	296	296	3	16	536	99	96	nî  
199	9	Fa4	F4	287	287	1	16	179	99	96	
200	9	Mi4	E4	283	283	1	8	357	99	96	
201	9	Fa4	F4	287	287	1	8	357	99	96	
202	9	Mi4	E4	283	283	1	8	357	99	96	
203	9	Sol4	G4	296	296	1	8	357	99	96	
204	9	Fa4	F4	287	287	2	4	1428	95	96	
