Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	4	870	95	96	Bi	0.166666666667
2	9	Fa5	F5	340	340	1	2	1739	95	96	ley	0.5
3	9	Fa5	F5	340	340	1	8	435	95	96	di 	0.583333333333
4	9	Mi5	E5	336	336	1	8	435	95	96		0.666666666667
5	9	Sol5	G5	349	349	1	8	435	95	96	dil 	0.75
6	9	Si5b5	B5b5	362	362	1	8	435	95	96		0.833333333333
7	9	La5	A5	358	358	1	8	435	95	96		0.916666666667
8	9	Sol5	G5	349	349	1	8	435	95	96		1.0
9	9	Sol5	G5	349	349	1	8	435	95	96	gi	1.08333333333
10	9	Fa5	F5	340	340	1	8	435	95	96		1.16666666667
11	9	Fa5	F5	340	340	1	8	435	95	96	bi 	1.25
12	9	Mi5	E5	336	336	1	8	435	95	96		1.33333333333
13	9	Mi5	E5	336	336	1	8	435	95	96	dil	1.41666666667
14	9	Re5	D5	327	327	1	16	217	95	96		1.45833333333
15	9	Fa5	F5	340	340	1	16	217	95	96		1.5
16	9	Mi5	E5	336	336	1	8	435	95	96		1.58333333333
17	9	Re5	D5	327	327	1	8	435	95	96		1.66666666667
18	9	Re5	D5	327	327	1	2	1739	95	96	ber 	2.0
19	9	Si4b1	B4b1	313	313	1	4	870	95	96	ga	2.16666666667
20	9	Do5	C5	318	318	1	8	435	95	96	mı 	2.25
21	9	Re5	D5	327	327	1	8	435	95	96		2.33333333333
22	9	Do5	C5	318	318	1	8	435	95	96		2.41666666667
23	9	Re5	D5	327	327	1	8	435	95	96		2.5
24	9	Do5	C5	318	318	1	8	435	95	96	ci	2.58333333333
25	9	Si4b1	B4b1	313	313	1	8	435	95	96		2.66666666667
26	9	Fa5	F5	340	340	1	8	435	95	96	han 	2.75
27	9	Mi5	E5	336	336	1	8	435	95	96		2.83333333333
28	9	Re5	D5	327	327	1	8	435	95	96		2.91666666667
29	9	Do5	C5	318	318	1	8	435	95	96		3.0
30	9	Mi5	E5	336	336	1	8	435	95	96	ni	3.08333333333
31	9	Re5	D5	327	327	1	8	435	95	96		3.16666666667
32	9	Do5	C5	318	318	1	8	435	95	96	ce	3.25
33	9	Si4b1	B4b1	313	313	1	8	435	95	96		3.33333333333
34	9	La4	A4	305	305	1	4	870	95	96	dir 	3.5
35	9	Es	Es	-1	-1	1	4	870	100	0		3.66666666667
36	9	Re5	D5	327	327	1	8	435	95	96	Yar  	3.75
37	9	Do5#4	C5#4	322	322	1	8	435	95	96		3.83333333333
38	9	Re5	D5	327	327	1	4	870	95	96		4.0
39	9	La4	A4	305	305	1	4	870	95	96	le	4.16666666667
40	9	La4	A4	305	305	1	8	435	95	96	lel	4.25
41	9	Si4b5	B4b5	309	309	1	8	435	95	96		4.33333333333
42	9	La4	A4	305	305	1	8	435	95	96		4.41666666667
43	9	Sol4	G4	296	296	1	8	435	95	96		4.5
44	9	Sol4	G4	296	296	1	4	870	95	96	li 	4.66666666667
45	9	Sol4	G4	296	296	1	8	435	95	96		4.75
46	9	Si4b5	B4b5	309	309	1	8	435	95	96		4.83333333333
47	9	La4	A4	305	305	1	8	435	95	96		4.91666666667
48	9	Sol4	G4	296	296	1	8	435	95	96		5.0
49	9	Sol4	G4	296	296	1	8	435	95	96	vay  	5.08333333333
50	9	Fa4	F4	287	287	1	8	435	95	96		5.16666666667
51	9	Mi4	E4	283	283	1	8	435	95	96		5.25
52	9	Fa4	F4	287	287	1	8	435	95	96		5.33333333333
53	9	Mi4	E4	283	283	1	8	435	95	96		5.41666666667
54	9	Fa4	F4	287	287	1	8	435	95	96		5.5
55	9	Sol4	G4	296	296	1	8	435	95	96		5.58333333333
56	9	Sol4	G4	296	296	1	16	217	95	96		5.625
57	9	Fa4	F4	287	287	1	16	217	95	96		5.66666666667
58	9	Fa4	F4	287	287	1	2	1739	95	96		6.0
59	9	Es	Es	-1	-1	1	4	870	100	0		6.16666666667
60	9	Do5	C5	318	318	1	4	870	95	96	Ya 	6.33333333333
61	9	Do5	C5	318	318	1	8	435	95	96		6.41666666667
62	9	Re5	D5	327	327	1	8	435	95	96		6.5
63	9	Do5	C5	318	318	1	8	435	95	96	le	6.58333333333
64	9	Si4b1	B4b1	313	313	1	8	435	95	96		6.66666666667
65	9	Do5	C5	318	318	1	4	870	95	96	lel 	6.83333333333
66	9	Es	Es	-1	-1	1	4	870	100	0		7.0
67	9	Do5	C5	318	318	1	8	435	95	96	le	7.08333333333
68	9	Si4b1	B4b1	313	313	1	8	435	95	96		7.16666666667
69	9	Do5	C5	318	318	1	8	435	95	96	lel	7.25
70	9	Fa5	F5	340	340	1	8	435	95	96		7.33333333333
