Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	1	2	1290	95	96	Ah 	0.2
2	9	La5	A5	358	358	1	8	323	99	96	Dûr_	0.25
3	9	Sol5	G5	349	349	1	8	323	95	96		0.3
4	9	Sol5	G5	349	349	1	8	323	99	96	et	0.35
5	9	Fa5	F5	340	340	1	8	323	99	96		0.4
6	9	Fa5	F5	340	340	1	8	323	99	96		0.45
7	9	Mi5	E5	336	336	1	8	323	95	96		0.5
8	9	Mi5	E5	336	336	1	8	323	99	96	me 	0.55
9	9	Re5	D5	327	327	1	8	323	99	96		0.6
10	8	Fa5	F5	340	340	0	0	0	99	96		0.6
11	9	Mi5	E5	336	336	1	8	323	99	96		0.65
12	9	Re5	D5	327	327	1	8	323	95	96		0.7
13	9	Do5	C5	318	318	1	8	323	99	96	ya	0.75
14	9	Re5	D5	327	327	1	8	323	99	96		0.8
15	9	Mi5	E5	336	336	1	8	323	99	96		0.85
16	9	Fa5	F5	340	340	1	8	323	99	96		0.9
17	9	Sol5	G5	349	349	1	8	323	99	96		0.95
18	9	La5	A5	358	358	1	8	323	99	96		1.0
19	9	Fa5	F5	340	340	1	8	323	99	96		1.05
20	9	Mi5	E5	336	336	1	4	645	99	96		1.15
21	9	Re5	D5	327	327	1	8	323	95	96		1.2
22	9	Re5	D5	327	327	1	4	645	95	96	nın	1.3
23	9	Mi5	E5	336	336	1	8	323	99	96	dan 	1.35
24	9	Re5	D5	327	327	1	8	323	99	96		1.4
25	8	Mi5	E5	336	336	0	0	0	99	96		1.4
26	9	Re5	D5	327	327	1	8	323	99	96		1.45
27	9	Do5	C5	318	318	1	8	323	95	96		1.5
28	9	Do5	C5	318	318	1	8	323	99	96	as	1.55
29	9	Re5	D5	327	327	1	8	323	99	96		1.6
30	9	Do5	C5	318	318	1	8	323	99	96		1.65
31	9	Si4	B4	314	314	1	8	323	95	96		1.7
32	9	Do5	C5	318	318	1	8	323	99	96	la 	1.75
33	9	Si4	B4	314	314	1	16	161	99	96		1.775
34	9	La4	A4	305	305	1	16	161	99	96		1.8
35	9	La4	A4	305	305	1	4	645	95	96		1.9
36	9	Es	Es	-1	-1	1	4	645	100	0		2.0
37	9	Sol4	G4	296	296	1	8	323	99	96	ah 	2.05
38	9	La4	A4	305	305	3	8	968	95	96		2.2
39	9	Sol4	G4	296	296	1	4	645	99	96	ben	2.3
40	9	La4	A4	305	305	3	8	968	95	96		2.45
41	9	Do5	C5	318	318	1	8	323	95	96	de	2.5
42	9	Si4	B4	314	314	1	8	323	99	96	ni 	2.55
43	9	La4	A4	305	305	1	8	323	95	96		2.6
44	9	Sol4	G4	296	296	1	4	645	99	96	ey 	2.7
45	9	Sol4	G4	296	296	1	8	323	99	96		2.75
46	9	La4	A4	305	305	1	8	323	99	96		2.8
47	9	Si4	B4	314	314	1	8	323	99	96		2.85
48	9	Do5	C5	318	318	1	8	323	99	96		2.9
49	9	Re5	D5	327	327	1	4	645	95	96		3.0
50	9	Es	Es	-1	-1	1	2	1290	100	0		3.2
51	9	La4	A4	305	305	1	4	645	95	96	ka	3.3
52	9	Si4b5	B4b5	309	309	1	2	1290	95	96	şı 	3.5
53	9	La4	A4	305	305	1	8	323	99	96	ke	3.55
54	9	Sol4	G4	296	296	1	8	323	99	96		3.6
55	8	La4	A4	305	305	0	0	0	99	96		3.6
56	9	Sol4	G4	296	296	1	8	323	99	96		3.65
57	9	La4	A4	305	305	1	8	323	95	96		3.7
58	9	La4	A4	305	305	1	2	1290	95	96	man  	3.9
59	9	Es	Es	-1	-1	1	4	645	100	0		4.0
60	9	Fa5	F5	340	340	1	2	1290	95	96	Ah 	4.2
61	9	La5	A5	358	358	1	8	323	99	96	Dûr_	4.25
62	9	Sol5	G5	349	349	1	8	323	95	96		4.3
63	9	Sol5	G5	349	349	1	8	323	99	96	et	4.35
64	9	Fa5	F5	340	340	1	8	323	99	96		4.4
65	9	Fa5	F5	340	340	1	8	323	99	96		4.45
66	9	Mi5	E5	336	336	1	8	323	95	96		4.5
67	9	Mi5	E5	336	336	1	8	323	99	96	me 	4.55
68	9	Re5	D5	327	327	1	8	323	99	96		4.6
69	8	Fa5	F5	340	340	0	0	0	99	96		4.6
70	9	Mi5	E5	336	336	1	8	323	99	96		4.65
71	9	Re5	D5	327	327	1	8	323	95	96		4.7
72	9	Do5	C5	318	318	1	8	323	99	96	ya	4.75
73	9	Re5	D5	327	327	1	8	323	99	96		4.8
74	9	Mi5	E5	336	336	1	8	323	99	96		4.85
75	9	Fa5	F5	340	340	1	8	323	99	96		4.9
76	9	Sol5	G5	349	349	1	8	323	99	96		4.95
77	9	La5	A5	358	358	1	8	323	99	96		5.0
78	9	Fa5	F5	340	340	1	8	323	99	96		5.05
79	9	Mi5	E5	336	336	1	4	645	99	96		5.15
80	9	Re5	D5	327	327	1	8	323	95	96		5.2
81	9	Re5	D5	327	327	1	4	645	95	96	nın	5.3
82	9	Mi5	E5	336	336	1	8	323	99	96	dan 	5.35
83	9	Re5	D5	327	327	1	8	323	99	96		5.4
84	8	Mi5	E5	336	336	0	0	0	99	96		5.4
85	9	Re5	D5	327	327	1	8	323	99	96		5.45
86	9	Do5	C5	318	318	1	8	323	95	96		5.5
87	9	Do5	C5	318	318	1	8	323	99	96	as	5.55
88	9	Re5	D5	327	327	1	8	323	99	96		5.6
89	9	Do5	C5	318	318	1	8	323	99	96		5.65
90	9	Si4	B4	314	314	1	8	323	95	96		5.7
91	9	Do5	C5	318	318	1	8	323	99	96	la 	5.75
92	9	Si4	B4	314	314	1	16	161	99	96		5.775
93	9	La4	A4	305	305	1	16	161	99	96		5.8
94	9	La4	A4	305	305	1	4	645	95	96		5.9
95	9	Es	Es	-1	-1	1	4	645	100	0		6.0
96	9	Sol4	G4	296	296	1	8	323	99	96	ah 	6.05
97	9	La4	A4	305	305	3	8	968	95	96		6.2
98	9	Sol4	G4	296	296	1	4	645	99	96	ben	6.3
99	9	La4	A4	305	305	3	8	968	95	96		6.45
100	9	Do5	C5	318	318	1	8	323	95	96	de	6.5
101	9	Si4	B4	314	314	1	8	323	99	96	ni 	6.55
