Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Fa5	F5	340	340	1	4	1250	95	96	Bez
2	9	Do5	C5	318	318	1	8	625	95	96	mi
3	9	Mi5	E5	336	336	1	16	312	99	96	miz 
4	9	Fa5	F5	340	340	1	16	312	99	96	
5	9	Sol5	G5	349	349	1	16	312	99	96	
6	11	Fa5	F5	340	340	1	16	312	95	96	
7	9	Fa5	F5	340	340	3	8	1875	95	96	mut
8	9	Re5	D5	327	327	1	4	1250	95	96	rýb 
9	9	Mi5	E5	336	336	1	8	625	95	96	i
10	9	Fa5	F5	340	340	1	16	312	99	96	le 
11	9	Mi5	E5	336	336	1	16	312	99	96	
12	9	Re5	D5	327	327	1	16	312	99	96	
13	9	Do5#4	C5#4	322	322	1	16	312	95	96	
14	9	Re5	D5	327	327	3	8	1875	95	96	hay
15	9	Re5	D5	327	327	1	4	1250	95	96	ret
16	9	Mi5	E5	336	336	1	8	625	95	96	fe
17	9	Do5	C5	318	318	1	4	1250	95	96	zâ
18	9	Re5	D5	327	327	1	8	625	99	96	yý 
19	9	Mi5	E5	336	336	1	8	625	99	96	
20	9	Fa5	F5	340	340	1	8	625	95	96	
21	9	La5	A5	358	358	1	16	312	99	96	bezm_
22	9	Si5b5	B5b5	362	362	1	16	312	99	96	
23	9	La5	A5	358	358	1	8	625	95	96	
24	9	Sol5	G5	349	349	1	16	312	99	96	i 
25	9	La5	A5	358	358	1	16	312	95	96	
26	9	Sol5	G5	349	349	1	16	312	99	96	cem  
27	9	Fa5	F5	340	340	1	16	312	99	96	
28	9	Fa5	F5	340	340	1	16	312	99	96	
29	9	Mi5	E5	336	336	1	16	312	99	96	
30	9	Fa5	F5	340	340	3	8	1875	95	96	
31	9	Fa5	F5	340	340	1	8	625	99	96	Din
32	9	Mi5	E5	336	336	1	8	625	95	96	
33	9	Fa5	F5	340	340	1	8	625	95	96	le 
34	9	Sol5	G5	349	349	1	8	625	99	96	ey 
35	9	La5	A5	358	358	1	8	625	95	96	
36	9	La5	A5	358	358	1	8	625	99	96	þûh_
37	9	Sol5	G5	349	349	1	8	625	99	96	
38	9	Fa5	F5	340	340	1	8	625	95	96	
39	12	Mi5	E5	336	336	1	4	1250	99	96	i 
40	9	Re5	D5	327	327	1	8	625	95	96	A
41	9	Re5	D5	327	327	1	16	312	99	96	cem
42	10	Mi5	E5	336	336	7	128	273	99	96	
43	8	Fa5	F5	340	340	1	128	39	99	96	
44	9	Mi5	E5	336	336	1	16	312	99	96	
45	9	Re5	D5	327	327	1	16	312	95	96	
46	9	Do5	C5	318	318	3	8	1875	95	96	kür
47	9	Do5	C5	318	318	1	4	1250	95	96	dî
48	9	Do5	C5	318	318	1	8	625	95	96	dir_
49	9	Do5	C5	318	318	1	8	625	99	96	iþ
50	9	Mi5b5	E5b5	331	331	1	8	625	95	96	
51	9	Re5	D5	327	327	1	8	625	99	96	te 
52	9	Do5	C5	318	318	1	8	625	99	96	
53	9	Si4b5	B4b5	309	309	1	8	625	95	96	
54	9	Si4b5	B4b5	309	309	1	8	625	99	96	bu 
55	9	La4	A4	305	305	1	8	625	95	96	
56	9	Sol4	G4	296	296	1	8	625	95	96	ne
57	9	La4	A4	305	305	1	16	312	99	96	gam  
58	10	Si4b5	B4b5	309	309	7	128	273	99	96	
59	8	Do5	C5	318	318	1	128	39	99	96	
60	9	Si4b5	B4b5	309	309	1	16	312	99	96	
61	11	La4	A4	305	305	1	16	312	99	96	
62	9	La4	A4	305	305	3	8	1875	95	96	
