Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	3	4	0	4	0	Semâî	0.0
2	9	Re5	D5	327	327	3	8	625	95	96	ARANAĞME	0.5
3	9	Fa5	F5	340	340	1	8	208	95	96	.	0.666666666667
4	9	Mi5	E5	336	336	1	8	208	95	96	.	0.833333333333
5	9	Re5	D5	327	327	1	8	208	95	96	.	1.0
6	9	Do5	C5	318	318	3	8	625	95	96	.	1.5
7	9	Mi5	E5	336	336	1	8	208	95	96	.	1.66666666667
8	9	Re5	D5	327	327	1	8	208	95	96	.	1.83333333333
9	9	Do5	C5	318	318	1	8	208	95	96	.	2.0
10	9	Si4b5	B4b5	309	309	3	8	625	95	96	.	2.5
11	9	Re5	D5	327	327	1	8	208	95	96	.	2.66666666667
12	9	Do5	C5	318	318	1	8	208	95	96	.	2.83333333333
13	9	Si4b5	B4b5	309	309	1	8	208	95	96	.	3.0
14	9	La4	A4	305	305	1	4	417	95	96	.	3.33333333333
15	9	Do5#4	C5#4	322	322	1	4	417	95	96	.	3.66666666667
16	9	Re5	D5	327	327	1	4	417	95	96	.	4.0
17	9	Re5	D5	327	327	3	8	625	95	96	ARANAĞME	4.5
18	9	Fa5	F5	340	340	1	8	208	95	96	.	4.66666666667
19	9	Mi5	E5	336	336	1	8	208	95	96	.	4.83333333333
20	9	Re5	D5	327	327	1	8	208	95	96	.	5.0
21	9	Do5	C5	318	318	3	8	625	95	96	.	5.5
22	9	Mi5	E5	336	336	1	8	208	95	96	.	5.66666666667
23	9	Re5	D5	327	327	1	8	208	95	96	.	5.83333333333
24	9	Do5	C5	318	318	1	8	208	95	96	.	6.0
25	9	Si4b5	B4b5	309	309	3	8	625	95	96	.	6.5
26	9	Re5	D5	327	327	1	8	208	95	96	.	6.66666666667
27	9	Do5	C5	318	318	1	8	208	95	96	.	6.83333333333
28	9	Si4b5	B4b5	309	309	1	8	208	95	96	.	7.0
29	9	La4	A4	305	305	3	4	1250	95	96	.	8.0
30	9	La5	A5	358	358	1	4	417	95	96	Yıl	8.33333333333
31	9	La5	A5	358	358	1	4	417	95	96	lar 	8.66666666667
32	9	La5	A5	358	358	1	4	417	95	96	son	9.0
33	9	La5	A5	358	358	1	4	417	95	96	ra 	9.33333333333
34	9	Sol5	G5	349	349	1	4	417	95	96	rast	9.66666666667
35	9	Fa5	F5	340	340	1	4	417	95	96	la	10.0
36	9	La5	A5	358	358	3	4	1250	100	96	dım 	11.0
37	9	La5	A5	358	358	3	4	1250	95	96		12.0
38	9	La5	A5	358	358	1	4	417	95	96	ço	12.3333333333
39	9	Si5b5	B5b5	362	362	1	4	417	95	96	cuk	12.6666666667
40	9	La5	A5	358	358	1	4	417	95	96	luk 	13.0
41	9	Sol5	G5	349	349	1	4	417	95	96	sev	13.3333333333
42	9	Fa5	F5	340	340	1	4	417	95	96	gi	13.6666666667
43	9	Mi5	E5	336	336	1	4	417	95	96	li	14.0
44	9	Re5	D5	327	327	3	4	1250	100	96	me  	15.0
45	9	Re5	D5	327	327	3	4	1250	95	96		16.0
46	9	Si5b5	B5b5	362	362	1	4	417	95	96	O 	16.3333333333
47	9	Si5b5	B5b5	362	362	1	4	417	95	96	â	16.6666666667
48	9	Si5b5	B5b5	362	362	1	4	417	95	96	şi	17.0
49	9	Si5b5	B5b5	362	362	1	4	417	95	96	nâ 	17.3333333333
50	9	La5	A5	358	358	1	4	417	95	96	ba	17.6666666667
51	9	Sol5	G5	349	349	1	4	417	95	96	kış	18.0
52	9	Si5b5	B5b5	362	362	3	4	1250	99	96	lar 	19.0
53	9	Si5b5	B5b5	362	362	1	4	417	99	96		19.3333333333
54	9	La5	A5	358	358	1	4	417	99	96		19.6666666667
55	9	Sol5	G5	349	349	1	4	417	95	96		20.0
56	9	La5	A5	358	358	1	4	417	95	96	i	20.3333333333
