Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	La4	A4	305	305	1	4	769	95	96	ARANAÐME
2	9	Do5	C5	318	318	1	4	769	95	96	.
3	9	Fa5	F5	340	340	1	4	769	95	96	.
4	9	Mi5	E5	336	336	1	8	385	95	96	.
5	9	Sol5	G5	349	349	1	8	385	95	96	.
6	9	Fa5	F5	340	340	1	2	1538	95	96	.
7	9	Si5b5	B5b5	362	362	3	16	577	95	96	.
8	9	La5	A5	358	358	1	16	192	95	96	.
9	9	Sol5	G5	349	349	3	16	577	95	96	.
10	9	Fa5	F5	340	340	1	16	192	95	96	.
11	9	Mi5	E5	336	336	3	16	577	95	96	.
12	9	Re5	D5	327	327	1	16	192	95	96	.
13	9	Re5	D5	327	327	1	8	385	95	96	.
14	9	Mi5	E5	336	336	1	16	192	95	96	.
15	9	Re5	D5	327	327	1	16	192	95	96	.
16	9	Do5	C5	318	318	1	2	1538	95	96	.
17	9	Do5	C5	318	318	1	4	769	95	96	.
18	9	Re5	D5	327	327	3	16	577	95	96	.
19	9	Do5	C5	318	318	1	16	192	95	96	.
20	9	Re5	D5	327	327	1	8	385	95	96	.
21	9	Mi5	E5	336	336	1	8	385	95	96	.
22	9	Fa5	F5	340	340	1	12	256	95	96	.
23	9	Sol5	G5	349	349	1	12	256	95	96	.
24	9	La5	A5	358	358	1	12	256	95	96	.
25	9	Si5b5	B5b5	362	362	1	2	1538	95	96	.
26	9	La5	A5	358	358	3	16	577	95	96	.
27	9	Sol5	G5	349	349	1	16	192	95	96	.
28	9	Fa5	F5	340	340	3	16	577	95	96	.
29	9	Mi5	E5	336	336	1	16	192	95	96	.
30	9	Re5	D5	327	327	1	4	769	95	96	.
31	9	Mi5	E5	336	336	1	8	385	95	96	.
32	9	Sol5	G5	349	349	1	16	192	95	96	.
33	11	Fa5	F5	340	340	1	16	192	95	90	.
34	9	Fa5	F5	340	340	1	2	1538	95	96	.
35	9	Fa5	F5	340	340	1	4	769	95	96	.
36	9	Mi5	E5	336	336	1	4	769	95	96	.
37	9	Fa5	F5	340	340	1	4	769	95	96	.
38	9	Sol5	G5	349	349	1	8	385	95	96	.
39	9	Fa5	F5	340	340	1	16	192	95	96	.
40	11	Mi5	E5	336	336	1	16	192	95	90	.
41	9	Mi5	E5	336	336	3	8	1154	95	96	.
42	9	Re5	D5	327	327	1	8	385	95	96	.
43	9	Re5	D5	327	327	3	8	1154	95	96	.
44	9	Do5	C5	318	318	1	8	385	95	96	.
45	9	Do5	C5	318	318	1	8	385	95	96	.
46	9	Re5	D5	327	327	1	16	192	95	96	.
47	9	Do5	C5	318	318	1	16	192	95	96	.
48	9	Si4b5	B4b5	309	309	1	8	385	95	96	.
49	9	La4	A4	305	305	1	8	385	95	96	.
50	9	Si4b5	B4b5	309	309	1	2	1538	95	96	.
51	9	La4	A4	305	305	1	4	769	95	96	.
52	9	Si4b5	B4b5	309	309	1	4	769	95	96	.
53	9	Si4b5	B4b5	309	309	3	16	577	95	96	.
54	9	La4	A4	305	305	1	16	192	95	96	.
55	9	Sol4	G4	296	296	1	4	769	95	96	.
56	9	La4	A4	305	305	1	8	385	95	96	.
57	9	Si4b5	B4b5	309	309	1	8	385	95	96	.
58	9	Do5	C5	318	318	1	8	385	95	96	.
59	9	Si4b5	B4b5	309	309	1	16	192	95	96	.
60	11	La4	A4	305	305	1	16	192	95	96	.
61	9	La4	A4	305	305	3	4	2307	95	96	.
62	9	Si4b5	B4b5	309	309	1	8	385	95	96	.
63	9	Do5	C5	318	318	1	8	385	95	96	.
64	9	La4	A4	305	305	1	2	1538	95	96	.
65	9	Fa5	F5	340	340	1	4	769	95	96	Aþ
66	9	Fa5	F5	340	340	1	4	769	95	96	kýn_
67	9	Fa5	F5	340	340	1	4	769	95	96	i
68	10	Mi5	E5	336	336	7	64	337	99	96	le 
69	8	La5	A5	358	358	1	64	48	99	96	
70	9	Sol5	G5	349	349	1	16	192	99	96	
71	11	Fa5	F5	340	340	1	16	192	95	90	
72	9	Fa5	F5	340	340	1	2	1538	95	96	gün
73	9	Si5b5	B5b5	362	362	1	4	769	99	96	düz 
74	9	La5	A5	358	358	1	8	385	99	96	
75	9	Sol5	G5	349	349	1	8	385	95	96	
76	9	Sol5	G5	349	349	1	8	385	99	96	ge
77	9	Fa5	F5	340	340	1	8	385	95	96	
78	9	Fa5	F5	340	340	1	8	385	99	96	ce 
79	9	Mi5	E5	336	336	1	8	385	95	96	
80	9	Mi5	E5	336	336	1	4	769	99	96	gir
81	9	Mi5	E5	336	336	1	8	385	99	96	
82	9	Re5	D5	327	327	1	8	385	95	96	
83	9	Re5	D5	327	327	1	8	385	99	96	yâ
84	9	Mi5	E5	336	336	1	4	769	99	96	
85	9	Re5	D5	327	327	1	16	192	99	96	
86	11	Do5	C5	318	318	1	16	192	95	90	
87	9	Do5	C5	318	318	1	4	769	95	96	ným_
88	9	Do5	C5	318	318	1	4	769	95	96	e
89	9	La5	A5	358	358	1	4	769	99	96	fen
90	9	Sol5	G5	349	349	1	8	385	99	96	
91	9	Fa5	F5	340	340	1	8	385	95	96	
92	9	Mi5	E5	336	336	1	4	769	95	96	dim  
93	9	Fa5	F5	340	340	1	4	769	95	96	
94	9	Do5	C5	318	318	1	8	385	95	96	SAZ
95	9	Re5	D5	327	327	1	16	192	95	96	.
96	9	Do5	C5	318	318	1	16	192	95	96	.
97	11	Si4b5	B4b5	309	309	1	8	385	95	96	.
98	9	Si4b5	B4b5	309	309	1	16	192	95	96	.
99	11	La4	A4	305	305	1	16	192	95	96	.
100	9	La4	A4	305	305	1	2	1538	95	90	.
101	9	Fa5	F5	340	340	1	4	769	95	96	Aþ
102	9	Fa5	F5	340	340	1	4	769	95	96	kýn_
103	9	Fa5	F5	340	340	1	4	769	95	96	i
104	10	Mi5	E5	336	336	7	64	337	99	96	le 
105	8	La5	A5	358	358	1	64	48	99	96	
106	9	Sol5	G5	349	349	1	16	192	99	96	
107	11	Fa5	F5	340	340	1	16	192	95	90	
108	9	Fa5	F5	340	340	1	2	1538	95	96	gün
109	9	Si5b5	B5b5	362	362	1	4	769	99	96	düz 
110	9	La5	A5	358	358	1	8	385	99	96	
111	9	Sol5	G5	349	349	1	8	385	95	96	
112	9	Sol5	G5	349	349	1	8	385	99	96	ge
113	9	Fa5	F5	340	340	1	8	385	95	96	
114	9	Fa5	F5	340	340	1	8	385	99	96	ce 
115	9	Mi5	E5	336	336	1	8	385	95	96	
116	9	Mi5	E5	336	336	1	4	769	99	96	gir
117	9	Mi5	E5	336	336	1	8	385	99	96	
118	9	Re5	D5	327	327	1	8	385	95	96	
119	9	Re5	D5	327	327	1	8	385	99	96	yâ
120	9	Mi5	E5	336	336	1	4	769	99	96	
121	9	Re5	D5	327	327	1	16	192	99	96	
122	11	Do5	C5	318	318	1	16	192	95	90	
123	9	Do5	C5	318	318	1	4	769	95	96	ným_
124	9	Do5	C5	318	318	1	4	769	95	96	e
125	9	La5	A5	358	358	1	4	769	99	96	fen
126	9	Sol5	G5	349	349	1	8	385	99	96	
127	9	Fa5	F5	340	340	1	8	385	95	96	
128	9	Mi5	E5	336	336	1	4	769	99	96	dim  
129	9	Fa5	F5	340	340	3	8	1154	95	96	
130	9	Do5	C5	318	318	1	8	385	95	96	SAZ
