Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	4	1250	95	96	Et	0.25
2	9	Re5	D5	327	327	1	8	625	95	96	se 	0.375
3	9	Fa5#4	F5#4	344	344	1	16	312	99	96	bir 	0.4375
4	9	Mi5b4	E5b4	332	332	1	16	312	99	96		0.5
5	9	Mi5b4	E5b4	332	332	1	16	312	99	96		0.5625
6	9	Re5	D5	327	327	1	16	312	95	96		0.625
7	9	Re5	D5	327	327	1	8	625	99	96	ker	0.75
8	9	Do5#4	C5#4	322	322	1	4	1250	95	96		1.0
9	9	Re5	D5	327	327	1	16	312	99	96	re 	1.0625
10	9	Mi5b4	E5b4	332	332	1	16	312	99	96		1.125
11	9	Re5	D5	327	327	1	8	625	95	96		1.25
12	9	Do5#4	C5#4	322	322	1	16	312	99	96	o 	1.3125
13	9	Re5	D5	327	327	1	16	312	95	96		1.375
14	9	Do5#4	C5#4	322	322	1	16	312	99	96	meh 	1.4375
15	9	Si4b4	B4b4	310	310	1	16	312	99	96		1.5
16	9	Si4b4	B4b4	310	310	1	16	312	99	96		1.5625
17	9	La4	A4	305	305	1	16	312	95	96		1.625
18	9	Si4b4	B4b4	310	310	1	16	312	99	96	nâz_	1.6875
19	9	La4	A4	305	305	1	16	312	99	96		1.75
20	9	Sol4	G4	296	296	1	16	312	99	96		1.8125
21	9	Fa4#4	F4#4	291	291	1	16	312	99	96		1.875
22	9	Sol4	G4	296	296	1	8	625	95	96		2.0
23	9	Re5	D5	327	327	1	4	1250	95	96	i	2.25
24	9	Mi5b4	E5b4	332	332	1	8	625	95	96	le 	2.375
25	9	Fa5#4	F5#4	344	344	1	8	625	99	96	fasl_	2.5
26	9	Mi5b4	E5b4	332	332	1	16	312	99	96		2.5625
27	9	Fa5#4	F5#4	344	344	1	16	312	95	96		2.625
28	9	Sol5	G5	349	349	1	8	625	99	96	ı 	2.75
29	9	La5	A5	358	358	1	8	625	99	96		2.875
30	9	Sol5	G5	349	349	1	8	625	95	96		3.0
31	9	La5	A5	358	358	1	16	312	99	96	A	3.0625
32	9	Do6	C6	371	371	1	16	312	99	96		3.125
33	9	Si5b5	B5b5	362	362	1	8	625	95	96		3.25
34	9	La5	A5	358	358	1	16	312	99	96	ra	3.3125
35	9	Si5b5	B5b5	362	362	1	16	312	95	96		3.375
36	9	La5	A5	358	358	1	16	312	99	96	bân  	3.4375
37	9	Sol5	G5	349	349	1	16	312	99	96		3.5
38	9	Sol5	G5	349	349	1	16	312	99	96		3.5625
39	9	Fa5#4	F5#4	344	344	1	16	312	99	96		3.625
40	9	Sol5	G5	349	349	1	4	1250	95	96		3.875
41	9	Es	Es	-1	-1	1	8	625	100	0		4.0
42	12	Sol5	G5	349	349	4	16	1250	95	96	Şa	4.25
43	9	Sol5	G5	349	349	1	8	625	95	96	şı	4.375
44	9	Fa5#4	F5#4	344	344	1	16	312	99	96	rır 	4.4375
45	9	Sol5	G5	349	349	1	16	312	99	96		4.5
46	9	La5	A5	358	358	1	16	312	99	96		4.5625
47	9	Si5b5	B5b5	362	362	1	16	312	95	96		4.625
48	9	La5	A5	358	358	1	16	312	99	96	Türk	4.6875
49	9	Sol5	G5	349	349	1	16	312	99	96		4.75
50	9	Fa5#4	F5#4	344	344	1	16	312	99	96		4.8125
51	9	Mi5b3	E5b4	333	332	1	16	312	99	96		4.875
52	9	Re5	D5	327	327	1	8	625	95	96		5.0
53	9	Re5	D5	327	327	1	4	1250	95	96	çe	5.25
54	9	Re5	D5	327	327	1	8	625	95	96	sin 	5.375
55	9	Re5	D5	327	327	1	16	312	99	96	Â	5.4375
56	9	Mi5b4	E5b4	332	332	1	16	312	99	96		5.5
57	9	Re5	D5	327	327	1	16	312	99	96		5.5625
58	9	Do5#4	C5#4	322	322	1	16	312	95	96		5.625
59	9	Si4b5	B4b5	309	309	1	16	312	99	96	râb_	5.6875
60	9	La4	A4	305	305	1	16	312	99	96		5.75
61	9	Sol4	G4	296	296	1	8	625	95	96		5.875
62	9	Es	Es	-1	-1	1	8	625	100	0		6.0
63	9	Re5	D5	327	327	1	4	1250	95	96	ı 	6.25
64	9	Mi5b4	E5b4	332	332	1	8	625	95	96	gü	6.375
65	9	Fa5#4	F5#4	344	344	1	8	625	99	96	rûh_	6.5
66	9	Mi5b4	E5b4	332	332	1	16	312	99	96		6.5625
67	9	Re5	D5	327	327	1	16	312	95	96		6.625
68	9	Fa5#4	F5#4	344	344	1	16	312	99	96	u 	6.6875
69	9	Sol5	G5	349	349	1	16	312	99	96		6.75
70	9	La5	A5	358	358	1	16	312	99	96		6.8125
71	9	Si5b5	B5b5	362	362	1	16	312	99	96		6.875
72	9	La5	A5	358	358	1	16	312	99	96		6.9375
73	9	Sol5	G5	349	349	1	16	312	95	96		7.0
74	9	Fa5#4	F5#4	344	344	1	4	1250	99	96	ur	7.25
75	9	Mi5b4	E5b4	332	332	1	16	312	99	96		7.3125
76	9	Re5	D5	327	327	1	16	312	95	96		7.375
77	9	Mi5b4	E5b4	332	332	1	16	312	99	96	bân  	7.4375
78	9	Re5	D5	327	327	1	16	312	99	96		7.5
79	9	Do5#4	C5#4	322	322	1	16	312	99	96		7.5625
80	9	Mi5b4	E5b4	332	332	1	16	312	99	96		7.625
81	9	Re5	D5	327	327	1	4	1250	95	96		7.875
82	9	Es	Es	-1	-1	1	8	625	100	0		8.0
