Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	1	4	1000	95	96		0.25
2	9	Sol5	G5	349	349	1	4	1000	95	96		0.5
3	9	Sol5	G5	349	349	1	4	1000	95	96		0.75
4	9	La5	A5	358	358	1	4	1000	95	96		1.0
5	9	Sol5	G5	349	349	1	4	1000	95	96		1.25
6	9	Fa5	F5	340	340	1	8	500	95	96		1.375
7	9	Mi5b2	E5b1	334	335	1	8	500	95	96		1.5
8	9	Re5	D5	327	327	3	8	1500	95	96		1.875
9	9	Do5	C5	318	318	1	8	500	95	96		2.0
10	9	Es	Es	-1	-1	1	8	500	100	0		2.125
11	9	Fa5	F5	340	340	1	8	500	95	96		2.25
12	9	Mi5b2	E5b1	334	335	1	8	500	95	96		2.375
13	9	Re5	D5	327	327	1	8	500	95	96		2.5
14	9	Mi5b2	E5b1	334	335	1	4	1000	95	96		2.75
15	9	Fa5	F5	340	340	1	4	1000	95	96		3.0
16	9	Sol5	G5	349	349	1	8	500	95	96		3.125
17	9	Fa5	F5	340	340	1	16	250	95	96		3.1875
18	9	Mi5b2	E5b1	334	335	1	16	250	95	96		3.25
19	9	Si5b5	B5b5	362	362	1	8	500	95	96		3.375
20	9	La5	A5	358	358	1	16	250	95	96		3.4375
21	9	Sol5	G5	349	349	1	16	250	95	96		3.5
22	9	Sol5	G5	349	349	1	2	2000	95	96		4.0
23	9	Es	Es	-1	-1	1	8	500	100	0		4.125
24	9	Sol5	G5	349	349	1	4	1000	95	96		4.375
25	9	La5b5	A5b5	353	353	1	8	500	95	96		4.5
26	9	Sol5	G5	349	349	1	16	250	95	96		4.5625
27	9	Fa5	F5	340	340	1	16	250	95	96		4.625
28	9	Fa5	F5	340	340	1	16	250	95	96		4.6875
29	9	Mi5b2	E5b1	334	335	1	16	250	95	96		4.75
30	9	Fa5	F5	340	340	1	4	1000	95	96		5.0
31	9	Sol5	G5	349	349	1	8	500	95	96		5.125
32	9	La5b4	A5b4	354	354	1	8	500	95	96		5.25
33	9	Do6	C6	371	371	1	8	500	95	96		5.375
34	9	Si5b1	B5b1	366	366	1	8	500	95	96		5.5
35	9	La5b4	A5b4	354	354	1	8	500	95	96		5.625
36	9	Sol5	G5	349	349	1	8	500	95	96		5.75
37	9	Fa5	F5	340	340	1	8	500	95	96		5.875
38	9	Mi5b2	E5b1	334	335	1	8	500	95	96		6.0
39	9	Es	Es	-1	-1	1	8	500	100	0		6.125
40	9	Si5b5	B5b5	362	362	1	4	1000	95	96		6.375
41	9	Si5b5	B5b5	362	362	1	16	250	95	96		6.4375
42	9	La5	A5	358	358	1	16	250	95	96		6.5
43	9	La5	A5	358	358	1	8	500	95	96		6.625
44	9	Sol5	G5	349	349	1	8	500	95	96		6.75
45	9	Sol5	G5	349	349	1	8	500	95	96		6.875
46	9	Fa5	F5	340	340	1	8	500	95	96		7.0
47	9	Fa5	F5	340	340	3	16	750	95	96		7.1875
48	9	Mi5b2	E5b1	334	335	1	16	250	95	96		7.25
49	9	Fa5	F5	340	340	1	16	250	95	96		7.3125
50	9	Mi5b2	E5b1	334	335	1	16	250	95	96		7.375
51	9	Mi5b2	E5b1	334	335	1	16	250	95	96		7.4375
52	9	Re5	D5	327	327	1	16	250	95	96		7.5
53	9	Re5	D5	327	327	1	2	2000	95	96		8.0
54	9	Do5	C5	318	318	1	4	1000	95	96		8.25
55	9	Sol5	G5	349	349	1	4	1000	95	96		8.5
56	9	Sol5	G5	349	349	3	16	750	95	96		8.6875
57	9	Fa5#4	F5#4	344	344	1	16	250	95	96		8.75
58	9	Mi5b4	E5b4	332	332	1	16	250	95	96		8.8125
59	9	Re5	D5	327	327	1	16	250	95	96		8.875
60	9	Mi5b4	E5b4	332	332	1	8	500	95	96		9.0
61	9	Fa5#4	F5#4	344	344	1	8	500	95	96		9.125
62	9	Sol5	G5	349	349	1	8	500	95	96		9.25
63	9	La5	A5	358	358	1	8	500	95	96		9.375
64	9	Si5b5	B5b5	362	362	1	8	500	95	96		9.5
65	9	La5	A5	358	358	1	16	250	95	96		9.5625
66	9	Sol5	G5	349	349	1	16	250	95	96		9.625
67	9	Sol5	G5	349	349	1	16	250	95	96		9.6875
68	9	Fa5#4	F5#4	344	344	1	16	250	95	96		9.75
69	9	Sol5	G5	349	349	1	4	1000	95	96		10.0
70	9	Es	Es	-1	-1	1	8	500	100	0		10.125
71	9	Do6	C6	371	371	1	8	500	95	96		10.25
72	9	Si5b5	B5b5	362	362	1	8	500	95	96		10.375
73	9	La5	A5	358	358	1	8	500	95	96		10.5
74	9	La5	A5	358	358	1	8	500	95	96		10.625
75	9	Sol5	G5	349	349	1	8	500	95	96		10.75
76	9	Sol5	G5	349	349	1	8	500	95	96		10.875
77	9	Fa5#4	F5#4	344	344	1	8	500	95	96		11.0
78	9	Fa5#4	F5#4	344	344	1	8	500	95	96		11.125
79	9	Mi5b4	E5b4	332	332	1	8	500	95	96		11.25
80	9	Mi5b4	E5b4	332	332	1	8	500	95	96		11.375
81	9	Re5	D5	327	327	1	8	500	95	96		11.5
82	9	Sol5	G5	349	349	1	16	250	95	96		11.5625
83	9	Fa5#4	F5#4	344	344	1	16	250	95	96		11.625
84	9	Mi5b4	E5b4	332	332	1	16	250	95	96		11.6875
85	9	Re5	D5	327	327	1	16	250	95	96		11.75
86	9	Do5	C5	318	318	1	16	250	95	96		11.8125
