Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5b3	D5b4	324	323	5	16	1389	95	96	ARANAĞME	0.500000
2	9	Do5	C5	318	318	5	16	1389	95	96	.	1.000000
3	9	Si4b1	B4b1	313	313	5	16	1389	95	96	.	1.500000
4	9	La4	A4	305	305	5	16	1389	95	96	.	2.000000
5	9	Do5	C5	318	318	5	16	1389	95	96	.	2.500000
6	9	Si4b1	B4b1	313	313	5	16	1389	95	96	.	3.000000
7	9	La4	A4	305	305	1	8	556	95	96	.	3.200000
8	9	Do5	C5	318	318	1	16	278	95	96	.	3.300000
9	9	Si4b1	B4b1	313	313	1	16	278	95	96	.	3.400000
10	9	La4	A4	305	305	1	16	278	95	96	.	3.500000
11	9	La4	A4	305	305	1	16	278	95	96	.	3.600000
12	9	Sol4	G4	296	296	1	16	278	95	96	.	3.700000
13	9	Fa4#4	F4#4	291	291	3	16	833	95	96	.	4.000000
14	9	Fa4#4	F4#4	291	291	1	16	278	95	96	.	4.100000
15	9	Sol4	G4	296	296	1	16	278	95	96	.	4.200000
16	9	La4	A4	305	305	1	16	278	95	96	.	4.300000
17	9	La4	A4	305	305	1	16	278	95	96	.	4.400000
18	9	Sol4	G4	296	296	1	16	278	95	96	.	4.500000
19	9	La4	A4	305	305	1	16	278	95	96	.	4.600000
20	9	Si4b1	B4b1	313	313	1	16	278	95	96	.	4.700000
21	9	Do5	C5	318	318	1	16	278	95	96	.	4.800000
22	9	Do5	C5	318	318	1	16	278	95	96	.	4.900000
23	9	Si4b1	B4b1	313	313	1	16	278	95	96	.	5.000000
24	9	Do5	C5	318	318	1	16	278	95	96	.	5.100000
25	9	Re5b3	D5b4	324	323	1	16	278	95	96	.	5.200000
26	9	Mi5	E5	336	336	1	16	278	95	96	.	5.300000
27	9	Fa5	F5	340	340	1	16	278	95	96	.	5.400000
28	9	La5	A5	358	358	1	16	278	95	96	.	5.500000
29	9	Sol4	G4	296	296	1	16	278	95	96	.	5.600000
30	9	Fa5	F5	340	340	1	16	278	95	96	.	5.700000
31	9	Mi5	E5	336	336	1	8	556	95	96	.	5.900000
32	9	Re5b3	D5b4	324	323	1	16	278	95	96	.	6.000000
33	9	Do5	C5	318	318	1	8	556	95	96	.	6.200000
34	9	Re5b3	D5b4	324	323	1	16	278	95	96	.	6.300000
35	9	Do5	C5	318	318	1	16	278	95	96	.	6.400000
36	9	Si4b1	B4b1	313	313	1	16	278	95	96	.	6.500000
37	9	La4	A4	305	305	1	16	278	95	96	.	6.600000
38	9	Si4b1	B4b1	313	313	1	16	278	95	96	.	6.700000
39	9	Do5	C5	318	318	3	16	833	95	96	.	7.000000
40	9	Re5b3	D5b4	324	323	5	16	1389	95	96	ARANAĞME	7.500000
41	9	Do5	C5	318	318	5	16	1389	95	96	.	8.000000
42	9	Si4b1	B4b1	313	313	5	16	1389	95	96	.	8.500000
43	9	La4	A4	305	305	5	16	1389	95	96	.	9.000000
44	9	Do5	C5	318	318	5	16	1389	95	96	.	9.500000
45	9	Si4b1	B4b1	313	313	5	16	1389	95	96	.	10.000000
46	9	La4	A4	305	305	1	8	556	95	96	.	10.200000
47	9	Do5	C5	318	318	1	16	278	95	96	.	10.300000
48	9	Si4b1	B4b1	313	313	1	16	278	95	96	.	10.400000
49	9	La4	A4	305	305	1	16	278	95	96	.	10.500000
50	9	La4	A4	305	305	1	16	278	95	96	.	10.600000
51	9	Sol4	G4	296	296	1	16	278	95	96	.	10.700000
52	9	Fa4#4	F4#4	291	291	3	16	833	95	96	.	11.000000
53	9	Fa4#4	F4#4	291	291	1	16	278	95	96	.	11.100000
54	9	Sol4	G4	296	296	1	16	278	95	96	.	11.200000
55	9	La4	A4	305	305	1	16	278	95	96	.	11.300000
56	9	La4	A4	305	305	1	16	278	95	96	.	11.400000
57	9	Sol4	G4	296	296	1	16	278	95	96	.	11.500000
58	9	La4	A4	305	305	1	16	278	95	96	.	11.600000
59	9	Si4b1	B4b1	313	313	1	16	278	95	96	.	11.700000
60	9	Do5	C5	318	318	1	16	278	95	96	.	11.800000
61	9	Do5	C5	318	318	1	16	278	95	96	.	11.900000
62	9	Si4b1	B4b1	313	313	1	16	278	95	96	.	12.000000
63	9	La4	A4	305	305	1	8	556	95	96	.	12.200000
64	9	Re5b3	D5b4	324	323	1	16	278	95	96	.	12.300000
65	9	Do5	C5	318	318	1	16	278	95	96	.	12.400000
66	9	Si4b1	B4b1	313	313	1	16	278	95	96	.	12.500000
67	9	Si4b1	B4b1	313	313	1	16	278	95	96	.	12.600000
