Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	3	8	1500	95	96		0.375
2	9	Si4b2	B4b1	312	313	1	8	500	95	96		0.5
3	9	Do5	C5	318	318	1	8	500	95	96		0.625
4	9	Si4b2	B4b1	312	313	1	16	250	95	96		0.6875
5	9	Re5b3	D5b4	324	323	1	16	250	95	96		0.75
6	9	Do5	C5	318	318	1	4	1000	95	96		1.0
7	9	Es	Es	-1	-1	1	8	500	100	0		1.125
8	9	Re5b3	D5b4	324	323	1	8	500	95	96		1.25
9	9	Do5	C5	318	318	1	8	500	95	96		1.375
10	9	Si4b2	B4b1	312	313	1	8	500	95	96		1.5
11	9	La4	A4	305	305	1	16	250	95	96		1.5625
12	9	Si4b2	B4b1	312	313	1	16	250	95	96		1.625
13	9	La4	A4	305	305	1	16	250	95	96		1.6875
14	9	Sol4	G4	296	296	1	16	250	95	96		1.75
15	9	Fa4#4	F4#4	291	291	1	4	1000	95	96		2.0
16	9	Es	Es	-1	-1	1	4	1000	100	0		2.25
17	9	Fa4#4	F4#4	291	291	1	8	500	95	96		2.375
18	9	Sol4	G4	296	296	1	8	500	95	96		2.5
19	9	La4	A4	305	305	1	4	1000	95	96		2.75
20	9	Si4b2	B4b1	312	313	1	4	1000	95	96		3.0
21	9	Do5	C5	318	318	1	8	500	95	96		3.125
22	9	Re5b3	D5b4	324	323	1	4	1000	95	96		3.375
23	9	Do5	C5	318	318	1	8	500	95	96		3.5
24	9	Do5	C5	318	318	1	16	250	95	96		3.5625
25	9	Si4b2	B4b1	312	313	1	16	250	95	96		3.625
26	9	Si4b2	B4b1	312	313	1	16	250	95	96		3.6875
27	9	La4	A4	305	305	1	16	250	95	96		3.75
28	9	Si4b2	B4b1	312	313	1	4	1000	95	96		4.0
29	9	Es	Es	-1	-1	1	4	1000	100	0		4.25
30	9	La4	A4	305	305	1	8	500	95	96		4.375
31	9	Si4b2	B4b1	312	313	1	8	500	95	96		4.5
32	9	Do5	C5	318	318	1	8	500	95	96		4.625
33	9	Re5b3	D5b4	324	323	1	8	500	95	96		4.75
34	9	Mi5	E5	336	336	1	8	500	95	96		4.875
35	9	Fa5	F5	340	340	1	8	500	95	96		5.0
