Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	1	2	1667	100	0		0.222222222222
2	9	Es	Es	-1	-1	1	8	417	100	0		0.277777777778
3	9	Fa5	F5	340	340	1	8	417	99	96	Geç	0.333333333333
4	9	Mi5	E5	336	336	1	8	417	95	96		0.388888888889
5	9	Re5	D5	327	327	1	8	417	95	96	ti 	0.444444444444
6	9	Do5	C5	318	318	1	8	417	99	96	sev	0.5
7	9	Si4b2	B4b1	312	313	1	8	417	99	96		0.555555555556
8	9	Do5	C5	318	318	1	8	417	99	96		0.611111111111
9	9	Re5	D5	327	327	1	8	417	95	96		0.666666666667
10	9	Re5	D5	327	327	1	2	1667	99	96	da	0.888888888889
11	9	Mi5	E5	336	336	1	8	417	99	96		0.944444444444
12	9	Fa5	F5	340	340	1	8	417	99	96		1.0
13	9	Mi5	E5	336	336	1	8	417	99	96		1.05555555556
14	9	Re5	D5	327	327	1	8	417	99	96		1.11111111111
15	9	Do5	C5	318	318	1	8	417	95	96		1.16666666667
16	9	Si4b2	B4b1	312	313	1	8	417	99	96		1.22222222222
17	9	Si4b2	B4b1	312	313	1	8	417	95	96		1.27777777778
18	9	Do5	C5	318	318	1	4	833	95	96	lar	1.38888888889
19	9	Re5	D5	327	327	1	8	417	95	96	la 	1.44444444444
20	9	Do5	C5	318	318	3	16	625	99	96	öm	1.52777777778
21	9	Si4b2	B4b1	312	313	1	16	208	99	96		1.55555555556
22	9	Si4b2	B4b1	312	313	1	16	208	99	96		1.58333333333
23	9	La4	A4	305	305	1	16	208	99	96		1.61111111111
24	9	Si4b2	B4b1	312	313	1	16	208	99	96		1.63888888889
25	9	La4	A4	305	305	1	16	208	95	96		1.66666666667
26	9	La4	A4	305	305	1	2	1667	99	96	rüm 	1.88888888889
27	9	Si4b2	B4b1	312	313	1	8	417	99	96		1.94444444444
28	9	Do5	C5	318	318	1	8	417	99	96		2.0
29	9	La4	A4	305	305	1	2	1667	95	96		2.22222222222
30	9	Es	Es	-1	-1	1	8	417	100	0		2.27777777778
31	9	La4	A4	305	305	1	4	833	95	96	ih	2.38888888889
