Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	9	8	0	20	0	Aksak	0.0
2	1	Fa5	F5	340	340	1	4	1000	95	96	.	0.222222222222
3	9	Re5	D5	327	327	1	8	500	95	96	Se	0.333333333333
4	9	Mi5	E5	336	336	1	8	500	95	96	bep 	0.444444444444
5	9	Fa5	F5	340	340	1	4	1000	50	96	ne 	0.666666666667
6	9	La5	A5	358	358	1	16	250	99	96	bak	0.722222222222
7	9	Sol5	G5	349	349	1	16	250	99	96		0.777777777778
8	9	Sol5	G5	349	349	1	16	250	99	96		0.833333333333
9	9	Fa5	F5	340	340	1	16	250	99	96		0.888888888889
10	9	Fa5	F5	340	340	1	16	250	99	96		0.944444444444
11	9	Mi5	E5	336	336	1	16	250	99	96		1.0
12	9	Mi5	E5	336	336	1	16	250	99	96		1.05555555556
13	9	Re5	D5	327	327	1	16	250	99	96		1.11111111111
14	9	Re5	D5	327	327	1	16	250	99	96		1.16666666667
15	9	Do5	C5	318	318	1	16	250	95	96		1.22222222222
16	9	Re5	D5	327	327	1	8	500	95	96	mı	1.33333333333
17	7	Mi5	E5	336	336	1	8	500	95	96	yor 	1.44444444444
18	9	Re5	D5	327	327	1	16	250	99	96	yâ	1.5
19	9	Do5	C5	318	318	1	16	250	99	96		1.55555555556
20	9	Si4b2	B4b1	312	313	1	16	250	99	96		1.61111111111
21	9	Do5	C5	318	318	1	16	250	95	96		1.66666666667
22	9	Si4b2	B4b1	312	313	1	8	500	99	96	rim 	1.77777777778
23	9	Do5	C5	318	318	1	4	1000	95	96		2.0
24	9	Do5	C5	318	318	1	8	500	99	96	yü	2.11111111111
25	9	Re5	D5	327	327	1	4	1000	99	96		2.33333333333
26	9	Mi5	E5	336	336	1	16	250	99	96		2.38888888889
27	9	Fa5	F5	340	340	1	16	250	99	96		2.44444444444
28	9	Mi5	E5	336	336	1	16	250	99	96		2.5
