Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	8	476	95	96	Gö	0.125
2	9	Re5	D5	327	327	1	4	952	95	96	nül 	0.375
3	9	Re5	D5	327	327	1	8	476	95	96	te	0.5
4	9	Re5	D5	327	327	1	4	952	95	96	lim 	0.75
5	9	Do5	C5	318	318	1	4	952	95	96	tit	1.0
6	9	Mi5	E5	336	336	1	8	476	95	96	re	1.125
7	9	Re5	D5	327	327	3	8	1429	95	96	miş 	1.5
8	9	Es	Es	-1	-1	1	8	476	100	0		1.625
9	9	Do5	C5	318	318	1	8	476	95	96	SAZ	1.75
10	9	Si4b2	B4b1	312	313	1	8	476	95	96	.	1.875
11	9	Do5	C5	318	318	1	8	476	95	96	.	2.0
12	9	Si4b2	B4b1	312	313	1	8	476	95	96	ku	2.125
13	9	Do5	C5	318	318	1	4	952	95	96	lak 	2.375
14	9	Do5	C5	318	318	1	8	476	95	96	ve	2.5
15	9	Do5	C5	318	318	1	4	952	95	96	ren 	2.75
16	9	Re5	D5	327	327	1	4	952	95	96	var 	3.0
17	9	Si4b2	B4b1	312	313	1	8	476	95	96	mı 	3.125
18	9	Do5	C5	318	318	3	8	1429	95	96	ki 	3.5
19	9	Es	Es	-1	-1	1	8	476	100	0		3.625
20	9	Do5	C5	318	318	1	8	476	95	96	SAZ	3.75
21	9	Re5	D5	327	327	1	8	476	95	96	.	3.875
22	9	Mi5	E5	336	336	1	8	476	95	96	.	4.0
23	9	Fa5	F5	340	340	1	8	476	95	96	ku	4.125
24	9	Mi5	E5	336	336	1	4	952	95	96	lak 	4.375
25	9	Re5	D5	327	327	1	8	476	95	96	ve	4.5
26	9	La5	A5	358	358	1	8	476	99	96	ren 	4.625
27	9	Sol5	G5	349	349	1	8	476	95	96		4.75
28	9	Fa5	F5	340	340	1	16	238	99	96	var 	4.8125
29	9	Mi5	E5	336	336	1	16	238	99	96		4.875
30	9	Re5	D5	327	327	1	8	476	95	96		5.0
31	9	Do5	C5	318	318	1	8	476	95	96	mı 	5.125
32	9	Re5	D5	327	327	1	4	952	95	96	ki  	5.375
33	9	Re5	D5	327	327	1	16	238	95	96	SAZ	5.4375
34	9	Do5	C5	318	318	1	16	238	95	96	.	5.5
35	9	Do5	C5	318	318	1	16	238	95	96	.	5.5625
36	9	Si4b2	B4b1	312	313	1	16	238	95	96	.	5.625
37	9	Si4b2	B4b1	312	313	1	16	238	95	96	.	5.6875
38	9	La4	A4	305	305	1	16	238	95	96	.	5.75
39	9	La4	A4	305	305	1	4	952	95	96	.	6.0
40	9	Do5	C5	318	318	1	8	476	95	96	Gö	6.125
41	9	Re5	D5	327	327	1	4	952	95	96	nül 	6.375
