Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La5	A5	358	358	9	8	3001	95	96	ARANAĞME	1.0
2	9	Do6	C6	371	371	1	8	333	95	96	.	1.11111111111
3	9	Si5b1	B5b1	366	366	1	8	333	95	96	.	1.22222222222
4	9	La5	A5	358	358	1	4	667	95	96	.	1.44444444444
5	9	Re5	D5	327	327	1	4	667	50	96	.	1.66666666667
6	9	La5	A5	358	358	3	8	1000	50	96	.	2.0
7	9	Do6	C6	371	371	1	8	333	95	96	.	2.11111111111
8	9	Si5b1	B5b1	366	366	1	8	333	95	96	.	2.22222222222
9	9	La5	A5	358	358	1	4	667	95	96	.	2.44444444444
10	9	Re5	D5	327	327	1	4	667	50	96	.	2.66666666667
11	9	La5	A5	358	358	3	8	1000	50	96	.	3.0
12	9	Do6	C6	371	371	3	4	2001	95	96	.	3.66666666667
13	9	Do6	C6	371	371	1	8	333	95	96	.	3.77777777778
14	9	Si5b5	B5b5	362	362	1	8	333	95	96	.	3.88888888889
15	9	La5	A5	358	358	1	8	333	95	96	.	4.0
16	9	Si5b5	B5b5	362	362	3	4	2001	95	96	.	4.66666666667
17	9	Si5b5	B5b5	362	362	1	8	333	95	96	.	4.77777777778
18	9	La5	A5	358	358	1	8	333	95	96	.	4.88888888889
19	9	Sol5	G5	349	349	1	8	333	95	96	.	5.0
20	9	Fa5#4	F5#4	344	344	1	8	333	95	96	.	5.11111111111
21	9	Sol5	G5	349	349	1	8	333	95	96	.	5.22222222222
22	9	La5	A5	358	358	1	8	333	95	96	.	5.33333333333
23	9	Si5b5	B5b5	362	362	1	8	333	95	96	.	5.44444444444
24	9	Sol5	G5	349	349	1	8	333	95	96	.	5.55555555556
25	9	Si5b5	B5b5	362	362	1	8	333	95	96	.	5.66666666667
26	9	La5	A5	358	358	3	8	1000	95	96	.	6.0
27	9	Si5b5	B5b5	362	362	3	16	500	95	96	.	6.16666666667
28	9	La5	A5	358	358	1	16	167	95	96	.	6.22222222222
29	9	Sol5	G5	349	349	1	8	333	95	96	.	6.33333333333
