Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Sol4	G4	296	296	2	16	357	50	96	ARANAÐME 
2	9	Do5	C5	318	318	2	16	357	50	96	.
3	9	Si4	B4	314	314	2	16	357	50	96	.
4	9	Do5	C5	318	318	2	16	357	50	96	.
5	9	Mi5	E5	336	336	2	16	357	50	96	.
6	9	Re5	D5	327	327	2	16	357	50	96	.
7	8	Mi5	E5	336	336	1	64	45	95	96	.
8	9	Re5	D5	327	327	1	8	357	95	96	.
9	9	Do5	C5	318	318	1	8	357	95	96	.
10	9	Si4	B4	314	314	1	8	357	95	96	.
11	9	Do5	C5	318	318	3	8	1071	95	96	.
12	9	Sol4	G4	296	296	2	16	357	50	96	.
13	9	Do5	C5	318	318	2	16	357	50	96	.
14	9	Mi5	E5	336	336	2	16	357	50	96	.
15	9	Sol5	G5	349	349	2	16	357	50	96	.
16	9	La5	A5	358	358	2	16	357	50	96	.
17	9	Sol5	G5	349	349	2	16	357	50	96	.
18	8	Si5	B5	367	367	1	64	45	95	96	.
19	9	La5	A5	358	358	1	8	357	95	96	.
20	9	Fa5	F5	340	340	1	8	357	95	96	.
21	9	Re5	D5	327	327	1	8	357	95	96	.
22	9	Mi5	E5	336	336	3	8	1071	95	96	.
23	23	Re5	D5	327	327	1	8	357	95	96	.
24	9	Mi5	E5	336	336	1	8	357	95	96	.
25	9	Fa5	F5	340	340	1	8	357	95	96	.
26	9	Mi5	E5	336	336	1	8	357	95	96	.
27	9	Do5	C5	318	318	1	8	357	95	96	.
28	9	La4	A4	305	305	1	8	357	95	96	.
29	9	Re5	D5	327	327	4	16	714	95	96	.
30	9	Do5#4	C5#4	322	322	1	8	357	95	96	.
31	9	Re5	D5	327	327	3	8	1071	95	96	.
32	9	Si4	B4	314	314	1	8	357	95	96	.
33	9	Do5	C5	318	318	1	8	357	95	96	.
34	9	Si4	B4	314	314	1	8	357	95	96	.
35	9	Do5	C5	318	318	1	16	179	95	96	.
36	9	Si4	B4	314	314	1	16	179	95	96	.
37	9	La4	A4	305	305	2	16	357	95	96	.
38	9	La4	A4	305	305	1	16	179	95	96	.
39	9	Sol4#4	G#4	300	300	1	16	179	95	96	.
40	9	La4	A4	305	305	3	4	2143	95	96	.  
41	9	Sol4	G4	296	296	2	16	357	50	96	ARANAÐME 
42	9	Do5	C5	318	318	2	16	357	50	96	.
43	9	Si4	B4	314	314	2	16	357	50	96	.
44	9	Do5	C5	318	318	2	16	357	50	96	.
45	9	Mi5	E5	336	336	2	16	357	50	96	.
46	9	Re5	D5	327	327	2	16	357	50	96	.
47	8	Mi5	E5	336	336	1	64	45	95	96	.
48	9	Re5	D5	327	327	1	8	357	95	96	.
49	9	Do5	C5	318	318	1	8	357	95	96	.
50	9	Si4	B4	314	314	1	8	357	95	96	.
51	9	Do5	C5	318	318	3	8	1071	95	96	.
52	9	Sol4	G4	296	296	2	16	357	50	96	.
53	9	Do5	C5	318	318	2	16	357	50	96	.
54	9	Mi5	E5	336	336	2	16	357	50	96	.
55	9	Sol5	G5	349	349	2	16	357	50	96	.
56	9	La5	A5	358	358	2	16	357	50	96	.
57	9	Sol5	G5	349	349	2	16	357	50	96	.
58	8	Si5	B5	367	367	1	64	45	95	96	.
59	9	La5	A5	358	358	1	8	357	95	96	.
60	9	Fa5	F5	340	340	1	8	357	95	96	.
61	9	Re5	D5	327	327	1	8	357	95	96	.
62	9	Mi5	E5	336	336	3	8	1071	95	96	.
63	23	Re5	D5	327	327	1	8	357	95	96	.
64	9	Mi5	E5	336	336	1	8	357	95	96	.
65	9	Fa5	F5	340	340	1	8	357	95	96	.
66	9	Mi5	E5	336	336	1	8	357	95	96	.
67	9	Do5	C5	318	318	1	8	357	95	96	.
68	9	La4	A4	305	305	1	8	357	95	96	.
69	9	Re5	D5	327	327	4	16	714	95	96	.
70	9	Do5#4	C5#4	322	322	1	8	357	95	96	.
71	9	Re5	D5	327	327	3	8	1071	95	96	.
72	9	Si4	B4	314	314	1	8	357	95	96	.
73	9	Do5	C5	318	318	1	8	357	95	96	.
74	9	Si4	B4	314	314	1	8	357	95	96	.
75	9	Do5	C5	318	318	1	16	179	95	96	.
76	9	Si4	B4	314	314	1	16	179	95	96	.
77	9	La4	A4	305	305	2	16	357	95	96	.
78	9	La4	A4	305	305	1	16	179	95	96	.
79	9	Sol4#4	G#4	300	300	1	16	179	95	96	.
80	9	La4	A4	305	305	3	4	2143	95	96	.  
