Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	6	4	0	90	0	Yürüksemâî (6/4)	0.0
2	9	Sol4	G4	296	296	1	4	625	95	96	Ce	0.166666666667
3	9	Do5	C5	318	318	1	4	625	99	96	fâ	0.333333333333
4	9	Do5	C5	318	318	1	8	312	99	96		0.416666666667
5	9	Mi5	E5	336	336	1	8	312	95	96		0.5
6	9	Re5	D5	327	327	1	8	312	99	96	sı 	0.583333333333
7	9	Do5	C5	318	318	1	8	312	95	96		0.666666666667
8	9	Si4	B4	314	314	4	8	1250	95	96	â	1.0
9	9	Mi5	E5	336	336	1	8	312	99	96	şı	1.08333333333
10	9	Re5	D5	327	327	1	8	312	95	96		1.16666666667
11	9	Do5	C5	318	318	1	8	312	99	96	ka 	1.25
12	9	Si4	B4	314	314	1	8	312	95	96		1.33333333333
13	9	Do5	C5	318	318	1	8	312	99	96	yâ	1.41666666667
14	9	Si4	B4	314	314	1	8	312	99	96		1.5
15	9	La4	A4	305	305	1	8	312	99	96		1.58333333333
16	9	Sol4#4	G4#4	300	300	1	8	312	95	96		1.66666666667
17	9	La4	A4	305	305	3	8	938	95	96	rin 	1.91666666667
18	9	Es	Es	-1	-1	1	8	312	100	0		2.0
19	9	Do5	C5	318	318	1	4	625	95	96	ve	2.16666666667
20	9	Re5	D5	327	327	3	16	469	99	96	fâ 	2.29166666667
21	9	Mi5b4	E5b4	332	332	1	16	156	99	96		2.33333333333
22	9	Re5	D5	327	327	1	8	312	99	96		2.41666666667
23	9	Mi5b4	E5b4	332	332	1	8	312	95	96		2.5
24	9	Do5	C5	318	318	1	4	625	95	96	de	2.66666666667
25	9	Sol5	G5	349	349	2	16	312	99	96	ğil 	2.75
26	9	Fa5#4	F5#4	344	344	1	8	312	99	96		2.83333333333
27	9	Mi5b4	E5b4	332	332	1	8	312	99	96		2.91666666667
28	9	Re5	D5	327	327	1	8	312	95	96		3.0
29	9	Mi5b4	E5b4	332	332	1	8	312	99	96	de 	3.08333333333
30	9	Re5	D5	327	327	1	8	312	95	96		3.16666666667
31	9	Do5	C5	318	318	1	8	312	99	96	ne	3.25
32	9	Si4	B4	314	314	1	8	312	95	96		3.33333333333
33	9	Do5	C5	318	318	1	4	625	99	96	dir  	3.5
34	9	Re5	D5	327	327	1	4	625	99	96		3.66666666667
35	9	Mi5b4	E5b4	332	332	3	8	938	95	96		3.91666666667
36	9	Es	Es	-1	-1	1	8	312	100	0		4.0
37	9	Re5	D5	327	327	1	4	625	95	96	Ga	4.16666666667
38	9	Mi5	E5	336	336	1	4	625	99	96	zap	4.33333333333
39	9	La5	A5	358	358	1	4	625	95	96		4.5
40	9	Sol5	G5	349	349	1	8	312	99	96	la 	4.58333333333
41	9	Fa5	F5	340	340	1	8	312	95	96		4.66666666667
42	9	Mi5	E5	336	336	3	8	938	95	96	bir 	4.91666666667
43	9	Es	Es	-1	-1	1	8	312	100	0		5.0
44	9	Mi5	E5	336	336	1	4	625	95	96	ni	5.16666666667
45	10	Re5	D5	327	327	1	4	625	95	96	gâ	5.33333333333
46	8	Mi5	E5	336	336	0	0	0	95	96		5.33333333333
47	9	Re5	D5	327	327	1	8	312	99	96	hı 	5.41666666667
48	9	Fa5	F5	340	340	1	8	312	99	96		5.5
49	9	Mi5	E5	336	336	1	8	312	99	96		5.58333333333
50	9	Re5	D5	327	327	1	8	312	95	96		5.66666666667
51	9	Do5	C5	318	318	1	8	312	99	96	da 	5.75
52	9	Si4	B4	314	314	1	8	312	99	96		5.83333333333
53	9	La4	A4	305	305	1	8	312	99	96		5.91666666667
54	9	Si4	B4	314	314	1	8	312	95	96		6.0
55	9	Sol4	G4	296	296	1	4	625	95	96	sa	6.16666666667
56	10	Do5	C5	318	318	1	4	625	99	96	fâ 	6.33333333333
57	8	Re5	D5	327	327	0	0	0	99	96		6.33333333333
58	9	Do5	C5	318	318	1	8	312	99	96		6.41666666667
59	9	Mi5	E5	336	336	1	8	312	95	96		6.5
60	9	Re5	D5	327	327	1	8	312	99	96	de	6.58333333333
61	9	Do5	C5	318	318	1	8	312	95	96		6.66666666667
62	9	Si4	B4	314	314	4	8	1250	95	96	ğil 	7.0
63	9	Mi5	E5	336	336	1	8	312	99	96	de 	7.08333333333
64	9	Re5	D5	327	327	1	8	312	95	96		7.16666666667
65	9	Do5	C5	318	318	1	8	312	99	96	ne	7.25
66	9	Si4	B4	314	314	1	8	312	95	96		7.33333333333
67	9	La4	A4	305	305	1	8	312	99	96	dir  	7.41666666667
68	9	Si4	B4	314	314	1	8	312	99	96		7.5
69	9	Do5	C5	318	318	1	8	312	99	96		7.58333333333
70	9	Re5	D5	327	327	1	8	312	99	96		7.66666666667
71	9	Mi5	E5	336	336	3	8	938	95	96		7.91666666667
72	9	Es	Es	-1	-1	1	8	312	100	0		8.0
73	9	Re5	D5	327	327	1	4	625	95	96	Ga	8.16666666667
74	9	Mi5	E5	336	336	1	4	625	99	96	zap	8.33333333333
75	9	La5	A5	358	358	1	4	625	95	96		8.5
76	9	Sol5	G5	349	349	1	8	312	99	96	la 	8.58333333333
77	10	Fa5	F5	340	340	1	8	312	95	96		8.66666666667
78	8	Sol5	G5	349	349	0	0	0	95	96		8.66666666667
79	9	Mi5	E5	336	336	3	8	938	95	96	bir 	8.91666666667
80	9	Es	Es	-1	-1	1	8	312	100	0		9.0
81	9	Mi5	E5	336	336	1	4	625	95	96	ni	9.16666666667
