Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4	B4	314	314	1	4	682	95	96	1. HANE	0.250000
2	9	Do5	C5	318	318	1	2	1364	95	96		0.750000
3	9	Re5	D5	327	327	1	8	341	95	96		0.875000
4	9	Do5	C5	318	318	1	8	341	95	96		1.000000
5	9	Si4	B4	314	314	1	8	341	95	96		1.125000
6	9	Do5	C5	318	318	1	8	341	95	96		1.250000
7	9	Si4	B4	314	314	1	8	341	95	96		1.375000
8	9	La4	A4	305	305	1	8	341	95	96		1.500000
9	9	Si4	B4	314	314	3	32	256	95	96		1.593750
10	9	Do5	C5	318	318	1	32	85	95	96		1.625000
11	9	Si4	B4	314	314	1	16	170	95	96		1.687500
12	9	La4	A4	305	305	1	16	170	95	96		1.750000
13	9	Sol4	G4	296	296	1	4	682	95	96		2.000000
14	9	La4	A4	305	305	1	8	341	95	96		2.125000
15	9	Si4	B4	314	314	1	8	341	95	96		2.250000
16	9	La4	A4	305	305	1	8	341	95	96		2.375000
17	9	Sol4	G4	296	296	1	8	341	95	96		2.500000
18	9	La4	A4	305	305	1	4	682	95	96		2.750000
19	9	Si4	B4	314	314	1	4	682	95	96		3.000000
20	9	Do5	C5	318	318	1	8	341	95	96		3.125000
21	9	Si4	B4	314	314	1	8	341	95	96		3.250000
22	9	Do5	C5	318	318	1	8	341	95	96		3.375000
23	9	Si4	B4	314	314	1	8	341	95	96		3.500000
24	9	La4	A4	305	305	1	8	341	95	96		3.625000
25	9	Sol4#4	G4#4	300	300	1	8	341	95	96		3.750000
26	9	La4	A4	305	305	1	4	682	100	96		4.000000
27	9	La4	A4	305	305	1	4	682	95	96		4.250000
28	9	Si4	B4	314	314	1	8	341	95	96		4.375000
29	9	Do5	C5	318	318	1	8	341	95	96		4.500000
30	9	Re5	D5	327	327	1	4	682	95	96		4.750000
31	9	Mi5	E5	336	336	1	4	682	95	96		5.000000
32	9	Re5	D5	327	327	1	8	341	95	96		5.125000
33	9	Mi5	E5	336	336	1	16	170	95	96		5.187500
34	9	Fa5	F5	340	340	1	16	170	95	96		5.250000
35	9	Mi5	E5	336	336	1	8	341	95	96		5.375000
36	9	Re5	D5	327	327	1	8	341	95	96		5.500000
37	9	Do5	C5	318	318	1	8	341	95	96		5.625000
38	10	Si4	B4	314	314	1	8	341	95	96		5.750000
39	8	Re5	D5	327	327	0	0	0	95	96		5.750000
40	9	Do5	C5	318	318	1	4	682	100	96		6.000000
41	9	Do5	C5	318	318	1	8	341	95	96		6.125000
42	9	Es	Es	-1	-1	1	8	341	100	0		6.250000
43	9	Re5	D5	327	327	1	8	341	95	96		6.375000
44	9	Do5	C5	318	318	1	8	341	95	96		6.500000
45	9	Re5	D5	327	327	1	4	682	95	96		6.750000
