Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	1000	95	96		0.222222222222
2	9	Do5	C5	318	318	1	8	500	95	96		0.333333333333
3	9	Mi5	E5	336	336	1	8	500	95	96		0.444444444444
4	9	Re5	D5	327	327	1	8	500	95	96		0.555555555556
5	9	Do5	C5	318	318	1	16	250	95	96		0.611111111111
6	9	Si4	B4	314	314	1	16	250	95	96		0.666666666667
7	9	Do5	C5	318	318	1	16	250	95	96		0.722222222222
8	9	Si4	B4	314	314	1	16	250	95	96		0.777777777778
9	9	Do5	C5	318	318	1	16	250	95	96		0.833333333333
10	9	Re5	D5	327	327	1	16	250	95	96		0.888888888889
11	9	Do5	C5	318	318	1	16	250	95	96		0.944444444444
12	9	Si4	B4	314	314	1	16	250	95	96		1.0
13	9	La4	A4	305	305	1	4	1000	95	96		1.22222222222
14	9	Si4	B4	314	314	1	16	250	95	96		1.27777777778
15	9	Re5	D5	327	327	1	16	250	95	96		1.33333333333
16	9	Do5	C5	318	318	1	16	250	95	96		1.38888888889
17	9	Si4	B4	314	314	1	16	250	95	96		1.44444444444
18	9	Si4	B4	314	314	1	16	250	95	96		1.5
19	9	La4	A4	305	305	1	16	250	95	96		1.55555555556
20	9	Sol4	G4	296	296	1	8	500	95	96		1.66666666667
21	9	La4	A4	305	305	1	16	250	95	96		1.72222222222
22	9	Si4	B4	314	314	1	16	250	95	96		1.77777777778
23	9	Do5	C5	318	318	1	16	250	95	96		1.83333333333
24	9	Re5	D5	327	327	1	16	250	95	96		1.88888888889
25	9	Do5	C5	318	318	1	16	250	95	96		1.94444444444
26	9	Si4	B4	314	314	1	16	250	95	96		2.0
27	9	Do5	C5	318	318	1	8	500	95	96		2.11111111111
28	9	Es	Es	-1	-1	1	8	500	100	0		2.22222222222
29	9	Mi5	E5	336	336	1	8	500	95	96		2.33333333333
30	9	Re5	D5	327	327	1	16	250	95	96		2.38888888889
31	9	Do5	C5	318	318	1	16	250	95	96		2.44444444444
32	9	Do5	C5	318	318	1	16	250	95	96		2.5
33	9	Si4	B4	314	314	1	16	250	95	96		2.55555555556
34	9	Si4	B4	314	314	1	16	250	95	96		2.61111111111
35	9	La4	A4	305	305	1	16	250	95	96		2.66666666667
36	9	Si4	B4	314	314	1	16	250	95	96		2.72222222222
37	9	La4	A4	305	305	1	16	250	95	96		2.77777777778
38	9	Sol4	G4	296	296	1	4	1000	95	96		3.0
39	9	Es	Es	-1	-1	1	8	500	100	0		3.11111111111
40	9	La4	A4	305	305	1	16	250	95	96		3.16666666667
41	9	Si4	B4	314	314	1	16	250	95	96		3.22222222222
42	9	Do5	C5	318	318	1	16	250	95	96		3.27777777778
43	9	Re5	D5	327	327	1	16	250	95	96		3.33333333333
44	9	Do5	C5	318	318	1	16	250	95	96		3.38888888889
45	9	Si4	B4	314	314	1	16	250	95	96		3.44444444444
46	9	La4	A4	305	305	1	4	1000	95	96		3.66666666667
47	9	Mi5	E5	336	336	1	4	1000	95	96		3.88888888889
48	9	Re5	D5	327	327	1	16	250	95	96		3.94444444444
49	9	Do5	C5	318	318	1	16	250	95	96		4.0
50	9	Re5	D5	327	327	1	8	500	95	96		4.11111111111
51	9	Do5	C5	318	318	1	16	250	95	96		4.16666666667
52	9	Re5	D5	327	327	1	16	250	95	96		4.22222222222
53	9	Do5	C5	318	318	1	16	250	95	96		4.27777777778
54	9	Si4	B4	314	314	1	16	250	95	96		4.33333333333
55	9	La4	A4	305	305	1	8	500	95	96		4.44444444444
56	9	Do5	C5	318	318	1	16	250	95	96		4.5
57	9	Si4	B4	314	314	1	16	250	95	96		4.55555555556
58	9	La4	A4	305	305	1	16	250	95	96		4.61111111111
59	9	Sol4#4	G4#4	300	300	1	16	250	95	96		4.66666666667
60	9	La4	A4	305	305	1	4	1000	95	96		4.88888888889
61	9	Es	Es	-1	-1	1	8	500	100	0		5.0
62	9	Mi5	E5	336	336	1	4	1000	95	96		5.22222222222
63	9	Sol5#4	G5#4	353	353	1	16	250	95	96		5.27777777778
64	9	Fa5#1	F5#1	341	341	1	16	250	95	96		5.33333333333
65	9	Fa5#1	F5#1	341	341	1	16	250	95	96		5.38888888889
66	9	Mi5	E5	336	336	1	16	250	95	96		5.44444444444
67	9	Fa5#1	F5#1	341	341	1	16	250	95	96		5.5
68	9	Mi5	E5	336	336	1	16	250	95	96		5.55555555556
69	9	Re5#4	D5#4	331	331	1	16	250	95	96		5.61111111111
70	9	Mi5	E5	336	336	1	16	250	95	96		5.66666666667
71	9	Re5#4	D5#4	331	331	1	8	500	95	96		5.77777777778
72	9	Mi5	E5	336	336	1	4	1000	95	96		6.0
73	9	Do5	C5	318	318	1	8	500	95	96		6.11111111111
74	9	Si4	B4	314	314	1	16	250	95	96		6.16666666667
75	9	Do5	C5	318	318	1	16	250	95	96		6.22222222222
76	9	Re5	D5	327	327	1	8	500	95	96		6.33333333333
77	9	Mi5	E5	336	336	1	16	250	95	96		6.38888888889
78	9	Re5	D5	327	327	1	16	250	95	96		6.44444444444
79	9	Do5	C5	318	318	1	16	250	95	96		6.5
80	9	Si4	B4	314	314	1	16	250	95	96		6.55555555556
81	9	La4	A4	305	305	1	16	250	95	96		6.61111111111
82	9	Sol4	G4	296	296	1	16	250	95	96		6.66666666667
83	9	Do5	C5	318	318	1	4	1000	95	96		6.88888888889
84	9	Si4	B4	314	314	1	16	250	95	96		6.94444444444
85	9	Re5	D5	327	327	1	16	250	95	96		7.0
86	9	Do5	C5	318	318	1	8	500	95	96		7.11111111111
87	9	Es	Es	-1	-1	1	8	500	100	0		7.22222222222
88	9	La4	A4	305	305	1	8	500	95	96		7.33333333333
89	9	Si4	B4	314	314	1	8	500	95	96		7.44444444444
90	9	Do5	C5	318	318	1	8	500	95	96		7.55555555556
91	9	Si4	B4	314	314	1	16	250	95	96		7.61111111111
92	9	Re5	D5	327	327	1	16	250	95	96		7.66666666667
93	9	Do5	C5	318	318	1	4	1000	95	96		7.88888888889
94	9	Es	Es	-1	-1	1	8	500	100	0		8.0
95	9	Sol4	G4	296	296	1	4	1000	95	96		8.22222222222
96	9	Sol4	G4	296	296	1	8	500	95	96		8.33333333333
97	9	La4	A4	305	305	1	8	500	95	96		8.44444444444
98	9	Sol4	G4	296	296	1	4	1000	95	96		8.66666666667
99	9	La4	A4	305	305	1	4	1000	95	96		8.88888888889
100	9	Si4	B4	314	314	1	8	500	95	96		9.0
101	9	Do5	C5	318	318	3	16	750	95	96		9.16666666667
102	9	Re5	D5	327	327	1	16	250	95	96		9.22222222222
103	9	Mi5	E5	336	336	1	8	500	95	96		9.33333333333
104	9	Re5	D5	327	327	1	16	250	95	96		9.38888888889
105	9	Do5	C5	318	318	1	16	250	95	96		9.44444444444
106	9	Sol5	G5	349	349	1	8	500	95	96		9.55555555556
107	9	Sol5	G5	349	349	1	8	500	95	96		9.66666666667
108	9	Sol5	G5	349	349	1	16	250	95	96		9.72222222222
109	9	Fa5#4	F5#4	344	344	1	16	250	95	96		9.77777777778
110	9	Mi5b4	E5b4	332	332	1	16	250	95	96		9.83333333333
111	9	Re5	D5	327	327	1	16	250	95	96		9.88888888889
112	9	Do5	C5	318	318	1	8	500	95	96		10.0
113	9	Fa5	F5	340	340	1	4	1000	95	96		10.2222222222
114	9	Fa5	F5	340	340	1	16	250	95	96		10.2777777778
115	9	La5	A5	358	358	1	16	250	95	96		10.3333333333
116	9	Sol5	G5	349	349	1	16	250	95	96		10.3888888889
117	9	Fa5	F5	340	340	1	16	250	95	96		10.4444444444
118	9	Fa5	F5	340	340	1	16	250	95	96		10.5
119	9	Mi5	E5	336	336	1	16	250	95	96		10.5555555556
120	9	Mi5	E5	336	336	1	16	250	95	96		10.6111111111
121	9	Re5	D5	327	327	1	16	250	95	96		10.6666666667
122	9	Mi5	E5	336	336	1	16	250	95	96		10.7222222222
123	9	Re5	D5	327	327	1	16	250	95	96		10.7777777778
124	9	Do5	C5	318	318	1	16	250	95	96		10.8333333333
125	9	Si4	B4	314	314	1	16	250	95	96		10.8888888889
126	9	Do5	C5	318	318	1	8	500	95	96		11.0
127	9	Si4	B4	314	314	1	16	250	95	96		11.0555555556
128	9	Do5	C5	318	318	1	16	250	95	96		11.1111111111
129	9	Si4	B4	314	314	1	16	250	95	96		11.1666666667
130	9	Do5	C5	318	318	1	16	250	95	96		11.2222222222
131	9	Re5	D5	327	327	1	16	250	95	96		11.2777777778
132	9	Fa5	F5	340	340	1	16	250	95	96		11.3333333333
133	9	Mi5	E5	336	336	1	16	250	95	96		11.3888888889
134	9	Re5	D5	327	327	1	16	250	95	96		11.4444444444
135	9	Do5	C5	318	318	1	16	250	95	96		11.5
136	9	Re5	D5	327	327	1	16	250	95	96		11.5555555556
137	9	Do5	C5	318	318	1	16	250	95	96		11.6111111111
138	9	Si4	B4	314	314	1	16	250	95	96		11.6666666667
139	9	La4	A4	305	305	1	8	500	95	96		11.7777777778
140	9	Mi5	E5	336	336	1	8	500	95	96		11.8888888889
141	9	Re5	D5	327	327	1	16	250	95	96		11.9444444444
142	9	Do5	C5	318	318	1	16	250	95	96		12.0
143	9	Re5	D5	327	327	1	16	250	95	96		12.0555555556
144	9	Do5	C5	318	318	1	8	500	95	96		12.1666666667
145	9	Re5	D5	327	327	1	16	250	95	96		12.2222222222
146	9	Do5	C5	318	318	1	16	250	95	96		12.2777777778
147	9	Si4	B4	314	314	1	16	250	95	96		12.3333333333
148	9	La4	A4	305	305	1	8	500	95	96		12.4444444444
149	9	Do5	C5	318	318	1	16	250	95	96		12.5
150	9	Si4	B4	314	314	1	16	250	95	96		12.5555555556
151	9	La4	A4	305	305	1	16	250	95	96		12.6111111111
152	9	Sol4#4	G4#4	300	300	1	16	250	95	96		12.6666666667
153	9	La4	A4	305	305	1	4	1000	95	96		12.8888888889
154	9	Es	Es	-1	-1	1	8	500	100	0		13.0
155	9	Mi5	E5	336	336	1	16	250	95	96		13.0555555556
156	9	Fa5	F5	340	340	1	16	250	95	96		13.1111111111
157	9	Sol5	G5	349	349	1	16	250	95	96		13.1666666667
158	9	La5	A5	358	358	1	16	250	95	96		13.2222222222
159	9	Sol5	G5	349	349	1	8	500	95	96		13.3333333333
160	9	Fa5	F5	340	340	1	8	500	95	96		13.4444444444
161	9	Mi5	E5	336	336	1	8	500	95	96		13.5555555556
162	9	Re5	D5	327	327	1	16	250	95	96		13.6111111111
163	9	Fa5	F5	340	340	1	16	250	95	96		13.6666666667
164	9	Mi5	E5	336	336	1	16	250	95	96		13.7222222222
165	9	Re5	D5	327	327	1	16	250	95	96		13.7777777778
166	9	Do5	C5	318	318	1	16	250	95	96		13.8333333333
167	9	Si4	B4	314	314	1	16	250	95	96		13.8888888889
168	9	Do5	C5	318	318	1	8	500	95	96		14.0
169	9	Re5	D5	327	327	1	16	250	95	96		14.0555555556
170	9	Mi5b4	E5b4	332	332	1	16	250	95	96		14.1111111111
171	9	Re5	D5	327	327	1	16	250	95	96		14.1666666667
172	9	Mi5b4	E5b4	332	332	1	16	250	95	96		14.2222222222
173	9	Re5	D5	327	327	1	16	250	95	96		14.2777777778
174	9	Fa5#4	F5#4	344	344	1	16	250	95	96		14.3333333333
175	9	Mi5b4	E5b4	332	332	1	16	250	95	96		14.3888888889
176	9	Re5	D5	327	327	1	16	250	95	96		14.4444444444
177	9	Re5	D5	327	327	1	16	250	95	96		14.5
178	9	Do5	C5	318	318	1	16	250	95	96		14.5555555556
179	9	Do5	C5	318	318	1	16	250	95	96		14.6111111111
180	9	Si4	B4	314	314	1	16	250	95	96		14.6666666667
181	9	Do5	C5	318	318	1	4	1000	95	96		14.8888888889
182	9	Re5	D5	327	327	1	8	500	95	96		15.0
183	9	Mi5	E5	336	336	1	16	250	95	96		15.0555555556
184	9	Fa5	F5	340	340	1	16	250	95	96		15.1111111111
185	9	Mi5	E5	336	336	1	16	250	95	96		15.1666666667
186	9	Re5	D5	327	327	1	16	250	95	96		15.2222222222
187	9	Do5	C5	318	318	1	8	500	95	96		15.3333333333
188	9	Re5	D5	327	327	1	8	500	95	96		15.4444444444
189	9	Mi5	E5	336	336	1	8	500	95	96		15.5555555556
190	9	Re5	D5	327	327	1	16	250	95	96		15.6111111111
191	9	Fa5	F5	340	340	1	16	250	95	96		15.6666666667
192	9	Mi5	E5	336	336	1	16	250	95	96		15.7222222222
193	9	Re5	D5	327	327	1	16	250	95	96		15.7777777778
194	9	Do5	C5	318	318	1	16	250	95	96		15.8333333333
195	9	Si4	B4	314	314	1	16	250	95	96		15.8888888889
196	9	La4	A4	305	305	1	8	500	95	96		16.0
197	9	Si4	B4	314	314	1	16	250	95	96		16.0555555556
198	9	Do5	C5	318	318	1	16	250	95	96		16.1111111111
199	9	Si4	B4	314	314	1	16	250	95	96		16.1666666667
200	9	La4	A4	305	305	1	16	250	95	96		16.2222222222
201	9	Si4	B4	314	314	1	16	250	95	96		16.2777777778
202	9	Re5	D5	327	327	1	16	250	95	96		16.3333333333
203	9	Do5	C5	318	318	1	16	250	95	96		16.3888888889
204	9	Si4	B4	314	314	1	16	250	95	96		16.4444444444
205	9	Si4	B4	314	314	1	16	250	95	96		16.5
206	9	La4	A4	305	305	1	16	250	95	96		16.5555555556
207	9	La4	A4	305	305	1	16	250	95	96		16.6111111111
208	9	Sol4#4	G4#4	300	300	1	16	250	95	96		16.6666666667
209	9	La4	A4	305	305	1	4	1000	95	96		16.8888888889
210	9	Es	Es	-1	-1	1	8	500	100	0		17.0
211	9	Mi5	E5	336	336	1	16	250	95	96		17.0555555556
212	9	Fa5	F5	340	340	1	16	250	95	96		17.1111111111
213	9	Sol5	G5	349	349	1	16	250	95	96		17.1666666667
214	9	La5	A5	358	358	1	16	250	95	96		17.2222222222
215	9	Sol5	G5	349	349	1	8	500	95	96		17.3333333333
216	9	Fa5	F5	340	340	1	8	500	95	96		17.4444444444
217	9	Mi5	E5	336	336	1	8	500	95	96		17.5555555556
218	9	Re5	D5	327	327	1	16	250	95	96		17.6111111111
219	9	Fa5	F5	340	340	1	16	250	95	96		17.6666666667
220	9	Mi5	E5	336	336	1	16	250	95	96		17.7222222222
221	9	Re5	D5	327	327	1	16	250	95	96		17.7777777778
222	9	Do5	C5	318	318	1	16	250	95	96		17.8333333333
223	9	Si4	B4	314	314	1	16	250	95	96		17.8888888889
224	9	Do5	C5	318	318	1	8	500	95	96		18.0
225	9	Re5	D5	327	327	1	16	250	95	96		18.0555555556
226	9	Mi5b4	E5b4	332	332	1	16	250	95	96		18.1111111111
227	9	Re5	D5	327	327	1	16	250	95	96		18.1666666667
228	9	Mi5b4	E5b4	332	332	1	16	250	95	96		18.2222222222
229	9	Re5	D5	327	327	1	16	250	95	96		18.2777777778
230	9	Fa5#4	F5#4	344	344	1	16	250	95	96		18.3333333333
231	9	Mi5b4	E5b4	332	332	1	16	250	95	96		18.3888888889
232	9	Re5	D5	327	327	1	16	250	95	96		18.4444444444
233	9	Re5	D5	327	327	1	16	250	95	96		18.5
234	9	Do5	C5	318	318	1	16	250	95	96		18.5555555556
235	9	Do5	C5	318	318	1	16	250	95	96		18.6111111111
236	9	Si4	B4	314	314	1	16	250	95	96		18.6666666667
237	9	Do5	C5	318	318	1	4	1000	95	96		18.8888888889
238	9	Re5	D5	327	327	1	8	500	95	96		19.0
239	9	Mi5	E5	336	336	1	16	250	95	96		19.0555555556
240	9	Fa5	F5	340	340	1	16	250	95	96		19.1111111111
241	9	Mi5	E5	336	336	1	16	250	95	96		19.1666666667
242	9	Re5	D5	327	327	1	16	250	95	96		19.2222222222
243	9	Do5	C5	318	318	1	8	500	95	96		19.3333333333
244	9	Re5	D5	327	327	1	8	500	95	96		19.4444444444
245	9	Mi5	E5	336	336	1	8	500	95	96		19.5555555556
246	9	Re5	D5	327	327	1	16	250	95	96		19.6111111111
247	9	Fa5	F5	340	340	1	16	250	95	96		19.6666666667
248	9	Mi5	E5	336	336	1	16	250	95	96		19.7222222222
249	9	Re5	D5	327	327	1	16	250	95	96		19.7777777778
250	9	Do5	C5	318	318	1	16	250	95	96		19.8333333333
251	9	Si4	B4	314	314	1	16	250	95	96		19.8888888889
252	9	La4	A4	305	305	1	8	500	95	96		20.0
253	9	Si4	B4	314	314	1	16	250	95	96		20.0555555556
254	9	Do5	C5	318	318	1	16	250	95	96		20.1111111111
255	9	Si4	B4	314	314	1	16	250	95	96		20.1666666667
256	9	La4	A4	305	305	1	16	250	95	96		20.2222222222
257	9	Si4	B4	314	314	1	16	250	95	96		20.2777777778
258	9	Re5	D5	327	327	1	16	250	95	96		20.3333333333
259	9	Do5	C5	318	318	1	16	250	95	96		20.3888888889
260	9	Si4	B4	314	314	1	16	250	95	96		20.4444444444
261	9	Si4	B4	314	314	1	16	250	95	96		20.5
262	9	La4	A4	305	305	1	16	250	95	96		20.5555555556
263	9	La4	A4	305	305	1	16	250	95	96		20.6111111111
264	9	Sol4#4	G4#4	300	300	1	16	250	95	96		20.6666666667
265	9	La4	A4	305	305	1	4	1000	95	96		20.8888888889
266	9	Es	Es	-1	-1	1	8	500	100	0		21.0
