Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	4	1000	95	96	ARANAĞME	0.222222222222
2	9	Si4	B4	314	314	1	4	1000	95	96	.	0.444444444444
3	9	Do5	C5	318	318	1	16	250	95	96	.	0.5
4	9	Si4	B4	314	314	1	16	250	95	96	.	0.555555555556
5	9	La4	A4	305	305	1	16	250	95	96	.	0.611111111111
6	9	Sol4#4	G4#4	300	300	1	16	250	95	96	.	0.666666666667
7	9	La4	A4	305	305	3	8	1500	95	96	.	1.0
8	9	Mi5	E5	336	336	1	4	1000	95	96	.	1.22222222222
9	9	Re5	D5	327	327	1	4	1000	95	96	.	1.44444444444
10	9	Mi5	E5	336	336	1	16	250	95	96	.	1.5
11	9	Re5	D5	327	327	1	16	250	95	96	.	1.55555555556
12	9	Do5	C5	318	318	1	16	250	95	96	.	1.61111111111
13	9	Re5	D5	327	327	1	16	250	95	96	.	1.66666666667
14	9	Mi5	E5	336	336	3	8	1500	95	96	.	2.0
15	9	La5	A5	358	358	1	4	1000	95	96	.	2.22222222222
16	9	Sol5	G5	349	349	1	4	1000	95	96	.	2.44444444444
17	9	La5	A5	358	358	1	16	250	95	96	.	2.5
18	9	Sol5	G5	349	349	1	16	250	95	96	.	2.55555555556
19	9	Fa5	F5	340	340	1	16	250	95	96	.	2.61111111111
20	9	Mi5	E5	336	336	1	16	250	95	96	.	2.66666666667
21	9	Re5	D5	327	327	3	8	1500	95	96	.	3.0
22	9	Si4	B4	314	314	1	8	500	95	96	.	3.11111111111
23	9	Re5	D5	327	327	1	8	500	95	96	.	3.22222222222
24	9	Do5	C5	318	318	1	8	500	95	96	.	3.33333333333
25	9	Si4	B4	314	314	1	8	500	95	96	.	3.44444444444
26	9	Do5	C5	318	318	1	16	250	95	96	.	3.5
27	9	Si4	B4	314	314	1	16	250	95	96	.	3.55555555556
28	9	La4	A4	305	305	1	16	250	95	96	.	3.61111111111
29	9	Sol4#4	G4#4	300	300	1	16	250	95	96	.	3.66666666667
30	9	La4	A4	305	305	3	8	1500	95	96	.	4.0
31	9	Do5	C5	318	318	1	4	1000	95	96	ARANAĞME	4.22222222222
32	9	Si4	B4	314	314	1	4	1000	95	96	.	4.44444444444
33	9	Do5	C5	318	318	1	16	250	95	96	.	4.5
34	9	Si4	B4	314	314	1	16	250	95	96	.	4.55555555556
35	9	La4	A4	305	305	1	16	250	95	96	.	4.61111111111
36	9	Sol4#4	G4#4	300	300	1	16	250	95	96	.	4.66666666667
37	9	La4	A4	305	305	3	8	1500	95	96	.	5.0
38	9	Mi5	E5	336	336	1	4	1000	95	96	.	5.22222222222
39	9	Re5	D5	327	327	1	4	1000	95	96	.	5.44444444444
40	9	Mi5	E5	336	336	1	16	250	95	96	.	5.5
41	9	Re5	D5	327	327	1	16	250	95	96	.	5.55555555556
