Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	769	95	96	1. HANE	0.200000
2	9	Do5	C5	318	318	1	32	96	95	96		0.225000
3	9	Si4	B4	314	314	1	32	96	95	96		0.250000
4	9	Do5	C5	318	318	1	16	192	95	96		0.300000
5	9	Mi5	E5	336	336	1	4	769	95	96		0.500000
6	9	Re5	D5	327	327	1	16	192	95	96		0.550000
7	9	Do5	C5	318	318	1	32	96	95	96		0.575000
8	9	Si4	B4	314	314	1	32	96	95	96		0.600000
9	9	Do5	C5	318	318	1	16	192	95	96		0.650000
10	9	La5	A5	358	358	1	16	192	95	96		0.700000
11	9	Sol5	G5	349	349	1	16	192	95	96		0.750000
12	8	La5	A5	358	358	0	0	0	95	96		0.750000
13	9	Sol5	G5	349	349	1	16	192	95	96		0.800000
14	9	Fa5	F5	340	340	1	16	192	95	96		0.850000
15	9	Mi5	E5	336	336	1	16	192	95	96		0.900000
16	9	Re5	D5	327	327	1	16	192	95	96		0.950000
17	9	Do5	C5	318	318	1	16	192	95	96		1.000000
18	9	Si4	B4	314	314	1	16	192	95	96		1.050000
19	9	Do5	C5	318	318	1	16	192	95	96		1.100000
20	9	Re5	D5	327	327	1	16	192	95	96		1.150000
21	9	Si4	B4	314	314	1	16	192	95	96		1.200000
22	9	Do5	C5	318	318	1	16	192	95	96		1.250000
23	9	Re5	D5	327	327	1	16	192	95	96		1.300000
24	9	Mi5	E5	336	336	3	32	288	95	96		1.375000
25	9	Re5	D5	327	327	1	32	96	95	96		1.400000
26	9	Do5	C5	318	318	1	8	385	95	96		1.500000
27	9	Re5	D5	327	327	3	32	288	95	96		1.575000
28	9	Do5	C5	318	318	1	32	96	95	96		1.600000
29	9	Si4	B4	314	314	1	8	385	95	96		1.700000
30	9	Do5	C5	318	318	3	32	288	95	96		1.775000
31	9	Si4	B4	314	314	1	32	96	95	96		1.800000
32	9	La4	A4	305	305	1	16	192	95	96		1.850000
33	9	Mi5	E5	336	336	1	16	192	95	96		1.900000
34	9	La4	A4	305	305	1	16	192	95	96		1.950000
35	9	La4	A4	305	305	1	16	192	95	96		2.000000
36	9	Mi5b4	E5b4	332	332	1	16	192	95	96		2.050000
37	8	Fa5#4	F5#4	344	344	0	0	0	95	96		2.050000
38	9	Mi5b4	E5b4	332	332	1	16	192	95	96		2.100000
39	8	Fa5#4	F5#4	344	344	0	0	0	95	96		2.100000
40	9	Mi5b4	E5b4	332	332	1	16	192	95	96		2.150000
41	9	Re5	D5	327	327	1	16	192	95	96		2.200000
42	9	Do5	C5	318	318	1	8	385	95	96		2.300000
43	9	Sol5	G5	349	349	3	32	288	95	96		2.375000
44	9	Fa5#4	F5#4	344	344	1	32	96	95	96		2.400000
45	9	Sol5	G5	349	349	1	8	385	95	96		2.500000
46	9	La5	A5	358	358	3	32	288	95	96		2.575000
47	9	Sol5	G5	349	349	1	32	96	95	96		2.600000
48	9	La5	A5	358	358	1	8	385	95	96		2.700000
49	9	Es	Es	-1	-1	1	16	192	100	0		2.750000
50	9	Fa5	F5	340	340	1	16	192	95	96		2.800000
51	9	Mi5	E5	336	336	1	16	192	95	96		2.850000
52	9	Re5	D5	327	327	1	16	192	95	96		2.900000
53	9	Do5	C5	318	318	1	16	192	95	96		2.950000
54	9	Si4	B4	314	314	1	16	192	95	96		3.000000
55	9	La4	A4	305	305	1	16	192	95	96		3.050000
56	9	Si4	B4	314	314	1	16	192	95	96		3.100000
57	9	Do5	C5	318	318	1	16	192	95	96		3.150000
58	9	La4	A4	305	305	1	16	192	95	96		3.200000
59	9	Si4	B4	314	314	1	16	192	95	96		3.250000
60	9	Do5	C5	318	318	1	16	192	95	96		3.300000
61	9	Re5	D5	327	327	1	16	192	95	96		3.350000
62	9	Do5	C5	318	318	1	16	192	95	96		3.400000
63	9	Si4	B4	314	314	1	16	192	95	96		3.450000
64	9	Fa5	F5	340	340	1	16	192	95	96		3.500000
65	9	Mi5	E5	336	336	1	16	192	95	96		3.550000
66	9	Re5	D5	327	327	1	16	192	95	96		3.600000
67	9	Sol5	G5	349	349	1	16	192	95	96		3.650000
68	9	Fa5	F5	340	340	1	16	192	95	96		3.700000
69	9	Mi5	E5	336	336	1	8	385	95	96		3.800000
70	9	Re5	D5	327	327	1	16	192	95	96		3.850000
71	9	Do5	C5	318	318	1	16	192	95	96		3.900000
72	9	Si4	B4	314	314	1	16	192	95	96		3.950000
73	9	La4	A4	305	305	1	16	192	95	96		4.000000
74	9	Sol4	G4	296	296	1	4	769	95	96	1. HANE	4.200000
75	9	Do5	C5	318	318	1	32	96	95	96		4.225000
76	9	Si4	B4	314	314	1	32	96	95	96		4.250000
77	9	Do5	C5	318	318	1	16	192	95	96		4.300000
78	9	Mi5	E5	336	336	1	4	769	95	96		4.500000
79	9	Re5	D5	327	327	1	16	192	95	96		4.550000
80	9	Do5	C5	318	318	1	32	96	95	96		4.575000
81	9	Si4	B4	314	314	1	32	96	95	96		4.600000
