Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	2	1875	95	96	Gel 	0.0416666666667
2	9	Si4b1	B4b1	313	313	1	8	469	99	96	ey 	0.0520833333333
3	9	Do5	C5	318	318	1	8	469	99	96		0.0625
4	9	Si4b1	B4b1	313	313	1	8	469	99	96		0.0729166666667
5	9	Do5	C5	318	318	1	8	469	95	96		0.0833333333333
6	9	La4	A4	305	305	3	8	1406	99	96	sâ	0.114583333333
7	9	Sol4	G4	296	296	1	8	469	99	96		0.125
8	9	Re5b3	D5b4	324	323	1	8	469	99	96		0.135416666667
9	9	Do5	C5	318	318	1	8	469	99	96		0.145833333333
10	9	Re5b3	D5b4	324	323	1	8	469	99	96		0.15625
11	9	Mi5	E5	336	336	1	8	469	95	96		0.166666666667
12	9	Re5b3	D5b4	324	323	3	16	703	99	96	lik 	0.182291666667
13	9	Do5	C5	318	318	1	16	234	99	96		0.1875
14	9	Si4b1	B4b1	313	313	1	8	469	99	96		0.197916666667
15	9	Do5	C5	318	318	1	8	469	99	96		0.208333333333
16	9	Si4b1	B4b1	313	313	1	8	469	99	96		0.21875
17	9	Do5	C5	318	318	1	8	469	99	96		0.229166666667
18	10	Re5b3	D5b4	324	323	1	8	469	99	96		0.239583333333
19	8	Mi5	E5	336	336	0	0	0	99	96		0.239583333333
20	9	Re5b3	D5b4	324	323	1	16	234	99	96		0.244791666667
21	9	Do5	C5	318	318	1	16	234	99	96		0.25
22	9	Do5	C5	318	318	3	4	2812	95	96		0.3125
23	9	Es	Es	-1	-1	1	4	938	100	0		0.333333333333
24	9	Re5b3	D5b4	324	323	1	2	1875	95	96	di	0.375
25	9	Re5b3	D5b4	324	323	1	8	469	99	96	yem 	0.385416666667
26	9	Mi5	E5	336	336	1	8	469	99	96		0.395833333333
27	9	Re5b3	D5b4	324	323	1	8	469	99	96		0.40625
28	9	Do5	C5	318	318	1	8	469	95	96		0.416666666667
