Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	1000	95	96		0.250000
2	9	Sol4#4	G4#4	300	300	1	4	1000	95	96		0.500000
3	9	La4	A4	305	305	1	4	1000	95	96		0.750000
4	9	Do5#4	C5#4	322	322	1	8	500	95	96		0.875000
5	9	Si4b4	B4b4	310	310	1	8	500	95	96		1.000000
6	9	Si4b4	B4b4	310	310	1	8	500	95	96		1.125000
7	9	La4	A4	305	305	1	8	500	95	96		1.250000
8	9	Sol4#4	G4#4	300	300	1	8	500	95	96		1.375000
9	9	La4	A4	305	305	1	8	500	95	96		1.500000
10	9	Sol4#4	G4#4	300	300	1	8	500	95	96		1.625000
11	9	La4	A4	305	305	1	8	500	95	96		1.750000
12	9	Fa4	F4	287	287	1	4	1000	95	96		2.000000
13	9	Es	Es	-1	-1	1	8	500	100	0		2.125000
14	9	Do5#4	C5#4	322	322	1	8	500	95	96		2.250000
15	9	Si4b4	B4b4	310	310	1	8	500	95	96		2.375000
16	9	La4	A4	305	305	1	8	500	95	96		2.500000
17	9	Sol4#4	G4#4	300	300	1	8	500	95	96		2.625000
18	9	La4	A4	305	305	1	8	500	95	96		2.750000
19	9	Si4b4	B4b4	310	310	1	8	500	95	96		2.875000
20	9	Si4b4	B4b4	310	310	1	16	250	95	96		2.937500
21	9	La4	A4	305	305	1	16	250	95	96		3.000000
22	9	La4	A4	305	305	1	4	1000	95	96		3.250000
23	9	Si4b1	B4b1	313	313	1	4	1000	95	96		3.500000
24	9	Do5	C5	318	318	1	2	2000	95	96		4.000000
25	9	Es	Es	-1	-1	1	8	500	100	0		4.125000
26	9	Do5	C5	318	318	1	4	1000	95	96		4.375000
27	9	Re5b3	D5b4	324	323	1	8	500	95	96		4.500000
28	9	Mi5	E5	336	336	1	8	500	95	96		4.625000
29	9	Fa5	F5	340	340	1	8	500	95	96		4.750000
30	9	Sol5	G5	349	349	1	8	500	95	96		4.875000
31	9	Mi5	E5	336	336	1	8	500	95	96		5.000000
32	9	Fa5	F5	340	340	1	4	1000	95	96		5.250000
33	9	La5b4	A5b4	354	354	1	4	1000	95	96		5.500000
34	9	Sol5	G5	349	349	1	8	500	95	96		5.625000
35	9	Fa5	F5	340	340	1	8	500	95	96		5.750000
36	9	Fa5	F5	340	340	1	8	500	95	96		5.875000
37	9	Mi5	E5	336	336	1	8	500	95	96		6.000000
38	9	Mi5	E5	336	336	1	8	500	95	96		6.125000
39	9	Re5b3	D5b4	324	323	1	8	500	95	96		6.250000
40	9	Re5b3	D5b4	324	323	1	8	500	95	96		6.375000
41	9	Do5	C5	318	318	1	8	500	95	96		6.500000
42	9	Si4b1	B4b1	313	313	1	8	500	95	96		6.625000
43	9	Do5	C5	318	318	1	8	500	95	96		6.750000
44	9	Re5b3	D5b4	324	323	1	8	500	95	96		6.875000
45	9	Re5b3	D5b4	324	323	1	16	250	95	96		6.937500
46	9	Do5	C5	318	318	1	16	250	95	96		7.000000
47	9	Do5	C5	318	318	3	4	3000	95	96		7.750000
48	9	Es	Es	-1	-1	1	4	1000	100	0		8.000000
49	9	Re5b3	D5b4	324	323	3	16	750	95	96		8.187500
50	9	Do5	C5	318	318	1	16	250	95	96		8.250000
51	9	Si4b2	B4b1	312	313	1	4	1000	95	96		8.500000
52	9	Do5	C5	318	318	3	16	750	95	96		8.687500
53	9	Si4b2	B4b1	312	313	1	16	250	95	96		8.750000
54	9	La4	A4	305	305	1	4	1000	95	96		9.000000
55	9	Es	Es	-1	-1	1	8	500	100	0		9.125000
56	9	Si4b4	B4b4	310	310	1	4	1000	95	96		9.375000
57	9	La4	A4	305	305	1	8	500	95	96		9.500000
58	9	Si4b4	B4b4	310	310	3	16	750	95	96		9.687500
59	9	La4	A4	305	305	1	16	250	95	96		9.750000
60	9	Sol4#4	G4#4	300	300	1	8	500	95	96		9.875000
61	9	La4	A4	305	305	1	8	500	95	96		10.000000
62	9	Sol4#4	G4#4	300	300	1	4	1000	95	96		10.250000
63	9	Es	Es	-1	-1	1	4	1000	100	0		10.500000
64	9	La4	A4	305	305	1	8	500	95	96		10.625000
65	9	Si4b4	B4b4	310	310	1	8	500	95	96		10.750000
66	9	Do5#4	C5#4	322	322	1	8	500	95	96		10.875000
67	9	Re5	D5	327	327	1	8	500	95	96		11.000000
68	9	Mi5	E5	336	336	1	8	500	95	96		11.125000
69	9	Re5	D5	327	327	1	8	500	95	96		11.250000
70	9	Re5	D5	327	327	1	8	500	95	96		11.375000
71	9	Do5#4	C5#4	322	322	1	8	500	95	96		11.500000
72	9	Do5#4	C5#4	322	322	1	8	500	95	96		11.625000
73	9	Si4b4	B4b4	310	310	1	8	500	95	96		11.750000
74	9	Si4b4	B4b4	310	310	1	8	500	95	96		11.875000
75	9	La4	A4	305	305	1	8	500	95	96		12.000000
76	9	Sol4#4	G4#4	300	300	1	8	500	95	96		12.125000
77	9	La4	A4	305	305	1	8	500	95	96		12.250000
78	9	Si4b4	B4b4	310	310	1	8	500	95	96		12.375000
79	9	Si4b4	B4b4	310	310	1	16	250	95	96		12.437500
80	9	La4	A4	305	305	1	16	250	95	96		12.500000
81	9	La4	A4	305	305	1	2	2000	95	96		13.000000
82	9	Sol4#4	G4#4	300	300	1	4	1000	95	96		13.250000
83	8	Do5#4	C5#4	322	322	0	0	0	95	96		13.250000
84	9	Si4b4	B4b4	310	310	1	8	500	95	96		13.375000
85	9	La4	A4	305	305	1	8	500	95	96		13.500000
86	9	La4	A4	305	305	1	2	2000	95	96		14.000000
