Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	1	4	667	100	0	ARANAĞME	0.222222222222
2	9	La4	A4	305	305	1	8	333	95	96		0.333333333333
3	9	Sol4#4	G4#4	300	300	1	8	333	95	96	.	0.444444444444
4	9	Fa4	F4	287	287	1	4	667	95	96	.	0.666666666667
5	9	Sol4#4	G4#4	300	300	1	8	333	95	96	.	0.777777777778
6	9	La4	A4	305	305	1	4	667	95	96	.	1.0
7	9	Es	Es	-1	-1	1	4	667	100	0	.	1.22222222222
8	9	La4	A4	305	305	1	8	333	95	96	.	1.33333333333
9	9	Sol4#4	G4#4	300	300	1	8	333	95	96	.	1.44444444444
10	9	Fa4	F4	287	287	1	4	667	95	96	.	1.66666666667
11	9	Sol4#4	G4#4	300	300	1	8	333	95	96	.	1.77777777778
12	9	La4	A4	305	305	1	4	667	95	96	.	2.0
13	9	Es	Es	-1	-1	1	4	667	100	0	ARANAĞME	2.22222222222
14	9	La4	A4	305	305	1	8	333	95	96		2.33333333333
15	9	Sol4#4	G4#4	300	300	1	8	333	95	96	.	2.44444444444
16	9	Fa4	F4	287	287	1	4	667	95	96	.	2.66666666667
17	9	Sol4#4	G4#4	300	300	1	8	333	95	96	.	2.77777777778
18	9	La4	A4	305	305	1	4	667	95	96	.	3.0
19	9	Es	Es	-1	-1	1	4	667	100	0	.	3.22222222222
20	9	La4	A4	305	305	1	8	333	95	96	.	3.33333333333
21	9	Sol4#4	G4#4	300	300	1	8	333	95	96	.	3.44444444444
22	9	Fa4	F4	287	287	1	4	667	95	96	.	3.66666666667
23	9	Sol4#4	G4#4	300	300	1	8	333	95	96	.	3.77777777778
24	9	La4	A4	305	305	1	4	667	95	96	.	4.0
25	9	Es	Es	-1	-1	1	4	667	100	0		4.22222222222
26	9	La4	A4	305	305	1	8	333	95	96	Ak	4.33333333333
27	9	Si4b1	B4b1	313	313	1	8	333	95	96	sa	4.44444444444
28	9	Do5	C5	318	318	1	4	667	95	96	ray	4.66666666667
29	9	Do5	C5	318	318	3	8	1000	95	96	da 	5.0
30	9	Es	Es	-1	-1	1	4	667	100	0		5.22222222222
31	9	Do5	C5	318	318	1	8	333	95	96	çe	5.33333333333
32	9	Re5b4	D5b4	323	323	1	8	333	95	96	vir	5.44444444444
33	9	Re5b4	D5b4	323	323	1	8	333	99	96	di	5.55555555556
34	9	Do5	C5	318	318	1	8	333	95	96		5.66666666667
35	9	Re5b4	D5b4	323	323	1	8	333	99	96	ler 	5.77777777778
36	9	Do5	C5	318	318	1	8	333	99	96		5.88888888889
37	9	Si4b1	B4b1	313	313	1	8	333	95	96		6.0
38	9	Es	Es	-1	-1	1	8	333	100	0		6.11111111111
39	9	Do5	C5	318	318	1	16	167	99	96	yo	6.16666666667
40	9	Re5b4	D5b4	323	323	1	16	167	99	96		6.22222222222
41	9	Do5	C5	318	318	1	8	333	99	96		6.33333333333
42	9	Si4b1	B4b1	313	313	1	8	333	99	96		6.44444444444
43	9	La4	A4	305	305	1	4	667	95	96		6.66666666667
44	9	Si4b1	B4b1	313	313	1	8	333	95	96	lu	6.77777777778
45	9	Do5	C5	318	318	1	4	667	95	96	mu 	7.0
46	9	Es	Es	-1	-1	1	8	333	100	0		7.11111111111
47	9	Do5	C5	318	318	1	16	167	99	96	yo	7.16666666667
48	9	Re5b4	D5b4	323	323	1	16	167	99	96		7.22222222222
49	9	Do5	C5	318	318	1	8	333	99	96		7.33333333333
50	9	Si4b1	B4b1	313	313	1	8	333	99	96		7.44444444444
51	9	La4	A4	305	305	1	4	667	95	96		7.66666666667
52	9	Si4b4	B4b4	310	310	1	8	333	95	96	lu	7.77777777778
