Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5#4	F5#4	344	344	3	4	3000	95	96		0.750000
2	9	Es	Es	-1	-1	1	4	1000	100	0		1.000000
3	9	Fa5#4	F5#4	344	344	1	16	250	95	96		1.062500
4	9	Mi5#4	E5#4	340	340	1	16	250	95	96		1.125000
5	9	Fa5#4	F5#4	344	344	1	16	250	95	96		1.187500
6	9	Sol5	G5	349	349	1	16	250	95	96		1.250000
7	9	Fa5#4	F5#4	344	344	1	8	500	95	96		1.375000
8	9	Mi5#4	E5#4	340	340	1	8	500	95	96		1.500000
9	9	Re5	D5	327	327	1	4	1000	95	96		1.750000
10	9	La5	A5	358	358	1	4	1000	95	96		2.000000
11	9	Sol5	G5	349	349	3	16	750	95	96		2.187500
12	9	Fa5#4	F5#4	344	344	1	16	250	95	96		2.250000
13	9	Mi5#4	E5#4	340	340	1	8	500	95	96		2.375000
14	9	Fa5#4	F5#4	344	344	1	8	500	95	96		2.500000
15	9	Mi5#4	E5#4	340	340	1	8	500	95	96		2.625000
16	9	Fa5#4	F5#4	344	344	1	8	500	95	96		2.750000
17	9	Sol5	G5	349	349	1	16	250	95	96		2.812500
18	9	La5	A5	358	358	1	16	250	95	96		2.875000
19	9	Sol5	G5	349	349	1	16	250	95	96		2.937500
20	9	Fa5#4	F5#4	344	344	1	16	250	95	96		3.000000
21	9	Fa5#4	F5#4	344	344	3	4	3000	95	96		3.750000
22	9	Es	Es	-1	-1	1	4	1000	100	0		4.000000
23	9	Fa5#4	F5#4	344	344	3	8	1500	95	96		4.375000
24	9	La5	A5	358	358	1	8	500	95	96		4.500000
25	9	Sol5#4	G5#4	353	353	1	4	1000	95	96		4.750000
26	9	Si5b1	B5b1	366	366	1	4	1000	95	96		5.000000
27	9	Es	Es	-1	-1	1	8	500	100	0		5.125000
28	9	Sol5#4	G5#4	353	353	1	8	500	95	96		5.250000
29	9	La5	A5	358	358	1	8	500	95	96		5.375000
30	9	Si5b1	B5b1	366	366	1	8	500	95	96		5.500000
31	9	La5	A5	358	358	3	16	750	95	96		5.687500
32	9	Sol5#4	G5#4	353	353	1	16	250	95	96		5.750000
33	9	Fa5#4	F5#4	344	344	1	4	1000	95	96		6.000000
34	9	Es	Es	-1	-1	1	8	500	100	0		6.125000
35	9	La5	A5	358	358	1	8	500	95	96		6.250000
36	9	Sol5	G5	349	349	1	8	500	95	96		6.375000
37	9	Fa5#4	F5#4	344	344	1	8	500	95	96		6.500000
38	9	Mi5#4	E5#4	340	340	3	8	1500	95	96		6.875000
39	9	Re5	D5	327	327	1	8	500	95	96		7.000000
40	9	Do5#4	C5#4	322	322	3	16	750	95	96		7.187500
41	9	Si4b1	B4b1	313	313	1	16	250	95	96		7.250000
42	9	La4#4	A4#4	309	309	1	8	500	95	96		7.375000
43	9	Si4b1	B4b1	313	313	1	8	500	95	96		7.500000
44	9	Do5#4	C5#4	322	322	1	2	2000	95	96		8.000000
45	9	Es	Es	-1	-1	1	8	500	100	0		8.125000
46	9	Re5	D5	327	327	1	8	500	95	96		8.250000
47	9	Do5#4	C5#4	322	322	1	8	500	95	96		8.375000
48	9	Si4b1	B4b1	313	313	1	8	500	95	96		8.500000
49	9	La4#4	A4#4	309	309	3	16	750	95	96		8.687500
50	9	Sol4	G4	296	296	1	16	250	95	96		8.750000
51	9	Fa4#4	F4#4	291	291	1	8	500	95	96		8.875000
52	9	Do5#4	C5#4	322	322	1	8	500	95	96		9.000000
53	9	Es	Es	-1	-1	1	8	500	100	0		9.125000
54	9	La4#4	A4#4	309	309	1	4	1000	95	96		9.375000
55	9	Sol4	G4	296	296	1	8	500	95	96		9.500000
56	9	Sol4	G4	296	296	3	16	750	95	96		9.687500
57	9	Fa4#4	F4#4	291	291	1	16	250	95	96		9.750000
58	9	Mi4#4	E4#4	287	287	3	16	750	95	96		9.937500
59	9	Fa4#4	F4#4	291	291	1	16	250	95	96		10.000000
60	9	Mi4#4	E4#4	287	287	1	8	500	95	96		10.125000
61	9	Fa4#4	F4#4	291	291	1	8	500	95	96		10.250000
62	9	Sol4	G4	296	296	1	16	250	95	96		10.312500
63	9	La4#4	A4#4	309	309	1	16	250	95	96		10.375000
64	9	Sol4	G4	296	296	1	16	250	95	96		10.437500
65	9	Fa4#4	F4#4	291	291	1	16	250	95	96		10.500000
66	9	Fa4#4	F4#4	291	291	1	2	2000	95	96		11.000000
