Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	4	714	95	96	ARANAĞME	0.2
2	9	Re5	D5	327	327	1	8	357	95	96	.	0.3
3	9	Re5	D5	327	327	1	4	714	95	96	.	0.5
4	23	Mi5	E5	336	336	1	8	357	95	96	.	0.6
5	9	Fa5#3	F5#4	343	344	1	8	357	95	96	.	0.7
6	9	Sol5	G5	349	349	1	8	357	95	96	.	0.8
7	9	Mi5	E5	336	336	1	8	357	95	96	.	0.9
8	9	Re5	D5	327	327	1	8	357	95	96	.	1.0
9	9	Mi5	E5	336	336	1	8	357	95	96	.	1.1
10	9	Re5	D5	327	327	1	32	89	95	96	.	1.125
11	9	Do5#4	C5#4	322	322	1	32	89	95	96	.	1.15
12	9	Re5	D5	327	327	1	16	179	95	96	.	1.2
13	10	Do5#4	C5#4	322	322	1	8	357	95	96	.	1.3
14	8	Re5	D5	327	327	0	0	0	95	96	.	1.3
15	12	Do5#4	C5#4	322	322	2	16	357	95	96	.	1.4
16	9	Si4b1	B4b1	313	313	1	8	357	95	96	.	1.5
17	9	Do5#4	C5#4	322	322	1	16	179	95	96	.	1.55
18	24	Si4b1	B4b1	313	313	1	8	357	95	96	.	1.65
19	9	La4	A4	305	305	1	16	179	95	96	.	1.7
20	1	La4	A4	305	305	1	16	179	95	96	.	1.75
21	1	Si4b1	B4b1	313	313	1	16	179	95	96	.	1.8
22	1	Do5#4	C5#4	322	322	1	16	179	95	96	.	1.85
23	1	Re5	D5	327	327	1	16	179	95	96	.	1.9
24	1	Do5#4	C5#4	322	322	1	16	179	95	96	.	1.95
25	1	Si4b1	B4b1	313	313	1	16	179	95	96	.	2.0
26	9	La4	A4	305	305	1	4	714	95	96	.	2.2
27	9	La4	A4	305	305	1	16	179	95	96	.	2.25
28	9	Si4b1	B4b1	313	313	1	16	179	95	96	.	2.3
29	9	Do5#4	C5#4	322	322	1	4	714	95	96	.	2.5
30	9	Re5	D5	327	327	1	8	357	95	96	.	2.6
31	9	Si4b1	B4b1	313	313	1	8	357	95	96	.	2.7
32	9	Si4b1	B4b1	313	313	3	32	268	95	96	.	2.775
33	9	Do5	C5	318	318	1	32	89	95	96	.	2.8
34	12	Si4b1	B4b1	313	313	2	16	357	95	96	.	2.9
35	9	La4	A4	305	305	1	8	357	95	96	.	3.0
36	9	La4	A4	305	305	3	32	268	95	96	.	3.075
37	9	Do5	C5	318	318	1	32	89	95	96	.	3.1
38	9	Si4b1	B4b1	313	313	1	16	179	95	96	.	3.15
39	9	La4	A4	305	305	1	16	179	95	96	.	3.2
40	9	Sol4	G4	296	296	1	16	179	95	96	.	3.25
41	9	Fa4#4	F4#4	291	291	1	16	179	95	96	.	3.3
42	12	Sol4	G4	296	296	2	16	357	95	96	.	3.4
43	9	Fa4#4	F4#4	291	291	1	8	357	95	96	.	3.5
44	9	Fa4#4	F4#4	291	291	1	4	714	95	96	.	3.7
45	9	Fa4#4	F4#4	291	291	3	8	1071	95	96	.	4.0
46	9	Re4	D4	274	274	1	4	714	95	96	.	4.2
47	9	Fa4#4	F4#4	291	291	1	8	357	95	96	.	4.3
48	9	Fa4#4	F4#4	291	291	1	4	714	95	96	.	4.5
49	9	Re4	D4	274	274	1	4	714	95	96	.	4.7
50	9	Fa4#4	F4#4	291	291	3	8	1071	95	96	.	5.0
51	9	Re4	D4	274	274	1	4	714	95	96	.	5.2
52	9	Fa4#4	F4#4	291	291	1	8	357	95	96	.	5.3
53	9	Fa4#4	F4#4	291	291	1	4	714	95	96	.	5.5
54	9	Re4	D4	274	274	1	4	714	95	96	.	5.7
55	9	Fa4#4	F4#4	291	291	3	16	536	95	96	.	5.85
56	9	La4	A4	305	305	1	16	179	95	96	.	5.9
57	9	Si4b1	B4b1	313	313	1	16	179	95	96	.	5.95
58	9	Do5#4	C5#4	322	322	1	16	179	95	96	.	6.0
59	9	Re5	D5	327	327	1	4	714	95	96	ARANAĞME	6.2
60	9	Re5	D5	327	327	1	8	357	95	96	.	6.3
61	9	Re5	D5	327	327	1	4	714	95	96	.	6.5
62	23	Mi5	E5	336	336	1	8	357	95	96	.	6.6
63	9	Fa5#3	F5#4	343	344	1	8	357	95	96	.	6.7
64	9	Sol5	G5	349	349	1	8	357	95	96	.	6.8
65	9	Mi5	E5	336	336	1	8	357	95	96	.	6.9
66	9	Re5	D5	327	327	1	8	357	95	96	.	7.0
67	9	Mi5	E5	336	336	1	8	357	95	96	.	7.1
68	9	Re5	D5	327	327	1	32	89	95	96	.	7.125
69	9	Do5#4	C5#4	322	322	1	32	89	95	96	.	7.15
70	9	Re5	D5	327	327	1	16	179	95	96	.	7.2
71	10	Do5#4	C5#4	322	322	1	8	357	95	96	.	7.3
