Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	9	8	0	20	0	Aksak	0.0
2	9	La5	A5	358	358	1	32	125	95	96	ARANAĞME	0.0277777777778
3	9	Sol5	G5	349	349	1	32	125	95	96	.	0.0555555555556
4	9	La5	A5	358	358	1	32	125	95	96	.	0.0833333333333
5	9	Si5	B5	367	367	1	32	125	95	96	.	0.111111111111
6	9	La5	A5	358	358	1	16	250	95	96	.	0.166666666667
7	9	Sol5	G5	349	349	1	16	250	95	96	.	0.222222222222
8	9	Fa5#4	F5#4	344	344	1	4	1000	95	96	.	0.444444444444
9	9	Sol5	G5	349	349	1	32	125	95	96	.	0.472222222222
10	9	Fa5#4	F5#4	344	344	1	32	125	95	96	.	0.5
11	9	Sol5	G5	349	349	1	32	125	95	96	.	0.527777777778
12	9	La5	A5	358	358	1	32	125	95	96	.	0.555555555556
13	9	Sol5	G5	349	349	1	16	250	95	96	.	0.611111111111
14	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	0.666666666667
15	9	Mi5	E5	336	336	3	8	1500	95	96	.	1.0
16	9	Fa5#3	F5#4	343	344	1	32	125	95	96	.	1.02777777778
17	9	Mi5	E5	336	336	1	32	125	95	96	.	1.05555555556
18	9	Fa5#3	F5#4	343	344	1	32	125	95	96	.	1.08333333333
19	9	Sol5	G5	349	349	1	32	125	95	96	.	1.11111111111
20	9	Fa5#3	F5#4	343	344	1	16	250	95	96	.	1.16666666667
21	9	Mi5	E5	336	336	1	16	250	95	96	.	1.22222222222
22	9	Re5	D5	327	327	1	8	500	95	96	.	1.33333333333
23	9	Es	Es	-1	-1	1	8	500	100	0	.	1.44444444444
24	9	Mi5	E5	336	336	1	32	125	95	96	.	1.47222222222
25	9	Re5	D5	327	327	1	32	125	95	96	.	1.5
26	9	Mi5	E5	336	336	1	32	125	95	96	.	1.52777777778
27	9	Fa5	F5	340	340	1	32	125	95	96	.	1.55555555556
28	9	Mi5	E5	336	336	1	16	250	95	96	.	1.61111111111
29	9	Re5	D5	327	327	1	16	250	95	96	.	1.66666666667
30	9	Re5	D5	327	327	1	8	500	95	96	.	1.77777777778
31	9	Do5	C5	318	318	1	8	500	95	96	.	1.88888888889
32	9	Si4b1	B4b1	313	313	1	8	500	95	96	.	2.0
33	9	Do5	C5	318	318	3	16	750	95	96	.	2.16666666667
34	9	Re5	D5	327	327	1	16	250	95	96	.	2.22222222222
35	9	Mi5	E5	336	336	3	16	750	95	96	.	2.38888888889
36	9	Re5	D5	327	327	1	16	250	95	96	.	2.44444444444
