Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	4	1000	95	96		0.25
2	9	Fa5#4	F5#4	344	344	1	8	500	95	96		0.375
3	9	Mi5	E5	336	336	1	8	500	95	96		0.5
4	9	Fa5#4	F5#4	344	344	1	4	1000	95	96		0.75
5	9	Sol5	G5	349	349	1	4	1000	95	96		1.0
6	9	La5	A5	358	358	1	8	500	95	96		1.125
7	9	Sol5	G5	349	349	1	8	500	95	96		1.25
8	9	Fa5#4	F5#4	344	344	1	8	500	95	96		1.375
9	9	Mi5	E5	336	336	1	8	500	95	96		1.5
10	9	Fa5#4	F5#4	344	344	3	16	750	95	96		1.6875
11	9	Mi5	E5	336	336	1	16	250	95	96		1.75
12	9	Re5	D5	327	327	1	4	1000	95	96		2.0
13	9	Fa5#4	F5#4	344	344	1	8	500	95	96		2.125
14	9	Sol5	G5	349	349	1	8	500	95	96		2.25
15	9	La5	A5	358	358	1	8	500	95	96		2.375
16	9	Si5	B5	367	367	1	8	500	95	96		2.5
17	9	Do6	C6	371	371	1	4	1000	95	96		2.75
18	9	Si5	B5	367	367	1	8	500	95	96		2.875
19	9	La5	A5	358	358	1	8	500	95	96		3.0
20	9	La5	A5	358	358	1	8	500	95	96		3.125
21	9	Sol5	G5	349	349	1	8	500	95	96		3.25
22	9	Fa5#4	F5#4	344	344	1	8	500	95	96		3.375
23	9	Mi5#4	E5#4	340	340	1	8	500	95	96		3.5
24	9	Fa5#4	F5#4	344	344	1	2	2000	95	96		4.0
25	9	Re5	D5	327	327	1	8	500	95	96		4.125
26	9	Mi5	E5	336	336	1	8	500	95	96		4.25
27	9	Fa5#4	F5#4	344	344	1	8	500	95	96		4.375
28	9	Sol5	G5	349	349	1	8	500	95	96		4.5
29	9	Fa5#4	F5#4	344	344	1	4	1000	95	96		4.75
30	9	Mi5	E5	336	336	1	4	1000	95	96		5.0
31	9	Mi5	E5	336	336	1	8	500	95	96		5.125
32	9	Re5	D5	327	327	1	4	1000	95	96		5.375
33	9	Do5#4	C5#4	322	322	1	8	500	95	96		5.5
34	9	Do5#4	C5#4	322	322	3	16	750	95	96		5.6875
35	9	Si4	B4	314	314	1	16	250	95	96		5.75
36	9	La4	A4	305	305	1	4	1000	95	96		6.0
37	9	La4	A4	305	305	1	8	500	95	96		6.125
38	9	Si4	B4	314	314	1	8	500	95	96		6.25
39	9	Do5#4	C5#4	322	322	1	8	500	95	96		6.375
40	9	Re5	D5	327	327	1	8	500	95	96		6.5
41	9	Do5#4	C5#4	322	322	1	8	500	95	96		6.625
42	9	Si4	B4	314	314	1	8	500	95	96		6.75
43	9	La4	A4	305	305	1	8	500	95	96		6.875
44	9	Sol4	G4	296	296	1	8	500	95	96		7.0
45	9	La4	A4	305	305	1	8	500	95	96		7.125
46	9	Sol4	G4	296	296	1	8	500	95	96		7.25
47	9	Fa4#4	F4#4	291	291	1	8	500	95	96		7.375
48	9	Mi4#4	E4#4	287	287	1	8	500	95	96		7.5
49	9	Fa4#4	F4#4	291	291	1	2	2000	95	96		8.0
