Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	12	8	0	76	0	Dolap	0.0
2	9	Re5	D5	327	327	1	8	435	95	96	ARANAĞME	0.0833333333333
3	9	Fa5#3	F5#4	343	344	1	16	217	95	96	.	0.125
4	9	Sol5	G5	349	349	1	16	217	95	96	.	0.166666666667
5	9	La5	A5	358	358	1	8	435	95	96	.	0.25
6	9	La5	A5	358	358	1	16	217	95	96	.	0.291666666667
7	9	Do6	C6	371	371	1	16	217	95	96	.	0.333333333333
8	9	Si5b2	B5b1	365	366	1	16	217	95	96	.	0.375
9	9	La5	A5	358	358	1	16	217	95	96	.	0.416666666667
10	9	Sol5	G5	349	349	1	16	217	95	96	.	0.458333333333
11	9	Fa5#3	F5#4	343	344	1	16	217	95	96	.	0.5
12	9	Mi5	E5	336	336	3	16	652	95	96	.	0.625
13	9	Re5	D5	327	327	1	16	217	95	96	.	0.666666666667
14	9	Mi5	E5	336	336	1	16	217	95	96	.	0.708333333333
15	9	Re5	D5	327	327	1	16	217	95	96	.	0.75
16	9	Do5	C5	318	318	1	16	217	95	96	.	0.791666666667
17	9	Si4	B4	314	314	1	16	217	95	96	.	0.833333333333
18	9	Do5	C5	318	318	1	8	435	95	96	.	0.916666666667
19	9	Es	Es	-1	-1	1	8	435	100	0		1.0
20	51			0	0	7	8	0	102	0	Devr-i Hindî II	1.0
21	9	Sol5	G5	349	349	1	8	435	95	96	.	1.14285714286
22	9	Sol5	G5	349	349	1	8	435	95	96	.	1.28571428571
23	9	Sol5	G5	349	349	1	8	435	95	96	.	1.42857142857
24	9	Sol5	G5	349	349	1	32	109	95	96	.	1.46428571429
25	9	Fa5#3	F5#4	343	344	1	32	109	95	96	.	1.5
26	9	Sol5	G5	349	349	1	32	109	95	96	.	1.53571428571
27	9	La5	A5	358	358	1	32	109	95	96	.	1.57142857143
28	9	Sol5	G5	349	349	1	16	217	95	96	.	1.64285714286
29	9	Fa5#3	F5#4	343	344	1	16	217	95	96	.	1.71428571429
30	9	Mi5b3	E5b4	333	332	1	16	217	95	96	.	1.78571428571
31	9	Re5	D5	327	327	1	16	217	95	96	.	1.85714285714
32	9	Do5	C5	318	318	1	16	217	95	96	.	1.92857142857
33	9	Si4b2	B4b1	312	313	1	16	217	95	96	.	2.0
34	9	Do5	C5	318	318	1	8	435	95	96	.	2.14285714286
35	9	Do5	C5	318	318	1	8	435	95	96	.	2.28571428571
36	9	Do5	C5	318	318	1	16	217	95	96	.	2.35714285714
37	9	Si4b2	B4b1	312	313	1	16	217	95	96	.	2.42857142857
38	9	Do5	C5	318	318	1	16	217	95	96	.	2.5
39	9	Si4b2	B4b1	312	313	1	16	217	95	96	.	2.57142857143
40	9	Do5	C5	318	318	1	16	217	95	96	.	2.64285714286
41	9	Re5	D5	327	327	1	16	217	95	96	.	2.71428571429
42	9	Si4b2	B4b1	312	313	1	8	435	95	96	.	2.85714285714
43	9	Si4b2	B4b1	312	313	1	16	217	95	96	.	2.92857142857
44	9	La4	A4	305	305	1	16	217	95	96	.	3.0
45	9	Re5	D5	327	327	1	8	435	95	96	.	3.14285714286
46	9	Re5	D5	327	327	1	8	435	95	96	.	3.28571428571
47	9	Re5	D5	327	327	1	8	435	95	96	.	3.42857142857
48	9	La4	A4	305	305	1	4	870	95	96	.	3.71428571429
49	9	Re5	D5	327	327	1	8	435	95	96	.	3.85714285714
50	9	Re5	D5	327	327	1	8	435	95	96	.	4.0
51	9	La4	A4	305	305	1	8	435	95	96	.	4.14285714286
52	9	La4	A4	305	305	1	8	435	95	96	.	4.28571428571
53	9	La4	A4	305	305	1	16	217	95	96	.	4.35714285714
54	9	La4	A4	305	305	1	16	217	95	96	.	4.42857142857
55	9	La4	A4	305	305	1	8	435	95	96	.	4.57142857143
56	9	La4	A4	305	305	1	16	217	95	96	.	4.64285714286
57	9	La4	A4	305	305	1	16	217	95	96	.	4.71428571429
58	9	La4	A4	305	305	1	8	435	95	96	.	4.85714285714
59	9	Es	Es	-1	-1	1	8	435	100	0		5.0
60	51			0	0	12	8	0	76	0	Dolap	5.0
61	9	Re5	D5	327	327	1	8	435	95	96	ARANAĞME	5.08333333333
62	9	Fa5#3	F5#4	343	344	1	16	217	95	96	.	5.125
63	9	Sol5	G5	349	349	1	16	217	95	96	.	5.16666666667
64	9	La5	A5	358	358	1	8	435	95	96	.	5.25
65	9	La5	A5	358	358	1	16	217	95	96	.	5.29166666667
66	9	Do6	C6	371	371	1	16	217	95	96	.	5.33333333333
67	9	Si5b2	B5b1	365	366	1	16	217	95	96	.	5.375
68	9	La5	A5	358	358	1	16	217	95	96	.	5.41666666667
69	9	Sol5	G5	349	349	1	16	217	95	96	.	5.45833333333
70	9	Fa5#3	F5#4	343	344	1	16	217	95	96	.	5.5
71	9	Mi5	E5	336	336	3	16	652	95	96	.	5.625
72	9	Re5	D5	327	327	1	16	217	95	96	.	5.66666666667
73	9	Mi5	E5	336	336	1	16	217	95	96	.	5.70833333333
74	9	Re5	D5	327	327	1	16	217	95	96	.	5.75
75	9	Do5	C5	318	318	1	16	217	95	96	.	5.79166666667
76	9	Si4	B4	314	314	1	16	217	95	96	.	5.83333333333
77	9	Do5	C5	318	318	1	8	435	95	96	.	5.91666666667
78	9	Es	Es	-1	-1	1	8	435	100	0		6.0
79	51			0	0	7	8	0	102	0	Devr-i Hindî II	6.0
80	9	Sol5	G5	349	349	1	8	435	95	96	.	6.14285714286
81	9	Sol5	G5	349	349	1	8	435	95	96	.	6.28571428571
82	9	Sol5	G5	349	349	1	8	435	95	96	.	6.42857142857
83	9	Sol5	G5	349	349	1	32	109	95	96	.	6.46428571429
84	9	Fa5#3	F5#4	343	344	1	32	109	95	96	.	6.5
85	9	Sol5	G5	349	349	1	32	109	95	96	.	6.53571428571
86	9	La5	A5	358	358	1	32	109	95	96	.	6.57142857143
87	9	Sol5	G5	349	349	1	16	217	95	96	.	6.64285714286
88	9	Fa5#3	F5#4	343	344	1	16	217	95	96	.	6.71428571429
89	9	Mi5b3	E5b4	333	332	1	16	217	95	96	.	6.78571428571
90	9	Re5	D5	327	327	1	16	217	95	96	.	6.85714285714
91	9	Do5	C5	318	318	1	16	217	95	96	.	6.92857142857
92	9	Si4b2	B4b1	312	313	1	16	217	95	96	.	7.0
93	9	Do5	C5	318	318	1	8	435	95	96	.	7.14285714286
94	9	Do5	C5	318	318	1	8	435	95	96	.	7.28571428571
95	9	Do5	C5	318	318	1	16	217	95	96	.	7.35714285714
96	9	Si4b2	B4b1	312	313	1	16	217	95	96	.	7.42857142857
97	9	Do5	C5	318	318	1	16	217	95	96	.	7.5
98	9	Si4b2	B4b1	312	313	1	16	217	95	96	.	7.57142857143
99	9	Do5	C5	318	318	1	16	217	95	96	.	7.64285714286
100	9	Re5	D5	327	327	1	16	217	95	96	.	7.71428571429
101	9	Si4b2	B4b1	312	313	1	8	435	95	96	.	7.85714285714
102	9	Si4b2	B4b1	312	313	1	16	217	95	96	.	7.92857142857
103	9	La4	A4	305	305	1	16	217	95	96	.	8.0
