Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	8	323	95	96	ARANAĞME	0.125000
2	9	Do5	C5	318	318	1	16	161	95	96	.	0.187500
3	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	0.250000
4	9	Re5	D5	327	327	1	16	161	95	96	.	0.312500
5	9	Do5	C5	318	318	1	16	161	95	96	.	0.375000
6	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	0.437500
7	11	La4	A4	305	305	1	16	161	95	96	.	0.500000
8	9	La4	A4	305	305	1	4	645	95	96	.	0.750000
9	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	0.812500
10	9	La4	A4	305	305	1	16	161	95	96	.	0.875000
11	9	Sol4	G4	296	296	1	8	323	95	96	.	1.000000
12	9	Do5	C5	318	318	1	8	323	95	96	.	1.125000
13	9	Do5	C5	318	318	1	16	161	95	96	.	1.187500
14	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	1.250000
15	9	Re5	D5	327	327	1	16	161	95	96	.	1.312500
16	9	Do5	C5	318	318	1	16	161	95	96	.	1.375000
17	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	1.437500
18	11	La4	A4	305	305	1	16	161	95	96	.	1.500000
19	9	La4	A4	305	305	1	2	1290	95	96	.	2.000000
20	9	Do5	C5	318	318	1	8	323	95	96	ARANAĞME	2.125000
21	9	Do5	C5	318	318	1	16	161	95	96	.	2.187500
22	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	2.250000
23	9	Re5	D5	327	327	1	16	161	95	96	.	2.312500
24	9	Do5	C5	318	318	1	16	161	95	96	.	2.375000
25	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	2.437500
26	11	La4	A4	305	305	1	16	161	95	96	.	2.500000
27	9	La4	A4	305	305	1	4	645	95	96	.	2.750000
28	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	2.812500
29	9	La4	A4	305	305	1	16	161	95	96	.	2.875000
30	9	Sol4	G4	296	296	1	8	323	95	96	.	3.000000
31	9	Do5	C5	318	318	1	8	323	95	96	.	3.125000
32	9	Do5	C5	318	318	1	16	161	95	96	.	3.187500
33	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	3.250000
34	9	Re5	D5	327	327	1	16	161	95	96	.	3.312500
35	9	Do5	C5	318	318	1	16	161	95	96	.	3.375000
36	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	3.437500
37	11	La4	A4	305	305	1	16	161	95	96	.	3.500000
38	9	La4	A4	305	305	1	2	1290	95	96	.	4.000000
39	9	Sol5	G5	349	349	1	1	2581	100	96	Of 	5.000000
40	9	Sol5	G5	349	349	1	1	2581	95	96	.	6.000000
41	9	Es	Es	-1	-1	1	8	323	100	0		6.125000
42	9	Fa5#3	F5#4	343	344	1	16	161	95	96	O	6.187500
43	9	Sol5	G5	349	349	1	16	161	95	96	da	6.250000
44	9	Sol5	G5	349	349	1	16	161	95	96	sı	6.312500
45	9	Fa5#3	F5#4	343	344	1	16	161	99	96	na 	6.375000
46	9	Sol5	G5	349	349	1	16	161	99	96		6.437500
47	9	Fa5#3	F5#4	343	344	1	16	161	95	96		6.500000
48	9	Sol5	G5	349	349	1	16	161	99	96	gir	6.562500
49	9	Fa5#3	F5#4	343	344	1	16	161	95	96		6.625000
50	9	Sol5	G5	349	349	1	16	161	99	96	dim 	6.687500
51	9	Fa5#3	F5#4	343	344	1	16	161	95	96		6.750000
52	9	Sol5	G5	349	349	1	16	161	99	96	fin	6.812500
53	9	Fa5#3	F5#4	343	344	1	16	161	95	96		6.875000
54	9	Sol5	G5	349	349	1	16	161	99	96	can 	6.937500
55	9	Fa5#3	F5#4	343	344	1	16	161	95	96		7.000000
56	9	La5	A5	358	358	1	16	161	95	96	e	7.062500
57	9	La5	A5	358	358	1	16	161	99	96	lin	7.125000
58	9	Sol5	G5	349	349	1	16	161	99	96		7.187500
59	9	Fa5#3	F5#4	343	344	1	16	161	95	96		7.250000
60	9	Mi5	E5	336	336	3	16	484	99	96	de  	7.437500
61	9	Re5	D5	327	327	1	16	161	99	96		7.500000
62	9	Re5	D5	327	327	1	8	323	95	96		7.625000
63	9	Fa5#3	F5#4	343	344	1	16	161	95	96	O	7.687500
64	9	Sol5	G5	349	349	1	16	161	95	96	da	7.750000
65	9	Sol5	G5	349	349	1	16	161	95	96	sı	7.812500
66	9	Fa5#3	F5#4	343	344	1	16	161	99	96	na 	7.875000
67	9	Sol5	G5	349	349	1	16	161	99	96		7.937500
68	9	Fa5#3	F5#4	343	344	1	16	161	95	96		8.000000
69	9	Sol5	G5	349	349	1	16	161	99	96	gir	8.062500
70	9	Fa5#3	F5#4	343	344	1	16	161	95	96		8.125000
71	9	Sol5	G5	349	349	1	16	161	99	96	dim 	8.187500
72	9	Fa5#3	F5#4	343	344	1	16	161	95	96		8.250000
73	9	Sol5	G5	349	349	1	16	161	99	96	fin	8.312500
74	9	Fa5#3	F5#4	343	344	1	16	161	95	96		8.375000
75	9	Sol5	G5	349	349	1	16	161	99	96	can 	8.437500
76	9	Fa5#3	F5#4	343	344	1	16	161	95	96		8.500000
77	9	La5	A5	358	358	1	16	161	95	96	e	8.562500
78	9	La5	A5	358	358	1	16	161	99	96	lin	8.625000
79	9	Sol5	G5	349	349	1	16	161	99	96		8.687500
80	9	Fa5#3	F5#4	343	344	1	16	161	95	96		8.750000
81	9	Mi5	E5	336	336	1	4	645	95	96	de  	9.000000
82	9	Es	Es	-1	-1	1	8	323	100	0		9.125000
83	9	Fa5#3	F5#4	343	344	1	16	161	95	96	Sa	9.187500
84	9	Sol5	G5	349	349	1	16	161	95	96	a	9.250000
85	9	La5	A5	358	358	1	8	323	95	96	tin 	9.375000
86	9	La5	A5	358	358	1	8	323	95	96	kor	9.500000
87	9	La5	A5	358	358	1	16	161	95	96	do	9.562500
88	9	La5	A5	358	358	3	16	484	95	96	nu 	9.750000
89	9	Sol5	G5	349	349	1	16	161	99	96	in	9.812500
90	9	Fa5	F5	340	340	1	16	161	95	96		9.875000
91	9	Mi5	E5	336	336	1	16	161	99	96	ce 	9.937500
92	9	Re5	D5	327	327	1	16	161	95	96		10.000000
93	9	Re5	D5	327	327	1	16	161	95	96	be	10.062500
94	9	Do5	C5	318	318	1	16	161	99	96	lin	10.125000
95	9	Mi5	E5	336	336	1	16	161	99	96		10.187500
96	9	Re5	D5	327	327	1	16	161	95	96		10.250000
97	9	Mi5	E5	336	336	1	4	645	95	96	de  	10.500000
98	9	Do5	C5	318	318	1	16	161	95	96	be	10.562500
99	9	Mi5	E5	336	336	1	16	161	99	96	lin	10.625000
100	9	Mi5	E5	336	336	1	16	161	99	96		10.687500
101	11	Re5	D5	327	327	1	16	161	95	96		10.750000
102	9	Re5	D5	327	327	1	4	645	95	96	de  	11.000000
103	9	La4	A4	305	305	1	16	161	95	96	be	11.062500
104	9	Si4b2	B4b1	312	313	1	16	161	99	96	lin	11.125000
105	9	Do5	C5	318	318	1	16	161	99	96		11.187500
106	9	Si4b2	B4b1	312	313	1	16	161	95	96		11.250000
107	9	Re5	D5	327	327	1	16	161	99	96	de  	11.312500
108	9	Do5	C5	318	318	1	16	161	99	96		11.375000
109	9	Si4b2	B4b1	312	313	1	16	161	95	96		11.437500
110	9	La4	A4	305	305	1	16	161	95	96	a	11.500000
111	9	La4	A4	305	305	1	4	645	95	96	man  	11.750000
112	9	Si4b2	B4b1	312	313	1	16	161	95	96	a	11.812500
113	9	La4	A4	305	305	1	16	161	99	96	man  	11.875000
114	9	Sol4	G4	296	296	1	8	323	95	96		12.000000
115	9	Do5	C5	318	318	1	8	323	95	96	Kaş	12.125000
116	9	Do5	C5	318	318	1	16	161	99	96	la	12.187500
117	9	Si4b2	B4b1	312	313	1	16	161	95	96		12.250000
118	9	Re5	D5	327	327	1	16	161	99	96	rı 	12.312500
119	9	Do5	C5	318	318	1	16	161	95	96		12.375000
120	9	Si4b2	B4b1	312	313	1	16	161	99	96	ke	12.437500
121	11	La4	A4	305	305	1	16	161	99	96		12.500000
122	9	La4	A4	305	305	1	4	645	95	96		12.750000
123	9	Si4b2	B4b1	312	313	1	16	161	99	96	ke	12.812500
124	9	La4	A4	305	305	1	16	161	95	96		12.875000
125	9	Sol4	G4	296	296	1	8	323	95	96	man 	13.000000
126	9	Do5	C5	318	318	1	8	323	95	96	göz	13.125000
127	9	Do5	C5	318	318	1	16	161	99	96	le	13.187500
128	9	Si4b2	B4b1	312	313	1	16	161	95	96		13.250000
129	9	Re5	D5	327	327	1	16	161	99	96	ri 	13.312500
130	9	Do5	C5	318	318	1	16	161	95	96		13.375000
131	9	Si4b2	B4b1	312	313	1	16	161	99	96	ya	13.437500
132	11	La4	A4	305	305	1	16	161	95	96		13.500000
133	9	La4	A4	305	305	1	2	1290	95	96	man  	14.000000
134	9	Do5	C5	318	318	1	8	323	95	96	Kaş	14.125000
135	9	Do5	C5	318	318	1	16	161	99	96	la	14.187500
136	9	Si4b2	B4b1	312	313	1	16	161	95	96		14.250000
137	9	Re5	D5	327	327	1	16	161	99	96	rı 	14.312500
138	9	Do5	C5	318	318	1	16	161	95	96		14.375000
139	9	Si4b2	B4b1	312	313	1	16	161	99	96	ke	14.437500
140	11	La4	A4	305	305	1	16	161	99	96		14.500000
141	9	La4	A4	305	305	1	4	645	95	96		14.750000
142	9	Si4b2	B4b1	312	313	1	16	161	99	96	ke	14.812500
143	9	La4	A4	305	305	1	16	161	95	96		14.875000
144	9	Sol4	G4	296	296	1	8	323	95	96	man 	15.000000
145	9	Do5	C5	318	318	1	8	323	95	96	göz	15.125000
146	9	Do5	C5	318	318	1	16	161	99	96	le	15.187500
147	9	Si4b2	B4b1	312	313	1	16	161	95	96		15.250000
148	9	Re5	D5	327	327	1	16	161	99	96	ri 	15.312500
149	9	Do5	C5	318	318	1	16	161	95	96		15.375000
150	9	Si4b2	B4b1	312	313	1	16	161	99	96	ya	15.437500
151	11	La4	A4	305	305	1	16	161	95	96		15.500000
152	9	La4	A4	305	305	1	2	1290	95	96	man  	16.000000
153	9	Do5	C5	318	318	1	8	323	95	96	ARANAĞME	16.125000
154	9	Do5	C5	318	318	1	16	161	95	96	.	16.187500
155	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	16.250000
156	9	Re5	D5	327	327	1	16	161	95	96	.	16.312500
157	9	Do5	C5	318	318	1	16	161	95	96	.	16.375000
158	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	16.437500
159	11	La4	A4	305	305	1	16	161	95	96	.	16.500000
160	9	La4	A4	305	305	1	4	645	95	96	.	16.750000
161	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	16.812500
162	9	La4	A4	305	305	1	16	161	95	96	.	16.875000
163	9	Sol4	G4	296	296	1	8	323	95	96	.	17.000000
164	9	Do5	C5	318	318	1	8	323	95	96	.	17.125000
165	9	Do5	C5	318	318	1	16	161	95	96	.	17.187500
166	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	17.250000
167	9	Re5	D5	327	327	1	16	161	95	96	.	17.312500
168	9	Do5	C5	318	318	1	16	161	95	96	.	17.375000
169	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	17.437500
170	11	La4	A4	305	305	1	16	161	95	96	.	17.500000
171	9	La4	A4	305	305	1	2	1290	95	96	.	18.000000
172	9	Do5	C5	318	318	1	8	323	95	96	ARANAĞME	18.125000
173	9	Do5	C5	318	318	1	16	161	95	96	.	18.187500
174	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	18.250000
175	9	Re5	D5	327	327	1	16	161	95	96	.	18.312500
176	9	Do5	C5	318	318	1	16	161	95	96	.	18.375000
177	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	18.437500
178	11	La4	A4	305	305	1	16	161	95	96	.	18.500000
179	9	La4	A4	305	305	1	4	645	95	96	.	18.750000
180	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	18.812500
181	9	La4	A4	305	305	1	16	161	95	96	.	18.875000
182	9	Sol4	G4	296	296	1	8	323	95	96	.	19.000000
183	9	Do5	C5	318	318	1	8	323	95	96	.	19.125000
184	9	Do5	C5	318	318	1	16	161	95	96	.	19.187500
185	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	19.250000
186	9	Re5	D5	327	327	1	16	161	95	96	.	19.312500
187	9	Do5	C5	318	318	1	16	161	95	96	.	19.375000
188	9	Si4b2	B4b1	312	313	1	16	161	95	96	.	19.437500
189	11	La4	A4	305	305	1	16	161	95	96	.	19.500000
190	9	La4	A4	305	305	1	2	1290	95	96	.	20.000000
191	9	Sol5	G5	349	349	1	1	2581	100	96	Of 	21.000000
192	9	Sol5	G5	349	349	1	1	2581	95	96	.	22.000000
193	9	Es	Es	-1	-1	1	8	323	100	0		22.125000
194	9	Fa5#3	F5#4	343	344	1	16	161	95	96	O	22.187500
195	9	Sol5	G5	349	349	1	16	161	95	96	da	22.250000
196	9	Sol5	G5	349	349	1	16	161	95	96	sı	22.312500
197	9	Fa5#3	F5#4	343	344	1	16	161	99	96	na 	22.375000
198	9	Sol5	G5	349	349	1	16	161	99	96		22.437500
199	9	Fa5#3	F5#4	343	344	1	16	161	95	96		22.500000
200	9	Sol5	G5	349	349	1	16	161	99	96	gir	22.562500
201	9	Fa5#3	F5#4	343	344	1	16	161	95	96		22.625000
202	9	Sol5	G5	349	349	1	16	161	99	96	dim 	22.687500
203	9	Fa5#3	F5#4	343	344	1	16	161	95	96		22.750000
204	9	Sol5	G5	349	349	1	16	161	99	96	fin	22.812500
205	9	Fa5#3	F5#4	343	344	1	16	161	95	96		22.875000
206	9	Sol5	G5	349	349	1	16	161	99	96	can 	22.937500
207	9	Fa5#3	F5#4	343	344	1	16	161	95	96		23.000000
208	9	La5	A5	358	358	1	16	161	95	96	e	23.062500
209	9	La5	A5	358	358	1	16	161	99	96	lin	23.125000
210	9	Sol5	G5	349	349	1	16	161	99	96		23.187500
211	9	Fa5#3	F5#4	343	344	1	16	161	95	96		23.250000
212	9	Mi5	E5	336	336	3	16	484	99	96	de  	23.437500
213	9	Re5	D5	327	327	1	16	161	99	96		23.500000
214	9	Re5	D5	327	327	1	8	323	95	96		23.625000
215	9	Fa5#3	F5#4	343	344	1	16	161	95	96	O	23.687500
216	9	Sol5	G5	349	349	1	16	161	95	96	da	23.750000
217	9	Sol5	G5	349	349	1	16	161	95	96	sı	23.812500
218	9	Fa5#3	F5#4	343	344	1	16	161	99	96	na 	23.875000
219	9	Sol5	G5	349	349	1	16	161	99	96		23.937500
220	9	Fa5#3	F5#4	343	344	1	16	161	95	96		24.000000
221	9	Sol5	G5	349	349	1	16	161	99	96	gir	24.062500
222	9	Fa5#3	F5#4	343	344	1	16	161	95	96		24.125000
223	9	Sol5	G5	349	349	1	16	161	99	96	dim 	24.187500
