Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	3	8	1250	99	96	Sor	0.250000
2	9	Fa5#3	F5#4	343	344	1	8	417	95	96		0.333333
3	9	Sol5	G5	349	349	3	16	625	99	96	ma	0.458333
4	9	Fa5#3	F5#4	343	344	1	16	208	95	96		0.500000
5	9	Sol5	G5	349	349	1	8	417	99	96	dı 	0.583333
6	9	La5	A5	358	358	1	16	208	99	96		0.625000
7	9	Si5b2	B5b1	365	366	1	16	208	95	96		0.666667
8	9	La5	A5	358	358	1	8	417	99	96	hâl_	0.750000
9	9	Sol5	G5	349	349	1	8	417	99	96		0.833333
10	9	Fa5#3	F5#4	343	344	1	8	417	99	96		0.916667
11	9	Mi5	E5	336	336	1	8	417	99	96		1.000000
12	9	Re5	D5	327	327	1	4	833	95	96		1.166667
13	9	Fa5#3	F5#4	343	344	1	16	208	99	96	i 	1.208333
14	9	Sol5	G5	349	349	1	16	208	99	96		1.250000
15	9	Fa5#3	F5#4	343	344	1	8	417	95	96		1.333333
16	9	Sol5	G5	349	349	1	16	208	99	96	dil_	1.375000
17	9	La5	A5	358	358	1	16	208	99	96		1.416667
18	9	Sol5	G5	349	349	1	8	417	95	96		1.500000
19	9	La5	A5	358	358	1	4	833	95	96	i 	1.666667
20	9	La5	A5	358	358	1	8	417	99	96	gam 	1.750000
21	9	Do6	C6	371	371	1	8	417	99	96		1.833333
22	9	Si5b2	B5b1	365	366	3	16	625	99	96		1.958333
23	9	La5	A5	358	358	1	16	208	95	96		2.000000
24	9	La5	A5	358	358	3	16	625	99	96	hâ	2.125000
25	9	Sol5	G5	349	349	1	16	208	99	96		2.166667
26	9	Sol5	G5	349	349	3	16	625	99	96		2.291667
27	9	Fa5#3	F5#4	343	344	1	16	208	99	96		2.333333
28	9	Sol5	G5	349	349	3	16	625	99	96		2.458333
29	9	Fa5#3	F5#4	343	344	1	16	208	95	96		2.500000
30	9	Sol5	G5	349	349	1	8	417	99	96	re	2.583333
31	9	La5	A5	358	358	1	16	208	99	96		2.625000
32	9	Si5b2	B5b1	365	366	1	16	208	95	96		2.666667
33	9	La5	A5	358	358	1	8	417	99	96	yi  	2.750000
34	9	Sol5	G5	349	349	1	16	208	99	96		2.791667
35	9	Fa5#3	F5#4	343	344	1	16	208	99	96		2.833333
36	9	Mi5	E5	336	336	1	4	833	95	96		3.000000
37	9	Re5	D5	327	327	1	8	417	99	96	Şer	3.083333
38	9	Mi5	E5	336	336	3	8	1250	95	96		3.333333
39	9	Mi5	E5	336	336	1	8	417	99	96	hâ	3.416667
40	9	Fa5#4	F5#4	344	344	1	8	417	95	96		3.500000
41	9	Re5	D5	327	327	1	4	833	95	96	le	3.666667
42	9	Mi5	E5	336	336	1	8	417	99	96	di 	3.750000
43	9	Fa5#4	F5#4	344	344	1	8	417	99	96		3.833333
44	10	Sol5	G5	349	349	1	8	417	99	96		3.916667
45	8	La5	A5	358	358	0	0	0	99	96		3.916667
46	9	Sol5	G5	349	349	1	16	208	99	96		3.958333
47	9	Fa5	F5	340	340	1	16	208	99	96		4.000000
48	10	Mi5	E5	336	336	1	8	417	99	96		4.083333
49	8	Fa5	F5	340	340	0	0	0	99	96		4.083333
50	9	Mi5	E5	336	336	1	16	208	99	96		4.125000
51	9	Re5	D5	327	327	1	16	208	95	96		4.166667
52	9	Do5	C5	318	318	1	8	417	99	96	sî	4.250000
53	10	Re5	D5	327	327	1	8	417	99	96		4.333333
54	8	Mi5	E5	336	336	0	0	0	95	96		4.333333
55	9	Re5	D5	327	327	1	16	208	99	96	ne 	4.375000
56	9	Do5	C5	318	318	1	8	417	99	96		4.458333
57	9	Si4b2	B4b1	312	313	1	16	208	95	96		4.500000
58	9	Do5	C5	318	318	1	16	208	99	96	i 	4.541667
59	9	Si4b2	B4b1	312	313	1	16	208	99	96		4.583333
60	9	Si4b2	B4b1	312	313	1	16	208	99	96		4.625000
61	9	La4	A4	305	305	1	16	208	95	96		4.666667
62	9	La4	A4	305	305	3	8	1250	99	96	sad	4.916667
63	9	Sol4	G4	296	296	1	8	417	95	96		5.000000
64	9	Re5	D5	327	327	1	8	417	99	96	pâ 	5.083333
65	9	Mi5	E5	336	336	3	8	1250	99	96		5.333333
66	9	Mi5	E5	336	336	3	16	625	99	96		5.458333
67	9	Re5	D5	327	327	1	16	208	99	96		5.500000
68	10	Re5	D5	327	327	1	8	417	99	96		5.583333
69	8	Fa5	F5	340	340	0	0	0	99	96		5.583333
70	9	Mi5	E5	336	336	1	16	208	99	96		5.625000
71	9	Re5	D5	327	327	1	16	208	99	96		5.666667
72	9	Re5	D5	327	327	3	8	1250	99	96		5.916667
73	9	Do5	C5	318	318	1	8	417	95	96		6.000000
74	9	Mi5	E5	336	336	3	16	625	99	96	pâ	6.125000
75	9	Re5	D5	327	327	1	16	208	99	96		6.166667
76	9	Do5	C5	318	318	1	8	417	99	96		6.250000
77	10	Re5	D5	327	327	1	8	417	99	96		6.333333
78	8	Mi5	E5	336	336	0	0	0	99	96		6.333333
79	9	Re5	D5	327	327	1	16	208	99	96		6.375000
80	9	Do5	C5	318	318	1	8	417	99	96		6.458333
81	9	Si4b2	B4b1	312	313	1	16	208	95	96		6.500000
82	9	Do5	C5	318	318	1	16	208	99	96	re	6.541667
83	9	Si4b2	B4b1	312	313	1	16	208	99	96		6.583333
84	9	Si4b2	B4b1	312	313	1	16	208	99	96		6.625000
85	9	La4	A4	305	305	1	16	208	95	96		6.666667
86	9	La4	A4	305	305	3	8	1250	95	96	yi  	6.916667
87	9	Es	Es	-1	-1	1	8	417	100	0		7.000000
88	9	Re5	D5	327	327	1	8	417	99	96	pâ 	7.083333
89	9	Mi5	E5	336	336	3	8	1250	99	96		7.333333
90	9	Mi5	E5	336	336	3	16	625	99	96		7.458333
91	9	Re5	D5	327	327	1	16	208	99	96		7.500000
92	10	Re5	D5	327	327	1	8	417	99	96		7.583333
93	8	Fa5	F5	340	340	0	0	0	99	96		7.583333
94	9	Mi5	E5	336	336	1	16	208	99	96		7.625000
95	9	Re5	D5	327	327	1	16	208	99	96		7.666667
96	9	Re5	D5	327	327	3	8	1250	99	96		7.916667
97	9	Do5	C5	318	318	1	8	417	95	96		8.000000
98	9	Mi5	E5	336	336	3	16	625	99	96	pâ	8.125000
99	9	Re5	D5	327	327	1	16	208	99	96		8.166667
100	9	Do5	C5	318	318	1	8	417	99	96		8.250000
101	10	Re5	D5	327	327	1	8	417	99	96		8.333333
102	8	Mi5	E5	336	336	0	0	0	99	96		8.333333
103	9	Re5	D5	327	327	1	16	208	99	96		8.375000
104	9	Do5	C5	318	318	1	8	417	99	96		8.458333
105	9	Si4b2	B4b1	312	313	1	16	208	95	96		8.500000
106	9	Do5	C5	318	318	1	16	208	99	96	re	8.541667
107	9	Si4b2	B4b1	312	313	1	16	208	99	96		8.583333
108	9	Si4b2	B4b1	312	313	1	16	208	99	96		8.625000
109	9	La4	A4	305	305	1	16	208	95	96		8.666667
110	9	La4	A4	305	305	3	8	1250	95	96	yi  	8.916667
111	9	Es	Es	-1	-1	1	8	417	100	0		9.000000
112	9	Sol5	G5	349	349	1	2	1667	95	96	Ver	9.333333
113	9	Sol5	G5	349	349	1	8	417	99	96	me	9.416667
114	10	La5b4	A5b4	354	354	1	8	417	99	96		9.500000
