Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	6	4	0	100	0	Yürüksemâî II (6/4)	0.0
2	9	Fa5	F5	340	340	1	8	250	95	96	ARANAĞME	0.0833333333333
3	9	Sol5	G5	349	349	1	8	250	95	96	.	0.166666666667
4	9	La5	A5	358	358	1	2	1000	95	96	.	0.5
5	9	Re5	D5	327	327	1	8	250	95	96	.	0.583333333333
6	9	Mi5	E5	336	336	1	8	250	95	96	.	0.666666666667
7	9	Fa5	F5	340	340	1	2	1000	95	96	.	1.0
8	9	Si4b4	B4b4	310	310	1	8	250	95	96	.	1.08333333333
9	9	Do5#4	C5#4	322	322	1	8	250	95	96	.	1.16666666667
10	9	Re5	D5	327	327	1	2	1000	95	96	.	1.5
11	9	Mi5	E5	336	336	3	4	1500	95	96	.	2.0
12	9	Fa5	F5	340	340	1	8	250	95	96	.	2.08333333333
13	9	Mi5	E5	336	336	1	8	250	95	96	.	2.16666666667
14	9	Re5	D5	327	327	1	2	1000	95	96	.	2.5
15	9	Mi5	E5	336	336	1	8	250	95	96	.	2.58333333333
16	9	Re5	D5	327	327	1	8	250	95	96	.	2.66666666667
17	9	Do5#4	C5#4	322	322	1	2	1000	95	96	.	3.0
18	9	Re5	D5	327	327	1	8	250	95	96	.	3.08333333333
19	9	Do5#4	C5#4	322	322	1	8	250	95	96	.	3.16666666667
20	9	Si4b4	B4b4	310	310	1	4	500	95	96	.	3.33333333333
21	9	Do5#4	C5#4	322	322	1	8	250	95	96	.	3.41666666667
22	9	Si4b4	B4b4	310	310	1	8	250	95	96	.	3.5
23	9	La4	A4	305	305	1	8	250	95	96	.	3.58333333333
24	9	Si4b4	B4b4	310	310	1	8	250	95	96	.	3.66666666667
25	9	Do5#4	C5#4	322	322	1	8	250	95	96	.	3.75
26	9	Re5	D5	327	327	1	8	250	95	96	.	3.83333333333
27	9	Mi5	E5	336	336	1	4	500	95	96	.	4.0
28	9	Fa5	F5	340	340	1	8	250	95	96	.	4.08333333333
29	9	Mi5	E5	336	336	1	8	250	95	96	.	4.16666666667
30	9	Re5	D5	327	327	1	2	1000	95	96	.	4.5
31	9	Mi5	E5	336	336	1	8	250	95	96	.	4.58333333333
32	9	Re5	D5	327	327	1	8	250	95	96	.	4.66666666667
33	9	Do5#4	C5#4	322	322	1	2	1000	95	96	.	5.0
34	9	Re5	D5	327	327	1	8	250	95	96	.	5.08333333333
35	9	Do5#4	C5#4	322	322	1	8	250	95	96	.	5.16666666667
36	9	Si4b4	B4b4	310	310	1	4	500	95	96	.	5.33333333333
