Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	8	357	95	96	İ	0.125
2	9	La4	A4	305	305	1	4	714	95	96	çim	0.375
3	9	La4	A4	305	305	1	8	357	95	96	de 	0.5
4	9	Si4b4	B4b4	310	310	1	4	714	95	96	bir 	0.75
5	9	Do5#4	C5#4	322	322	1	4	714	95	96	dert	1.0
6	9	Re5	D5	327	327	1	8	357	95	96	li 	1.125
7	9	Do5#4	C5#4	322	322	1	8	357	99	96	bül	1.25
8	9	Si4b4	B4b4	310	310	1	8	357	99	96		1.375
9	9	La4	A4	305	305	1	8	357	95	96		1.5
10	9	La4	A4	305	305	1	2	1429	95	96	bül 	2.0
11	9	Sol4	G4	296	296	1	8	357	95	96	ö	2.125
12	9	Re5	D5	327	327	3	8	1071	95	96	ter 	2.5
13	9	Re5	D5	327	327	1	8	357	99	96	Yu	2.625
14	9	Do5#4	C5#4	322	322	1	8	357	95	96		2.75
15	9	Re5	D5	327	327	1	4	714	95	96	nus 	3.0
16	9	Fa5	F5	340	340	1	8	357	99	96	Yu	3.125
17	9	Mi5	E5	336	336	1	8	357	95	96		3.25
18	9	Re5	D5	327	327	1	4	714	95	96	nus 	3.5
19	9	Do5#4	C5#4	322	322	1	8	357	95	96	di	3.625
20	9	Re5	D5	327	327	3	8	1071	95	96	ye  	4.0
21	9	La4	A4	305	305	1	8	357	95	96	İ	4.125
22	9	La4	A4	305	305	1	4	714	95	96	çim	4.375
23	9	La4	A4	305	305	1	8	357	95	96	de 	4.5
24	9	Si4b4	B4b4	310	310	1	4	714	95	96	bir 	4.75
25	9	Do5#4	C5#4	322	322	1	4	714	95	96	dert	5.0
26	9	Re5	D5	327	327	1	8	357	95	96	li 	5.125
27	9	Do5#4	C5#4	322	322	1	8	357	99	96	bül	5.25
28	9	Si4b4	B4b4	310	310	1	8	357	99	96		5.375
29	9	La4	A4	305	305	1	8	357	95	96		5.5
30	9	La4	A4	305	305	1	2	1429	95	96	bül 	6.0
31	9	Sol4	G4	296	296	1	8	357	95	96	ö	6.125
32	9	Re5	D5	327	327	3	8	1071	95	96	ter 	6.5
33	9	Re5	D5	327	327	1	8	357	99	96	Yu	6.625
34	9	Do5#4	C5#4	322	322	1	8	357	95	96		6.75
35	9	Re5	D5	327	327	1	4	714	95	96	nus 	7.0
36	9	Fa5	F5	340	340	1	8	357	99	96	Yu	7.125
37	9	Mi5	E5	336	336	1	8	357	95	96		7.25
38	9	Re5	D5	327	327	1	4	714	95	96	nus 	7.5
