Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	1	2	1739	100	0		0.222222
2	9	Es	Es	-1	-1	1	8	435	100	0		0.277778
3	9	Do5#4	C5#4	322	322	1	4	870	95	96	Ha	0.388889
4	9	Re5	D5	327	327	1	8	435	95	96	li 	0.444444
5	9	Do5#4	C5#4	322	322	1	8	435	99	96	nez	0.500000
6	9	Si4b4	B4b4	310	310	1	8	435	99	96		0.555556
7	8	Do5#4	C5#4	322	322	0	0	0	99	96		0.555556
8	9	Si4b4	B4b4	310	310	1	8	435	99	96		0.611111
9	9	La4	A4	305	305	1	8	435	95	96		0.666667
10	9	La4	A4	305	305	3	4	2609	99	96	im	1.000000
11	9	La4	A4	305	305	1	8	435	99	96		1.055556
12	9	Si4b4	B4b4	310	310	1	16	217	99	96		1.083333
13	9	La4	A4	305	305	1	16	217	99	96		1.111111
14	9	Sol4	G4	296	296	1	16	217	99	96		1.138889
15	9	Fa4#4	F4#4	291	291	1	16	217	99	96		1.166667
16	9	Sol4	G4	296	296	1	8	435	99	96		1.222222
17	9	Sol4	G4	296	296	1	8	435	95	96		1.277778
18	9	Mi5	E5	336	336	1	8	435	99	96	de 	1.333333
19	9	Re5	D5	327	327	1	8	435	95	96		1.388889
20	9	Re5	D5	327	327	1	16	217	99	96	a	1.416667
21	9	Do5#4	C5#4	322	322	1	16	217	95	96		1.444444
22	9	Do5#4	C5#4	322	322	3	16	652	99	96	cır	1.527778
23	9	Si4b4	B4b4	310	310	1	16	217	99	96		1.555556
24	9	Do5#4	C5#4	322	322	1	16	217	99	96		1.583333
25	9	Si4b4	B4b4	310	310	1	16	217	99	96		1.611111
26	9	Si4b4	B4b4	310	310	1	16	217	99	96		1.638889
27	9	La4	A4	305	305	1	16	217	95	96		1.666667
28	9	La4	A4	305	305	1	2	1739	95	96	sın  	1.888889
29	9	Si4b4	B4b4	310	310	1	8	435	95	96	SAZ	1.944444
30	9	Do5#4	C5#4	322	322	1	8	435	95	96	.	2.000000
31	9	La4	A4	305	305	1	2	1739	95	96	.	2.222222
32	9	Es	Es	-1	-1	1	8	435	100	0		2.277778
33	9	Re5	D5	327	327	1	8	435	99	96	Sev	2.333333
34	9	Do5#4	C5#4	322	322	1	8	435	95	96		2.388889
35	9	Re5	D5	327	327	1	8	435	95	96	di	2.444444
36	9	Mi5	E5	336	336	1	2	1739	95	96	ğim 	2.666667
37	9	La4	A4	305	305	3	16	652	99	96	din	2.750000
38	9	Si4b4	B4b4	310	310	1	16	217	99	96		2.777778
39	9	Do5#4	C5#4	322	322	1	8	435	99	96		2.833333
40	9	Re5	D5	327	327	1	8	435	99	96		2.888889
41	9	Mi5	E5	336	336	1	8	435	99	96		2.944444
42	9	Fa5#4	F5#4	344	344	1	8	435	99	96		3.000000
43	9	Sol5	G5	349	349	1	8	435	99	96		3.055556
44	8	La5	A5	358	358	0	0	0	99	96		3.055556
45	9	Sol5	G5	349	349	1	8	435	99	96		3.111111
46	9	Fa5	F5	340	340	1	8	435	99	96		3.166667
47	9	Mi5	E5	336	336	1	8	435	99	96		3.222222
48	9	Re5	D5	327	327	1	8	435	95	96		3.277778
49	9	Fa5	F5	340	340	1	8	435	99	96	le 	3.333333
50	9	Mi5	E5	336	336	1	8	435	99	96		3.388889
51	9	Re5	D5	327	327	1	8	435	99	96		3.444444
52	9	Do5#4	C5#4	322	322	1	8	435	99	96		3.500000
53	9	Re5	D5	327	327	1	8	435	99	96		3.555556
54	9	Mi5	E5	336	336	1	8	435	99	96		3.611111
55	8	Fa5	F5	340	340	0	0	0	95	96		3.611111
56	9	Mi5	E5	336	336	1	16	217	99	96	be	3.638889
57	9	Re5	D5	327	327	1	16	217	95	96		3.666667
58	9	Re5	D5	327	327	3	8	1304	95	96	ni  	3.833333
59	9	Mi5	E5	336	336	1	16	217	95	96	SAZ	3.861111
60	9	Fa5	F5	340	340	1	16	217	95	96	.	3.888889
61	9	Mi5	E5	336	336	1	16	217	95	96	.	3.916667
62	9	Re5	D5	327	327	1	16	217	95	96	.	3.944444
63	9	Re5	D5	327	327	1	16	217	95	96	.	3.972222
64	9	Do5#4	C5#4	322	322	1	16	217	95	96	.	4.000000
65	9	Re5	D5	327	327	1	2	1739	95	96	.	4.222222
66	9	Es	Es	-1	-1	1	8	435	100	0		4.277778
67	9	Re5	D5	327	327	1	4	870	95	96	A 	4.388889
68	9	Fa5	F5	340	340	1	8	435	95	96	be	4.444445
69	9	Mi5	E5	336	336	3	16	652	99	96	nim 	4.527778
70	9	Re5	D5	327	327	1	16	217	99	96		4.555555
71	9	Do5	C5	318	318	1	4	870	95	96		4.666667
72	9	Re5	D5	327	327	1	8	435	99	96	rû	4.722222
73	9	Mi5	E5	336	336	1	8	435	99	96		4.777778
74	9	Fa5	F5	340	340	1	8	435	99	96		4.833333
75	9	Sol5	G5	349	349	1	8	435	99	96		4.888889
76	9	Fa5	F5	340	340	1	8	435	99	96		4.944445
77	9	Mi5	E5	336	336	1	8	435	99	96		5.000000
78	9	La5	A5	358	358	1	8	435	99	96		5.055555
79	9	Sol5	G5	349	349	1	8	435	99	96		5.111111
80	9	Fa5	F5	340	340	1	8	435	99	96		5.166667
81	9	Mi5	E5	336	336	1	8	435	99	96		5.222222
82	9	Re5	D5	327	327	1	8	435	95	96		5.277778
83	9	Re5	D5	327	327	1	4	870	95	96	hi 	5.388889
84	9	Re5	D5	327	327	1	8	435	95	96	re	5.444445
85	9	Do5#4	C5#4	322	322	1	8	435	99	96	va	5.500000
86	9	Re5	D5	327	327	1	8	435	99	96		5.555555
87	9	Mi5	E5	336	336	1	16	217	99	96		5.583333
88	9	Fa5	F5	340	340	1	16	217	99	96		5.611111
89	9	Mi5	E5	336	336	1	16	217	99	96		5.638889
90	9	Re5	D5	327	327	1	16	217	95	96		5.666667
91	9	Re5	D5	327	327	3	8	1304	95	96	nım  	5.833333
92	9	Do5#4	C5#4	322	322	1	8	435	95	96	SAZ	5.888889
93	9	Fa5	F5	340	340	1	8	435	95	96	.	5.944445
94	9	Mi5	E5	336	336	1	16	217	95	96	.	5.972222
95	9	Re5	D5	327	327	1	16	217	95	96	.	6.000000
96	9	Re5	D5	327	327	1	2	1739	95	96	.	6.222222
97	9	Es	Es	-1	-1	1	4	870	100	0	.	6.333333
98	9	Do5#4	C5#4	322	322	1	8	435	95	96	Se	6.388889
99	9	Re5	D5	327	327	1	8	435	95	96	ven 	6.444445
100	9	Do5#4	C5#4	322	322	1	8	435	99	96	öl	6.500000
101	9	Si4b4	B4b4	310	310	1	8	435	99	96		6.555555
102	8	Do5#4	C5#4	322	322	0	0	0	99	96		6.555555
103	9	Si4b4	B4b4	310	310	1	8	435	99	96		6.611111
104	9	La4	A4	305	305	1	8	435	95	96		6.666667
105	9	La4	A4	305	305	1	2	1739	99	96	sün 	6.888889
106	24	Si4b4	B4b4	310	310	1	4	870	95	96		7.000000
107	9	Si4b4	B4b4	310	310	1	8	435	95	96		7.055555
108	9	Do5#4	C5#4	322	322	1	4	870	99	96	mü 	7.166667
109	9	Si4b4	B4b4	310	310	1	16	217	99	96		7.194445
110	9	La4	A4	305	305	1	16	217	99	96		7.222222
111	9	La4	A4	305	305	1	8	435	99	96		7.277778
112	9	Si4b4	B4b4	310	310	1	4	870	95	96		7.388889
113	9	Sol4	G4	296	296	1	8	435	95	96	se	7.444445
114	9	La4	A4	305	305	1	2	1739	95	96	ni  	7.666667
115	9	Mi5	E5	336	336	1	8	435	95	96	SAZ	7.722222
116	9	Fa5	F5	340	340	1	16	217	95	96	.	7.750000
117	9	Sol5	G5	349	349	1	16	217	95	96	.	7.777778
118	9	Fa5	F5	340	340	1	16	217	95	96	.	7.805555
119	9	Mi5	E5	336	336	1	16	217	95	96	.	7.833333
120	9	Re5	D5	327	327	1	8	435	95	96	.	7.888889
121	9	Mi5	E5	336	336	1	8	435	95	96	.	7.944445
122	9	Do5#4	C5#4	322	322	1	8	435	95	96	.	8.000000
123	9	Re5	D5	327	327	1	2	1739	95	96	.	8.222222
124	9	Es	Es	-1	-1	1	8	435	100	0		8.277778
125	9	Re5	D5	327	327	1	4	870	95	96	A 	8.388889
126	9	Fa5	F5	340	340	1	8	435	95	96	be	8.444445
127	9	Mi5	E5	336	336	3	16	652	99	96	nim 	8.527778
128	9	Re5	D5	327	327	1	16	217	99	96		8.555555
129	9	Do5	C5	318	318	1	4	870	95	96		8.666667
130	9	Re5	D5	327	327	1	8	435	99	96	rû	8.722222
131	9	Mi5	E5	336	336	1	8	435	99	96		8.777778
132	9	Fa5	F5	340	340	1	8	435	99	96		8.833333
133	9	Sol5	G5	349	349	1	8	435	99	96		8.888889
134	9	Fa5	F5	340	340	1	8	435	99	96		8.944445
135	9	Mi5	E5	336	336	1	8	435	99	96		9.000000
136	9	La5	A5	358	358	1	8	435	99	96		9.055555
137	9	Sol5	G5	349	349	1	8	435	99	96		9.111111
138	9	Fa5	F5	340	340	1	8	435	99	96		9.166667
139	9	Mi5	E5	336	336	1	8	435	99	96		9.222222
140	9	Re5	D5	327	327	1	8	435	95	96		9.277778
141	9	Re5	D5	327	327	1	4	870	95	96	hi 	9.388889
142	9	Re5	D5	327	327	1	8	435	95	96	re	9.444445
143	9	Do5#4	C5#4	322	322	1	8	435	99	96	va	9.500000
144	9	Re5	D5	327	327	1	8	435	99	96		9.555555
145	9	Mi5	E5	336	336	1	16	217	99	96		9.583333
146	9	Fa5	F5	340	340	1	16	217	99	96		9.611111
147	9	Mi5	E5	336	336	1	16	217	99	96		9.638889
148	9	Re5	D5	327	327	1	16	217	95	96		9.666667
149	9	Re5	D5	327	327	3	8	1304	95	96	nım  	9.833333
150	9	Do5#4	C5#4	322	322	1	8	435	95	96	SAZ	9.888889
151	9	Fa5	F5	340	340	1	8	435	95	96	.	9.944445
152	9	Mi5	E5	336	336	1	16	217	95	96	.	9.972222
153	9	Re5	D5	327	327	1	16	217	95	96	.	10.000000
154	9	Re5	D5	327	327	1	2	1739	95	96	.	10.222220
155	9	Es	Es	-1	-1	1	4	870	100	0	.	10.333330
156	9	Do5#4	C5#4	322	322	1	8	435	95	96	Se	10.388890
157	9	Re5	D5	327	327	1	8	435	95	96	ven 	10.444440
158	9	Do5#4	C5#4	322	322	1	8	435	99	96	öl	10.500000
159	9	Si4b4	B4b4	310	310	1	8	435	99	96		10.555560
160	8	Do5#4	C5#4	322	322	0	0	0	99	96		10.555560
161	9	Si4b4	B4b4	310	310	1	8	435	99	96		10.611110
162	9	La4	A4	305	305	1	8	435	95	96		10.666670
163	9	La4	A4	305	305	1	2	1739	99	96	sün 	10.888890
164	24	Si4b4	B4b4	310	310	1	4	870	95	96		11.000000
165	9	Si4b4	B4b4	310	310	1	8	435	95	96		11.055560
166	9	Do5#4	C5#4	322	322	1	4	870	99	96	mü 	11.166670
167	9	Si4b4	B4b4	310	310	1	16	217	99	96		11.194440
168	9	La4	A4	305	305	1	16	217	99	96		11.222220
169	9	La4	A4	305	305	1	8	435	99	96		11.277780
170	9	Si4b4	B4b4	310	310	1	4	870	95	96		11.388890
171	9	Sol4	G4	296	296	1	8	435	95	96	se	11.444440
172	9	La4	A4	305	305	1	2	1739	95	96	ni  	11.666670
173	9	La5	A5	358	358	3	8	1304	95	96	SAZ	11.833330
174	9	Sol5	G5	349	349	1	8	435	95	96	.	11.888890
175	9	Fa5#4	F5#4	344	344	1	8	435	95	96	.	11.944440
176	9	Sol5	G5	349	349	1	8	435	95	96	.	12.000000
177	9	La5	A5	358	358	1	2	1739	95	96	.	12.222220
178	9	Es	Es	-1	-1	1	8	435	100	0		12.277780
179	9	Sol5	G5	349	349	1	4	870	95	96	Fir	12.388890
180	9	La5	A5	358	358	1	8	435	95	96	kat 	12.444440
181	9	La5	A5	358	358	1	2	1739	95	96	ol	12.666670
182	9	La5	A5	358	358	1	8	435	99	96	maz	12.722220
183	8	Si5	B5	367	367	0	0	0	99	96		12.722220
184	9	La5	A5	358	358	1	16	217	99	96		12.750000
185	9	Sol5	G5	349	349	1	16	217	99	96		12.777780
186	9	Sol5	G5	349	349	1	2	1739	99	96		13.000000
187	9	Sol5	G5	349	349	1	8	435	99	96		13.055560
188	8	La5	A5	358	358	0	0	0	99	96		13.055560
189	9	Sol5	G5	349	349	1	16	217	99	96		13.083330
190	9	Fa5#4	F5#4	344	344	1	16	217	99	96		13.111110
191	9	Fa5#4	F5#4	344	344	1	16	217	99	96		13.138890
192	9	Mi5#4	E5#4	340	340	1	16	217	99	96		13.166670
193	9	Fa5#4	F5#4	344	344	1	8	435	99	96		13.222220
194	9	Fa5#4	F5#4	344	344	1	8	435	95	96		13.277780
195	9	La5	A5	358	358	1	4	870	95	96	sa 	13.388890
196	9	Do6	C6	371	371	1	8	435	95	96	di	13.444440
197	9	Si5	B5	367	367	1	8	435	99	96	riğ 	13.500000
198	9	La5	A5	358	358	1	8	435	99	96		13.555560
199	9	Sol5	G5	349	349	1	8	435	99	96		13.611110
200	9	Fa5#4	F5#4	344	344	1	8	435	95	96		13.666670
201	9	Sol5	G5	349	349	1	8	435	99	96	ey	13.722220
202	9	Fa5#4	F5#4	344	344	1	16	217	99	96		13.750000
203	9	Mi5	E5	336	336	1	16	217	99	96		13.777780
204	9	Mi5	E5	336	336	1	4	870	99	96		13.888890
205	9	Fa5#4	F5#4	344	344	1	8	435	99	96		13.944440
206	9	Sol5	G5	349	349	1	8	435	99	96		14.000000
207	9	Mi5	E5	336	336	1	2	1739	99	96		14.222220
208	9	Mi5	E5	336	336	1	8	435	95	96		14.277780
209	9	Re5	D5	327	327	1	8	435	99	96	le	14.333330
210	9	Do5#4	C5#4	322	322	1	8	435	95	96		14.388890
211	9	Re5	D5	327	327	1	8	435	95	96	me	14.444440
