Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9			-1	-1	1	8	556	100	0	
2	9	La4	A4	305	305	1	4	1111	95	96	Bil
3	9	Do5#4	C5#4	322	322	1	8	556	95	96	mi
4	9	Si4b4	B4b4	310	310	1	8	556	99	96	yo
5	9	Do5#4	C5#4	322	322	1	8	556	95	96	
6	9	La4	A4	305	305	3	8	1667	95	96	rum 
7	9	La4	A4	305	305	1	8	556	95	96	ba
8	9	La4	A4	305	305	1	4	1111	99	96	na 
9	9	Do5#4	C5#4	322	322	1	8	556	95	96	
10	9	Si4b4	B4b4	310	310	1	8	556	99	96	n'ol
11	9	Do5#4	C5#4	322	322	1	8	556	95	96	
12	9	La4	A4	305	305	3	8	1667	95	96	du 
13	9	Re5	D5	327	327	1	8	556	95	96	ba
14	9	Re5	D5	327	327	3	8	1667	95	96	na 
15	9	Re5	D5	327	327	1	8	556	99	96	n'ol
16	8	Mi5	E5	336	336	1	128	35	99	96	
17	9	Re5	D5	327	327	1	16	278	99	96	
18	9	Do5#4	C5#4	322	322	1	16	278	95	96	
19	9	Re5	D5	327	327	3	8	1667	95	96	du 
20	9	Re5	D5	327	327	1	8	556	95	96	ba
21	9	La5	A5	358	358	1	4	1111	99	96	na 
22	9	Sol5	G5	349	349	1	16	278	99	96	
23	9	Fa5#4	F5#4	344	344	1	16	278	95	96	
24	9	Fa5#4	F5#4	344	344	3	32	417	99	96	n'ol
25	9	Mi5	E5	336	336	1	32	139	99	96	
26	9	Re5	D5	327	327	1	8	556	99	96	
27	9	Mi5	E5	336	336	1	16	278	99	96	
28	9	Fa5	F5	340	340	1	16	278	99	96	
29	9	Mi5	E5	336	336	1	16	278	99	96	
30	9	Fa5	F5	340	340	1	16	278	99	96	
31	9	Mi5	E5	336	336	1	16	278	99	96	
32	9	Re5	D5	327	327	1	16	278	95	96	
33	9	Re5	D5	327	327	3	8	1667	95	96	du  
34	9	Mi5	E5	336	336	1	16	278	95	96	SAZ 
35	9	Fa5	F5	340	340	1	16	278	95	96	.
36	9	Mi5	E5	336	336	1	16	278	95	96	.
37	9	Re5	D5	327	327	1	16	278	95	96	.
38	9	Do5#4	C5#4	322	322	1	16	278	95	96	.
39	9	Si4b4	B4b4	310	310	1	16	278	95	96	.
40	9	La4	A4	305	305	4	8	2223	95	96	.
41	9	La4	A4	305	305	1	4	1111	95	96	Bil
42	9	Do5#4	C5#4	322	322	1	8	556	95	96	mi
43	9	Si4b4	B4b4	310	310	1	8	556	99	96	yo
44	9	Do5#4	C5#4	322	322	1	8	556	95	96	
45	9	La4	A4	305	305	3	8	1667	95	96	rum 
46	9	La4	A4	305	305	1	8	556	95	96	ba
47	9	La4	A4	305	305	1	4	1111	99	96	na 
48	9	Do5#4	C5#4	322	322	1	8	556	95	96	
49	9	Si4b4	B4b4	310	310	1	8	556	99	96	n'ol
50	9	Do5#4	C5#4	322	322	1	8	556	95	96	
51	9	La4	A4	305	305	3	8	1667	95	96	du 
52	9	Re5	D5	327	327	1	8	556	95	96	ba
53	9	Re5	D5	327	327	3	8	1667	95	96	na 
54	9	Re5	D5	327	327	1	8	556	99	96	n'ol
55	8	Mi5	E5	336	336	1	128	35	99	96	
56	9	Re5	D5	327	327	1	16	278	99	96	
57	9	Do5#4	C5#4	322	322	1	16	278	95	96	
58	9	Re5	D5	327	327	3	8	1667	95	96	du 
59	9	Re5	D5	327	327	1	8	556	95	96	ba
60	9	La5	A5	358	358	1	4	1111	99	96	na 
61	9	Sol5	G5	349	349	1	16	278	99	96	
62	9	Fa5#4	F5#4	344	344	1	16	278	95	96	
63	9	Fa5#4	F5#4	344	344	3	32	417	99	96	n'ol
