Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	1	4	909	100	0		0.2
2	9	Sol4	G4	296	296	1	8	455	95	96	U	0.3
3	9	La4	A4	305	305	1	4	909	95	96	nu	0.5
4	9	La4	A4	305	305	1	4	909	95	96	tul	0.7
5	9	La5	A5	358	358	3	8	1364	101	96	muş 	1.0
6	9	Es	Es	-1	-1	1	4	909	100	0		1.2
7	9	Sol5	G5	349	349	1	8	455	95	96	de	1.3
8	9	Fa5	F5	340	340	1	8	455	99	96	ğil	1.4
9	9	Mi5	E5	336	336	1	8	455	95	96		1.5
10	9	Re5	D5	327	327	1	8	455	99	96	sin 	1.6
11	9	Do5#4	C5#4	322	322	1	16	227	99	96		1.65
12	9	Si4b4	B4b4	310	310	1	16	227	99	96		1.7
13	9	Do5#4	C5#4	322	322	3	8	1364	95	96		2.0
14	9	Es	Es	-1	-1	1	4	909	100	0		2.2
15	9	Re5	D5	327	327	1	8	455	95	96	a	2.3
16	9	Mi5	E5	336	336	1	4	909	95	96	dın 	2.5
17	9	Fa5	F5	340	340	1	4	909	95	96	sak	2.7
18	9	Mi5	E5	336	336	1	8	455	99	96	lı 	2.8
19	9	Re5	D5	327	327	1	8	455	99	96		2.9
20	9	Do5#4	C5#4	322	322	1	8	455	95	96		3.0
21	9	Re5	D5	327	327	3	16	682	99	96	kal	3.15
22	9	Do5#4	C5#4	322	322	1	16	227	99	96		3.2
23	9	Si4b4	B4b4	310	310	1	8	455	95	96		3.3
24	9	Si4b4	B4b4	310	310	1	8	455	99	96	bim	3.4
25	9	La4	A4	305	305	1	8	455	95	96		3.5
26	9	La4	A4	305	305	1	8	455	99	96	de 	3.6
27	9	Sol4	G4	296	296	1	8	455	99	96		3.7
28	9	La4	A4	305	305	3	8	1364	95	96		4.0
29	9	Es	Es	-1	-1	1	4	909	100	0		4.2
30	9	Fa5#4	F5#4	344	344	1	8	455	95	96	a	4.3
31	9	Sol5	G5	349	349	1	4	909	95	96	dın 	4.5
32	9	Sol5	G5	349	349	1	4	909	95	96	sak	4.7
33	9	Fa5	F5	340	340	1	8	455	99	96	lı 	4.8
34	9	Mi5	E5	336	336	1	8	455	99	96		4.9
35	9	Re5	D5	327	327	1	8	455	95	96		5.0
36	9	La5	A5	358	358	3	16	682	99	96	kal	5.15
37	9	Sol5	G5	349	349	1	16	227	99	96		5.2
38	9	Fa5	F5	340	340	1	8	455	95	96		5.3
39	9	Fa5	F5	340	340	1	8	455	99	96	bim	5.4
40	9	Mi5	E5	336	336	1	8	455	95	96		5.5
41	9	Re5	D5	327	327	1	8	455	99	96	de  	5.6
42	9	Do5#4	C5#4	322	322	1	8	455	99	96		5.7
43	9	Re5	D5	327	327	3	8	1364	95	96		6.0
44	9	Mi5	E5	336	336	1	8	455	95	96	SAZ	6.1
45	9	Sol5	G5	349	349	1	8	455	95	96	.	6.2
46	9	Fa5	F5	340	340	1	8	455	95	96	.	6.3
47	9	Mi5	E5	336	336	1	8	455	95	96	.	6.4
48	9	Re5	D5	327	327	1	8	455	95	96	.	6.5
49	9	Do5#4	C5#4	322	322	1	8	455	95	96	.	6.6
50	9	Si4b4	B4b4	310	310	1	16	227	95	96	.	6.65
51	9	La4	A4	305	305	1	16	227	95	96	.	6.7
52	9	La4	A4	305	305	3	8	1364	95	96	.	7.0
53	9	Es	Es	-1	-1	1	4	909	100	0		7.2
54	9	Sol4	G4	296	296	1	8	455	95	96	U	7.3
55	9	La4	A4	305	305	1	4	909	95	96	nu	7.5
56	9	La4	A4	305	305	1	4	909	95	96	tul	7.7
57	9	La5	A5	358	358	3	8	1364	101	96	muş 	8.0
58	9	Es	Es	-1	-1	1	4	909	100	0		8.2
59	9	Sol5	G5	349	349	1	8	455	95	96	de	8.3
60	9	Fa5	F5	340	340	1	8	455	99	96	ğil	8.4
61	9	Mi5	E5	336	336	1	8	455	95	96		8.5
62	9	Re5	D5	327	327	1	8	455	99	96	sin 	8.6
63	9	Do5#4	C5#4	322	322	1	16	227	99	96		8.65
64	9	Si4b4	B4b4	310	310	1	16	227	99	96		8.7
65	9	Do5#4	C5#4	322	322	3	8	1364	95	96		9.0
66	9	Es	Es	-1	-1	1	4	909	100	0		9.2
67	9	Re5	D5	327	327	1	8	455	95	96	a	9.3
68	9	Mi5	E5	336	336	1	4	909	95	96	dın 	9.5
69	9	Fa5	F5	340	340	1	4	909	95	96	sak	9.7
70	9	Mi5	E5	336	336	1	8	455	99	96	lı 	9.8
71	9	Re5	D5	327	327	1	8	455	99	96		9.9
72	9	Do5#4	C5#4	322	322	1	8	455	95	96		10.0
73	9	Re5	D5	327	327	3	16	682	99	96	kal	10.15
74	9	Do5#4	C5#4	322	322	1	16	227	99	96		10.2
75	9	Si4b4	B4b4	310	310	1	8	455	95	96		10.3
76	9	Si4b4	B4b4	310	310	1	8	455	99	96	bim	10.4
77	9	La4	A4	305	305	1	8	455	95	96		10.5
78	9	La4	A4	305	305	1	8	455	99	96	de 	10.6
79	9	Sol4	G4	296	296	1	8	455	99	96		10.7
80	9	La4	A4	305	305	3	8	1364	95	96		11.0
81	9	Es	Es	-1	-1	1	4	909	100	0		11.2
82	9	Fa5#4	F5#4	344	344	1	8	455	95	96	a	11.3
83	9	Sol5	G5	349	349	1	4	909	95	96	dın 	11.5
84	9	Sol5	G5	349	349	1	4	909	95	96	sak	11.7
85	9	Fa5	F5	340	340	1	8	455	99	96	lı 	11.8
86	9	Mi5	E5	336	336	1	8	455	99	96		11.9
87	9	Re5	D5	327	327	1	8	455	95	96		12.0
88	9	La5	A5	358	358	3	16	682	99	96	kal	12.15
89	9	Sol5	G5	349	349	1	16	227	99	96		12.2
90	9	Fa5	F5	340	340	1	8	455	95	96		12.3
91	9	Fa5	F5	340	340	1	8	455	99	96	bim	12.4
92	9	Mi5	E5	336	336	1	8	455	95	96		12.5
93	9	Re5	D5	327	327	1	8	455	99	96	de  	12.6
94	9	Do5#4	C5#4	322	322	1	8	455	99	96		12.7
95	9	Re5	D5	327	327	3	8	1364	95	96		13.0
96	9	Mi5	E5	336	336	1	8	455	95	96	SAZ	13.1
97	9	Sol5	G5	349	349	1	8	455	95	96	.	13.2
98	9	Fa5	F5	340	340	1	8	455	95	96	.	13.3
99	9	Mi5	E5	336	336	1	8	455	95	96	.	13.4
100	9	Re5	D5	327	327	1	8	455	95	96	.	13.5
101	9	Fa5	F5	340	340	1	16	227	95	96	.	13.55
102	9	Mi5	E5	336	336	1	16	227	95	96	.	13.6
103	9	Re5	D5	327	327	1	16	227	95	96	.	13.65
104	9	Do5#4	C5#4	322	322	1	16	227	95	96	.	13.7
