Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	8	370	95	96	ARANAĞME	0.125
2	9	Fa5	F5	340	340	1	4	741	95	96	.	0.375
3	9	Fa5	F5	340	340	1	8	370	95	96	.	0.5
4	9	Fa5	F5	340	340	1	8	370	95	96	.	0.625
5	9	Sol5	G5	349	349	1	8	370	95	96	.	0.75
6	9	Fa5	F5	340	340	1	8	370	95	96	.	0.875
7	9	Mi5	E5	336	336	1	8	370	95	96	.	1.0
8	9	Es	Es	-1	-1	1	8	370	100	0	.	1.125
9	9	Mi5	E5	336	336	1	4	741	95	96	.	1.375
10	9	Mi5	E5	336	336	1	8	370	95	96	.	1.5
11	9	Mi5	E5	336	336	1	8	370	95	96	.	1.625
12	9	Fa5	F5	340	340	1	8	370	95	96	.	1.75
13	9	Mi5	E5	336	336	1	8	370	95	96	.	1.875
14	9	Re5	D5	327	327	1	8	370	95	96	.	2.0
15	9	Es	Es	-1	-1	1	8	370	100	0	.	2.125
16	9	Re5	D5	327	327	1	4	741	95	96	.	2.375
17	9	Re5	D5	327	327	1	8	370	95	96	.	2.5
18	9	Re5	D5	327	327	1	8	370	95	96	.	2.625
19	9	Mi5	E5	336	336	1	8	370	95	96	.	2.75
20	9	Re5	D5	327	327	1	8	370	95	96	.	2.875
21	9	Do5#4	C5#4	322	322	1	8	370	95	96	.	3.0
22	9	Do5#4	C5#4	322	322	1	8	370	95	96	.	3.125
23	9	Re5	D5	327	327	1	8	370	95	96	.	3.25
24	9	Si4b4	B4b4	310	310	1	8	370	95	96	.	3.375
25	9	La4	A4	305	305	1	8	370	95	96	.	3.5
26	9	Re5	D5	327	327	1	4	741	95	96	.	3.75
27	9	Do5#4	C5#4	322	322	1	4	741	95	96	.	4.0
28	9	Es	Es	-1	-1	1	8	370	100	0	.	4.125
29	9	Re5	D5	327	327	1	4	741	95	96	.	4.375
30	9	Re5	D5	327	327	1	8	370	95	96	.	4.5
31	9	Re5	D5	327	327	1	8	370	95	96	.	4.625
32	9	Mi5	E5	336	336	1	8	370	95	96	.	4.75
33	9	Re5	D5	327	327	1	8	370	95	96	.	4.875
34	9	Do5#4	C5#4	322	322	1	8	370	95	96	.	5.0
35	9	Es	Es	-1	-1	1	8	370	100	0	.	5.125
36	9	Do5#4	C5#4	322	322	1	4	741	95	96	.	5.375
37	9	Do5#4	C5#4	322	322	1	8	370	95	96	.	5.5
38	9	Do5#4	C5#4	322	322	1	8	370	95	96	.	5.625
39	9	Re5	D5	327	327	1	8	370	95	96	.	5.75
40	9	Do5#4	C5#4	322	322	1	8	370	95	96	.	5.875
41	9	Si4b4	B4b4	310	310	1	8	370	95	96	.	6.0
42	9	Es	Es	-1	-1	1	8	370	100	0	.	6.125
43	9	Si4b4	B4b4	310	310	1	4	741	95	96	.	6.375
44	9	Si4b4	B4b4	310	310	1	8	370	95	96	.	6.5
45	9	Si4b4	B4b4	310	310	1	8	370	95	96	.	6.625
46	9	Do5#4	C5#4	322	322	1	8	370	95	96	.	6.75
47	9	Si4b4	B4b4	310	310	1	8	370	95	96	.	6.875
48	9	La4	A4	305	305	1	8	370	95	96	.	7.0
49	9	La4	A4	305	305	1	8	370	95	96	.	7.125
50	9	Si4b4	B4b4	310	310	1	8	370	95	96	.	7.25
51	9	Sol4	G4	296	296	1	8	370	95	96	.	7.375
52	9	Fa4#4	F4#4	291	291	1	8	370	95	96	.	7.5
53	9	Si4b4	B4b4	310	310	1	4	741	95	96	.	7.75
54	9	La4	A4	305	305	1	4	741	95	96	.	8.0
55	9	La4	A4	305	305	1	8	370	95	96	ARANAĞME	8.125
56	9	Fa5	F5	340	340	1	4	741	95	96	.	8.375
57	9	Fa5	F5	340	340	1	8	370	95	96	.	8.5
58	9	Fa5	F5	340	340	1	8	370	95	96	.	8.625
59	9	Sol5	G5	349	349	1	8	370	95	96	.	8.75
60	9	Fa5	F5	340	340	1	8	370	95	96	.	8.875
61	9	Mi5	E5	336	336	1	8	370	95	96	.	9.0
62	9	Es	Es	-1	-1	1	8	370	100	0	.	9.125
63	9	Mi5	E5	336	336	1	4	741	95	96	.	9.375
64	9	Mi5	E5	336	336	1	8	370	95	96	.	9.5
65	9	Mi5	E5	336	336	1	8	370	95	96	.	9.625
66	9	Fa5	F5	340	340	1	8	370	95	96	.	9.75
67	9	Mi5	E5	336	336	1	8	370	95	96	.	9.875
68	9	Re5	D5	327	327	1	8	370	95	96	.	10.0
69	9	Es	Es	-1	-1	1	8	370	100	0	.	10.125
70	9	Re5	D5	327	327	1	4	741	95	96	.	10.375
71	9	Re5	D5	327	327	1	8	370	95	96	.	10.5
72	9	Re5	D5	327	327	1	8	370	95	96	.	10.625
73	9	Mi5	E5	336	336	1	8	370	95	96	.	10.75
74	9	Re5	D5	327	327	1	8	370	95	96	.	10.875
75	9	Do5#4	C5#4	322	322	1	8	370	95	96	.	11.0
76	9	Do5#4	C5#4	322	322	1	8	370	95	96	.	11.125
77	9	Re5	D5	327	327	1	8	370	95	96	.	11.25
78	9	Si4b4	B4b4	310	310	1	8	370	95	96	.	11.375
79	9	La4	A4	305	305	1	8	370	95	96	.	11.5
80	9	Re5	D5	327	327	1	4	741	95	96	.	11.75
81	9	Do5#4	C5#4	322	322	1	4	741	95	96	.	12.0
82	9	Es	Es	-1	-1	1	8	370	100	0	.	12.125
83	9	Re5	D5	327	327	1	4	741	95	96	.	12.375
84	9	Re5	D5	327	327	1	8	370	95	96	.	12.5
85	9	Re5	D5	327	327	1	8	370	95	96	.	12.625
86	9	Mi5	E5	336	336	1	8	370	95	96	.	12.75
87	9	Re5	D5	327	327	1	8	370	95	96	.	12.875
88	9	Do5#4	C5#4	322	322	1	8	370	95	96	.	13.0
89	9	Es	Es	-1	-1	1	8	370	100	0	.	13.125
90	9	Do5#4	C5#4	322	322	1	4	741	95	96	.	13.375
91	9	Do5#4	C5#4	322	322	1	8	370	95	96	.	13.5
92	9	Do5#4	C5#4	322	322	1	8	370	95	96	.	13.625
93	9	Re5	D5	327	327	1	8	370	95	96	.	13.75
94	9	Do5#4	C5#4	322	322	1	8	370	95	96	.	13.875
95	9	Si4b4	B4b4	310	310	1	8	370	95	96	.	14.0
