Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	8	500	95	96	ARANAĞME	0.125000
2	9	Si4b4	B4b4	310	310	1	8	500	95	96	.	0.250000
3	9	La4	A4	305	305	1	8	500	95	96	.	0.375000
4	9	Sol4	G4	296	296	1	8	500	95	96	.	0.500000
5	9	La4	A4	305	305	1	8	500	95	84	.	0.625000
6	9	Si4b4	B4b4	310	310	1	8	500	95	84	.	0.750000
7	9	La4	A4	305	305	1	8	500	95	84	.	0.875000
8	9	Sol4	G4	296	296	1	8	500	95	84	.	1.000000
9	9	La4	A4	305	305	1	16	250	95	96	.	1.062500
10	9	Do5#4	C5#4	322	322	1	8	500	95	96	.	1.187500
11	9	Si4b4	B4b4	310	310	1	16	250	95	96	.	1.250000
12	9	La4	A4	305	305	1	8	500	95	96	.	1.375000
13	9	Sol4	G4	296	296	1	8	500	95	96	.	1.500000
14	9	La4	A4	305	305	1	16	250	95	84	.	1.562500
15	9	Do5#4	C5#4	322	322	1	8	500	95	84	.	1.687500
16	9	Si4b4	B4b4	310	310	1	16	250	95	84	.	1.750000
17	9	La4	A4	305	305	1	8	500	95	84	.	1.875000
18	9	Sol4	G4	296	296	1	8	500	95	84	.	2.000000
19	9	La4	A4	305	305	1	16	250	95	96	.	2.062500
20	9	Si4b4	B4b4	310	310	1	16	250	95	96	.	2.125000
21	9	Do5#4	C5#4	322	322	1	16	250	95	96	.	2.187500
22	9	Re5	D5	327	327	1	16	250	95	96	.	2.250000
23	9	Do5#4	C5#4	322	322	1	8	500	95	96	.	2.375000
24	9	Re5	D5	327	327	1	16	250	95	96	.	2.437500
25	9	Si4b4	B4b4	310	310	1	16	250	95	96	.	2.500000
26	9	La4	A4	305	305	1	2	2000	95	96	.	3.000000
27	9	La4	A4	305	305	1	8	500	95	96	ARANAĞME	3.125000
28	9	Si4b4	B4b4	310	310	1	8	500	95	96	.	3.250000
29	9	La4	A4	305	305	1	8	500	95	96	.	3.375000
30	9	Sol4	G4	296	296	1	8	500	95	96	.	3.500000
31	9	La4	A4	305	305	1	8	500	95	84	.	3.625000
32	9	Si4b4	B4b4	310	310	1	8	500	95	84	.	3.750000
33	9	La4	A4	305	305	1	8	500	95	84	.	3.875000
34	9	Sol4	G4	296	296	1	8	500	95	84	.	4.000000
35	9	La4	A4	305	305	1	16	250	95	96	.	4.062500
36	9	Do5#4	C5#4	322	322	1	8	500	95	96	.	4.187500
37	9	Si4b4	B4b4	310	310	1	16	250	95	96	.	4.250000
38	9	La4	A4	305	305	1	8	500	95	96	.	4.375000
39	9	Sol4	G4	296	296	1	8	500	95	96	.	4.500000
40	9	La4	A4	305	305	1	16	250	95	84	.	4.562500
41	9	Do5#4	C5#4	322	322	1	8	500	95	84	.	4.687500
42	9	Si4b4	B4b4	310	310	1	16	250	95	84	.	4.750000
43	9	La4	A4	305	305	1	8	500	95	84	.	4.875000
44	9	Sol4	G4	296	296	1	8	500	95	84	.	5.000000
45	9	La4	A4	305	305	1	16	250	95	96	.	5.062500
46	9	Si4b4	B4b4	310	310	1	16	250	95	96	.	5.125000
47	9	Do5#4	C5#4	322	322	1	16	250	95	96	.	5.187500
48	9	Re5	D5	327	327	1	16	250	95	96	.	5.250000
49	9	Do5#4	C5#4	322	322	1	8	500	95	96	.	5.375000
50	9	Re5	D5	327	327	1	16	250	95	96	.	5.437500
51	9	Si4b4	B4b4	310	310	1	16	250	95	96	.	5.500000
52	9	La4	A4	305	305	1	2	2000	95	96	.	6.000000
53	9	La4	A4	305	305	1	8	500	95	96	İs	6.125000
54	9	Si4b4	B4b4	310	310	1	8	500	95	96	tan	6.250000
55	9	La4	A4	305	305	1	8	500	95	96	bul	6.375000
