Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	1	4	455	95	120	ARANAĞME	0.333333
2	9	Fa5	F5	340	340	1	8	227	95	78	.	0.500000
3	9	Mi5	E5	336	336	1	8	227	95	84	.	0.666667
4	9	Fa5	F5	340	340	1	8	227	95	90	.	0.833333
5	9	Re5	D5	327	327	1	8	227	95	96	.	1.000000
6	9	Mi5	E5	336	336	1	8	227	95	102	.	1.166667
7	9	Fa5	F5	340	340	1	8	227	95	108	.	1.333333
8	9	Sol5	G5	349	349	1	2	909	95	114	.	2.000000
9	9	Mi5	E5	336	336	1	4	455	95	120	.	2.333333
10	9	Mi5	E5	336	336	1	8	227	95	96	.	2.500000
11	9	Re5	D5	327	327	1	8	227	95	96	.	2.666667
12	9	Mi5	E5	336	336	1	8	227	95	96	.	2.833333
13	9	Do5#4	C5#4	322	322	1	8	227	95	96	.	3.000000
14	9	Re5	D5	327	327	1	8	227	95	96	.	3.166667
15	9	Mi5	E5	336	336	1	8	227	95	96	.	3.333333
16	9	Fa5	F5	340	340	1	2	909	95	96	.	4.000000
17	9	Re5	D5	327	327	1	4	455	95	96	.	4.333333
18	9	Re5	D5	327	327	1	8	227	95	96	.	4.500000
19	9	Do5#4	C5#4	322	322	1	8	227	95	96	.	4.666667
20	9	Re5	D5	327	327	1	8	227	95	96	.	4.833333
21	9	Si4b4	B4b4	310	310	1	8	227	95	96	.	5.000000
22	9	Do5#4	C5#4	322	322	1	8	227	95	96	.	5.166667
23	9	Re5	D5	327	327	1	8	227	95	96	.	5.333333
24	9	Mi5	E5	336	336	1	4	455	95	96	.	5.666667
25	9	Re5	D5	327	327	1	8	227	95	96	.	5.833333
26	9	Mi5	E5	336	336	1	8	227	95	96	.	6.000000
27	9	Do5#4	C5#4	322	322	1	8	227	95	96	.	6.166667
28	9	Re5	D5	327	327	1	8	227	95	78	.	6.333333
29	9	Do5#4	C5#4	322	322	1	8	227	95	78	.	6.500000
30	9	Si4b4	B4b4	310	310	1	8	227	95	78	.	6.666667
31	9	Si4b4	B4b4	310	310	1	8	227	95	78	.	6.833333
32	9	La4	A4	305	305	1	8	227	95	78	.	7.000000
33	9	La4	A4	305	305	1	8	227	95	84	.	7.166667
34	9	Si4b4	B4b4	310	310	1	8	227	95	90	.	7.333333
35	9	Do5#4	C5#4	322	322	1	8	227	95	96	.	7.500000
36	9	Re5	D5	327	327	1	8	227	95	102	.	7.666667
37	9	Mi5	E5	336	336	1	8	227	95	108	.	7.833333
38	9	Sol5	G5	349	349	1	8	227	95	114	.	8.000000
39	9	Fa5	F5	340	340	1	4	455	95	120	ARANAĞME	8.333333
40	9	Fa5	F5	340	340	1	8	227	95	78	.	8.500000
41	9	Mi5	E5	336	336	1	8	227	95	84	.	8.666667
42	9	Fa5	F5	340	340	1	8	227	95	90	.	8.833333
43	9	Re5	D5	327	327	1	8	227	95	96	.	9.000000
44	9	Mi5	E5	336	336	1	8	227	95	102	.	9.166667
45	9	Fa5	F5	340	340	1	8	227	95	108	.	9.333333
46	9	Sol5	G5	349	349	1	2	909	95	114	.	10.000000
47	9	Mi5	E5	336	336	1	4	455	95	120	.	10.333330
48	9	Mi5	E5	336	336	1	8	227	95	96	.	10.500000
49	9	Re5	D5	327	327	1	8	227	95	96	.	10.666670
50	9	Mi5	E5	336	336	1	8	227	95	96	.	10.833330
51	9	Do5#4	C5#4	322	322	1	8	227	95	96	.	11.000000
52	9	Re5	D5	327	327	1	8	227	95	96	.	11.166670
53	9	Mi5	E5	336	336	1	8	227	95	96	.	11.333330
54	9	Fa5	F5	340	340	1	2	909	95	96	.	12.000000
55	9	Re5	D5	327	327	1	4	455	95	96	.	12.333330
56	9	Re5	D5	327	327	1	8	227	95	96	.	12.500000
57	9	Do5#4	C5#4	322	322	1	8	227	95	96	.	12.666670
58	9	Re5	D5	327	327	1	8	227	95	96	.	12.833330
59	9	Si4b4	B4b4	310	310	1	8	227	95	96	.	13.000000
60	9	Do5#4	C5#4	322	322	1	8	227	95	96	.	13.166670
61	9	Re5	D5	327	327	1	8	227	95	96	.	13.333330
62	9	Mi5	E5	336	336	1	4	455	95	96	.	13.666670
63	9	Re5	D5	327	327	1	8	227	95	96	.	13.833330
64	9	Mi5	E5	336	336	1	8	227	95	96	.	14.000000
65	9	Do5#4	C5#4	322	322	1	8	227	95	96	.	14.166670
66	9	Re5	D5	327	327	1	8	227	95	96	.	14.333330
67	9	Do5#4	C5#4	322	322	1	8	227	95	78	.	14.500000
68	9	Si4b4	B4b4	310	310	1	8	227	95	88	.	14.666670
69	9	Si4b4	B4b4	310	310	1	8	227	95	99	.	14.833330
70	9	La4	A4	305	305	1	8	227	95	110	.	15.000000
71	9	La4	A4	305	305	3	16	341	95	120	.	15.250000
72	9	Si4b4	B4b4	310	310	1	16	114	95	96	.	15.333330
73	9	Do5#4	C5#4	322	322	1	8	227	95	96	.	15.500000
74	9	Re5	D5	327	327	1	8	227	95	96	.	15.666670
75	9	Mi5	E5	336	336	1	4	455	95	96	.	16.000000
76	9	Mi5	E5	336	336	1	2	909	95	84	Değ	16.666670
77	9	Mi5	E5	336	336	1	4	455	95	84	di 	17.000000
78	9	Mi5	E5	336	336	3	4	1364	95	84	saç	18.000000
79	9	Fa5	F5	340	340	1	8	227	99	84	la	18.166670
80	9	Mi5	E5	336	336	1	8	227	99	84		18.333330
81	9	Fa5	F5	340	340	1	4	455	95	84		18.666670
82	9	Re5	D5	327	327	1	4	455	95	84	rı	19.000000
83	9	Do5#4	C5#4	322	322	3	4	1364	95	84	ma 	20.000000
84	9	Re5	D5	327	327	1	4	455	95	96	ba	20.333330
85	9	Mi5	E5	336	336	1	4	455	99	96	har 	20.666670
86	9	Fa5	F5	340	340	1	4	455	95	96		21.000000
87	9	La5	A5	358	358	1	4	455	95	96	gül	21.333330
88	9	Sol5#4	G5#4	353	353	1	8	227	99	96	le	21.500000
89	9	Fa5	F5	340	340	1	8	227	99	96		21.666670
90	9	Mi5	E5	336	336	1	8	227	99	96		21.833330
91	9	Re5	D5	327	327	1	8	227	95	96		22.000000
92	9	Mi5	E5	336	336	3	4	1364	95	96	ri  	23.000000
93	9	Do5#4	C5#4	322	322	1	8	227	95	96	SAZ	23.166670
94	9	Re5	D5	327	327	1	8	227	95	96	.	23.333330
95	9	Mi5	E5	336	336	1	8	227	95	96	.	23.500000
96	9	Do5#4	C5#4	322	322	1	8	227	95	96	.	23.666670
97	9	Si4b4	B4b4	310	310	1	8	227	95	96	.	23.833330
98	9	La4	A4	305	305	1	8	227	95	96	.	24.000000
99	9	Mi5	E5	336	336	1	2	909	95	84	Nâ	24.666670
100	9	Mi5	E5	336	336	1	4	455	95	84	zen	25.000000
101	9	Mi5	E5	336	336	3	4	1364	95	84	de 	26.000000
102	9	Fa5	F5	340	340	3	16	341	99	96	sev	26.250000
103	9	Mi5	E5	336	336	1	16	114	99	96		26.333330
104	9	Fa5	F5	340	340	1	4	455	95	78		26.666670
105	9	Re5	D5	327	327	1	4	455	95	78	gi	27.000000
106	9	Do5#4	C5#4	322	322	3	4	1364	95	78	lim 	28.000000
107	9	Re5	D5	327	327	1	4	455	99	78	yâ	28.333330
108	9	Mi5	E5	336	336	1	4	455	95	88		28.666670
109	9	Fa5	F5	340	340	1	4	455	95	99	dı	29.000000
