Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9			-1	-1	1	8	417	100	0	
2	9	Do5#3	C5#4	321	322	1	16	208	95	96	ARANAÐME
3	9	Re5	D5	327	327	1	16	208	95	96	.
4	12	Mi5	E5	336	336	1	8	417	95	96	.
5	9	Re5	D5	327	327	1	16	208	95	96	.
6	9	Do5#3	C5#4	321	322	3	16	625	95	96	.
7	9	Si4b4	B4b4	310	310	1	16	208	95	96	.
8	9	Do5#3	C5#4	321	322	1	16	208	95	96	.
9	12	Re5	D5	327	327	1	8	417	95	96	.
10	9	Do5#3	C5#4	321	322	1	16	208	95	96	.
11	9	Si4b4	B4b4	310	310	1	16	208	95	96	.
12	9	La4	A4	305	305	1	16	208	95	96	.
13	9	Sol4	G4	296	296	1	16	208	95	96	.
14	9	La4	A4	305	305	1	16	208	95	96	.
15	9	Si4b4	B4b4	310	310	1	16	208	95	96	.
16	9	Do5#3	C5#4	321	322	1	16	208	95	96	.
17	10	Re5	D5	327	327	7	128	182	95	96	.
18	8	Mi5	E5	336	336	1	128	26	95	96	.
19	9	Re5	D5	327	327	1	16	208	95	96	.
20	9	Do5#3	C5#4	321	322	1	16	208	95	96	.
21	9	Do5#3	C5#4	321	322	1	16	208	95	96	.
22	9	Si4b4	B4b4	310	310	1	16	208	95	96	.
23	9	La4	A4	305	305	1	16	208	95	96	.
24	9	Si4b4	B4b4	310	310	1	16	208	95	96	.
25	12	Do5#3	C5#4	321	322	1	8	417	95	96	.
26	9	Si4b4	B4b4	310	310	1	16	208	95	96	.
27	9	La4	A4	305	305	3	16	625	95	96	.
28	9	Do5#3	C5#4	321	322	1	16	208	95	96	.
29	9	Re5	D5	327	327	1	16	208	95	96	.
30	12	Mi5	E5	336	336	1	8	417	95	96	.
31	9	Re5	D5	327	327	1	16	208	95	96	.
32	9	Do5#3	C5#4	321	322	3	16	625	95	96	.
33	9	Si4b4	B4b4	310	310	1	16	208	95	96	.
34	9	Do5#3	C5#4	321	322	1	16	208	95	96	.
35	12	Re5	D5	327	327	1	8	417	95	96	.
36	9	Do5#3	C5#4	321	322	1	16	208	95	96	.
37	9	Si4b4	B4b4	310	310	1	16	208	95	96	.
38	9	La4	A4	305	305	1	16	208	95	96	.
39	9	Sol4	G4	296	296	1	16	208	95	96	.
40	9	La4	A4	305	305	1	16	208	95	96	.
41	9	Si4b4	B4b4	310	310	1	16	208	95	96	.
42	9	Do5#3	C5#4	321	322	1	16	208	95	96	.
43	9	Re5	D5	327	327	1	16	208	95	96	.
44	8	Mi5	E5	336	336	1	128	26	95	96	.
45	9	Re5	D5	327	327	1	16	208	95	96	.
46	9	Do5#3	C5#4	321	322	1	16	208	95	96	.
47	9	Do5#3	C5#4	321	322	1	16	208	95	96	.
48	9	Si4b4	B4b4	310	310	1	16	208	95	96	.
49	9	Si4b4	B4b4	310	310	1	16	208	95	96	.
50	11	La4	A4	305	305	1	16	208	95	96	.
51	9	La4	A4	305	305	3	8	1250	95	96	.
52	9	Do5#3	C5#4	321	322	1	16	208	95	96	ARANAÐME
53	9	Re5	D5	327	327	1	16	208	95	96	.
54	12	Mi5	E5	336	336	1	8	417	95	96	.
55	9	Re5	D5	327	327	1	16	208	95	96	.
56	9	Do5#3	C5#4	321	322	3	16	625	95	96	.
