Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	La4	A4	305	305	1	2	1739	95	96	Ah 
2	9	La4	A4	305	305	3	16	652	99	96	ol
3	9	Sol4	G4	296	296	1	16	217	99	96	
4	9	Fa4#3	F4#4	290	291	1	8	435	99	96	
5	9	Sol4	G4	296	296	1	8	435	99	96	
6	9	La4	A4	305	305	1	8	435	99	96	
7	9	Si4b4	B4b4	310	310	1	8	435	99	96	
8	9	La4	A4	305	305	1	8	435	99	96	
9	9	Do5#4	C5#4	322	322	1	8	435	95	96	
10	9	Do5#4	C5#4	322	322	1	16	217	99	96	ma
11	9	Si4b4	B4b4	310	310	1	16	217	99	96	
12	9	Si4b4	B4b4	310	310	1	16	217	99	96	
13	9	La4	A4	305	305	1	16	217	99	96	
14	9	Si4b4	B4b4	310	310	1	8	435	99	96	
15	9	La4	A4	305	305	1	8	435	99	96	
16	9	La4	A4	305	305	1	8	435	95	96	
17	9	Re5	D5	327	327	1	4	870	99	96	da 
18	9	Do5#4	C5#4	322	322	1	8	435	99	96	
19	9	Si4b4	B4b4	310	310	1	8	435	99	96	
20	9	La4	A4	305	305	1	8	435	99	96	
21	9	Si4b4	B4b4	310	310	1	8	435	99	96	
22	9	Re5	D5	327	327	1	8	435	95	96	
23	9	Do5#4	C5#4	322	322	3	16	652	99	96	dil
24	9	Si4b4	B4b4	310	310	1	16	217	99	96	
25	9	Do5#4	C5#4	322	322	1	16	217	99	96	
26	9	Si4b4	B4b4	310	310	1	16	217	99	96	
27	9	Si4b4	B4b4	310	310	1	16	217	99	96	
28	9	La4	A4	305	305	1	16	217	99	96	
29	9	La4	A4	305	305	2	2	3478	95	96	
30	9	Do5#4	C5#4	322	322	4	16	870	99	96	ler 
31	9	Re5	D5	327	327	1	4	870	99	96	
32	9	Re5	D5	327	327	1	8	435	99	96	
33	9	Mi5	E5	336	336	1	8	435	99	96	
34	9	Re5	D5	327	327	1	8	435	99	96	
35	9	Do5#4	C5#4	322	322	1	8	435	99	96	
36	9	Do5#4	C5#4	322	322	1	8	435	99	96	
37	9	Re5	D5	327	327	1	16	217	99	96	
38	9	Mi5	E5	336	336	1	16	217	99	96	
39	9	Re5	D5	327	327	1	8	435	95	96	
40	9	Mi5	E5	336	336	1	8	435	95	96	ru
41	9	Fa5	F5	340	340	3	8	1304	99	96	bû
42	9	Mi5	E5	336	336	1	8	435	99	96	
43	9	Re5	D5	327	327	3	16	652	99	96	
44	9	Do5#4	C5#4	322	322	1	16	217	99	96	
45	9	Si4b4	B4b4	310	310	1	8	435	99	96	
46	9	Re5	D5	327	327	1	8	435	95	96	
47	9	Do5#4	C5#4	322	322	1	4	870	99	96	de 
48	9	Re5	D5	327	327	1	4	870	99	96	
49	9	Do5#4	C5#4	322	322	1	8	435	99	96	
50	9	Re5	D5	327	327	1	8	435	99	96	
51	10	Mi5	E5	336	336	7	64	380	99	96	
52	8	Fa5	F5	340	340	1	64	54	99	96	
53	9	Mi5	E5	336	336	1	16	217	99	96	
54	9	Re5	D5	327	327	1	16	217	99	96	
55	9	Re5	D5	327	327	4	8	1739	95	96	
56	9	Sol4	G4	296	296	1	4	870	99	96	ah 
57	9	La4	A4	305	305	1	4	870	99	96	
58	9	La4	A4	305	305	3	16	652	99	96	
59	9	Sol4	G4	296	296	1	16	217	99	96	
60	9	Fa4#3	F4#4	290	291	3	8	1305	95	96	
61	9	Sol4	G4	296	296	1	16	217	99	96	gam
62	9	La4	A4	305	305	1	16	217	99	96	
63	9	Sol4	G4	296	296	1	8	435	95	96	
64	9	La4	A4	305	305	1	8	435	95	96	ze 
65	9	Si4b4	B4b4	310	310	3	16	652	99	96	i 
66	9	La4	A4	305	305	1	16	217	99	96	
67	9	Si4b4	B4b4	310	310	1	8	435	99	96	
68	9	Do5#4	C5#4	322	322	1	8	435	99	96	
69	9	Si4b4	B4b4	310	310	1	4	870	99	96	
70	9	Do5#4	C5#4	322	322	2	4	1740	95	96	
71	9	La4	A4	305	305	1	8	435	99	96	câ
72	9	Si4b4	B4b4	310	310	1	8	435	99	96	
73	9	Do5#4	C5#4	322	322	1	4	870	99	96	
74	9	Re5	D5	327	327	1	4	870	99	96	
75	9	Re5	D5	327	327	3	8	1304	99	96	
76	9	Do5#4	C5#4	322	322	1	8	435	95	96	
77	9	Do5#4	C5#4	322	322	1	8	435	99	96	du
78	9	Sol5	G5	349	349	1	8	435	99	96	
79	9	Fa5	F5	340	340	1	8	435	99	96	
80	9	Mi5	E5	336	336	1	8	435	99	96	
81	9	Re5	D5	327	327	1	8	435	99	96	
82	9	Do5#4	C5#4	322	322	1	8	435	99	96	
83	9	Si4b4	B4b4	310	310	1	8	435	99	96	
84	9	La4	A4	305	305	1	8	435	99	96	
85	9	La4	A4	305	305	1	8	435	99	96	
86	9	Mi5	E5	336	336	1	8	435	99	96	
87	9	Re5	D5	327	327	1	8	435	95	96	
88	9	Do5#4	C5#4	322	322	1	8	435	95	96	su
89	9	Do5#4	C5#4	322	322	3	16	652	99	96	na 
90	9	Si4b4	B4b4	310	310	1	16	217	99	96	
91	9	La4	A4	305	305	1	8	435	99	96	
92	9	Do5#4	C5#4	322	322	1	8	435	99	96	
93	9	Si4b4	B4b4	310	310	1	8	435	99	96	
94	9	La4	A4	305	305	1	8	435	95	96	
95	9	Mi5	E5	336	336	1	8	435	99	96	a
96	9	Fa5	F5	340	340	1	8	435	95	96	
97	9	Mi5	E5	336	336	1	12	290	99	96	man  
98	9	Re5	D5	327	327	1	12	290	99	96	
99	9	Mi5	E5	336	336	1	12	290	99	96	
100	9	Re5	D5	327	327	1	12	290	99	96	
101	9	Do5#4	C5#4	322	322	1	12	290	99	96	
102	9	Re5	D5	327	327	1	12	290	99	96	
103	9	Do5#4	C5#4	322	322	1	12	290	99	96	
104	9	Si4b4	B4b4	310	310	1	12	290	99	96	
105	9	Do5#4	C5#4	322	322	1	12	290	99	96	
106	9	Si4b4	B4b4	310	310	1	8	435	99	96	
107	9	La4	A4	305	305	1	8	435	95	96	
108	9	La4	A4	305	305	1	2	1739	99	96	Ah 
109	9	La4	A4	305	305	3	16	652	99	96	
110	9	Sol4	G4	296	296	1	16	217	95	96	
111	9	Fa4#3	F4#4	290	291	1	8	435	95	96	be 
112	9	Sol4	G4	296	296	1	8	435	95	96	li 
113	9	La4	A4	305	305	1	8	435	99	96	be 
114	9	Sol4	G4	296	296	1	16	217	99	96	
115	9	Fa4#3	F4#4	290	291	1	16	217	99	96	
116	9	Do5#4	C5#4	322	322	1	8	435	99	96	
117	9	Si4b4	B4b4	310	310	1	16	217	99	96	
118	9	La4	A4	305	305	1	16	217	95	96	
119	9	La4	A4	305	305	5	8	2174	95	96	li 
120	9	La4	A4	305	305	1	4	870	99	96	tir 
121	9	Sol4	G4	296	296	1	8	435	99	96	
122	9	Sol4	G4	296	296	1	8	435	95	96	
123	9	La4	A4	305	305	1	4	870	95	96	ye 
124	9	Si4b4	B4b4	310	310	1	8	435	95	96	le 
125	9	Re5	D5	327	327	3	8	1304	99	96	lel 
126	9	Do5#4	C5#4	322	322	1	8	435	99	96	
127	9	Si4b4	B4b4	310	310	3	16	652	99	96	
128	9	La4	A4	305	305	1	16	217	99	96	
129	9	Sol4	G4	296	296	1	8	435	99	96	
130	9	Fa4#3	F4#4	290	291	1	8	435	95	96	
131	10	Sol4	G4	296	296	7	64	380	99	96	li 
132	8	La4	A4	305	305	1	64	54	99	96	
133	9	Sol4	G4	296	296	1	16	217	99	96	
134	9	Fa4#3	F4#4	290	291	1	16	217	99	96	
135	9	Sol4	G4	296	296	1	8	435	99	96	
136	9	La4	A4	305	305	1	8	435	99	96	
137	9	Sol4	G4	296	296	1	4	870	95	96	
138	9	Fa4#3	F4#4	290	291	1	8	435	95	96	câ
139	9	Sol4	G4	296	296	1	8	435	95	96	ným 
140	9	La4	A4	305	305	3	8	1304	99	96	yâ 
141	9	Do5#4	C5#4	322	322	1	8	435	99	96	
142	9	Si4b4	B4b4	310	310	1	4	870	95	96	
143	9	La4	A4	305	305	3	8	1305	95	96	lâ 
144	9	Re5	D5	327	327	1	4	870	95	96	yel 
145	9	Do5#4	C5#4	322	322	1	8	435	95	96	le 
146	9	Si4b4	B4b4	310	310	1	8	435	99	96	lel 
147	9	La4	A4	305	305	1	8	435	99	96	
148	9	Si4b4	B4b4	310	310	1	8	435	95	96	
149	9	Re5	D5	327	327	1	8	435	95	96	li 
150	9	Do5#4	C5#4	322	322	3	16	652	99	96	vay  
151	9	Si4b4	B4b4	310	310	1	16	217	99	96	
152	10	Si4b4	B4b4	310	310	7	64	380	99	96	
153	8	Do5#4	C5#4	322	322	1	64	54	99	96	
154	9	Si4b4	B4b4	310	310	1	16	217	99	96	
155	9	La4	A4	305	305	1	16	217	99	96	
156	9	La4	A4	305	305	1	4	870	95	96	
157	9	Mi5	E5	336	336	1	8	435	99	96	A
158	9	Fa5	F5	340	340	1	8	435	95	96	
159	9	Mi5	E5	336	336	1	8	435	99	96	man 
160	9	Re5	D5	327	327	1	4	870	99	96	
161	9	Re5	D5	327	327	1	16	217	99	96	
162	9	Do5#4	C5#4	322	322	1	16	217	99	96	
163	9	Re5	D5	327	327	3	8	1304	95	96	
164	9	Do5#4	C5#4	322	322	1	8	435	95	96	a
165	9	Mi5	E5	336	336	3	8	1304	99	96	man 
166	9	Re5	D5	327	327	1	16	217	99	96	
167	9	Do5#4	C5#4	322	322	1	16	217	99	96	
168	9	Do5#4	C5#4	322	322	3	8	1304	95	96	
169	9	Si4b4	B4b4	310	310	1	8	435	95	96	a
170	9	Re5	D5	327	327	3	8	1304	99	96	man 
171	9	Do5#4	C5#4	322	322	1	16	217	99	96	
172	9	Si4b4	B4b4	310	310	1	16	217	99	96	
