Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	769	95	78	ARANAĞME	0.250000
2	9	La4	A4	305	305	1	4	769	95	96	.	0.500000
3	9	Si4b4	B4b4	310	310	1	4	769	95	96	.	0.750000
4	9	Re5	D5	327	327	1	4	769	95	96	.	1.000000
5	9	Do5#4	C5#4	322	322	3	4	2307	95	96	.	1.750000
6	9	Si4b4	B4b4	310	310	1	16	192	95	96	.	1.812500
7	9	La4	A4	305	305	1	16	192	95	96	.	1.875000
8	9	Sol4	G4	296	296	1	8	385	95	96	.	2.000000
9	9	Re5	D5	327	327	1	4	769	95	96	.	2.250000
10	9	Es	Es	-1	-1	1	16	192	100	0	.	2.312500
11	9	Re5	D5	327	327	1	16	192	95	96	.	2.375000
12	9	Re5	D5	327	327	1	16	192	95	96	.	2.437500
13	9	Re5	D5	327	327	1	16	192	95	96	.	2.500000
14	9	Sol5	G5	349	349	1	16	192	95	96	.	2.562500
15	9	Fa5	F5	340	340	1	16	192	95	96	.	2.625000
16	9	Mi5	E5	336	336	1	16	192	95	96	.	2.687500
17	9	Re5	D5	327	327	1	16	192	95	96	.	2.750000
18	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	2.812500
19	9	Si4b4	B4b4	310	310	1	16	192	95	96	.	2.875000
20	9	La4	A4	305	305	1	16	192	95	96	.	2.937500
21	9	Si4b4	B4b4	310	310	1	16	192	95	96	.	3.000000
22	9	Do5#4	C5#4	322	322	1	4	769	95	96	.	3.250000
23	9	Es	Es	-1	-1	1	16	192	100	0	.	3.312500
24	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	3.375000
25	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	3.437500
26	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	3.500000
27	9	Fa5	F5	340	340	1	16	192	95	96	.	3.562500
28	9	Mi5	E5	336	336	1	16	192	95	96	.	3.625000
29	9	Re5	D5	327	327	1	16	192	95	96	.	3.687500
30	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	3.750000
31	9	Si4b4	B4b4	310	310	1	16	192	95	96	.	3.812500
32	9	La4	A4	305	305	1	16	192	95	96	.	3.875000
33	9	Sol4#4	G4#4	300	300	1	16	192	95	96	.	3.937500
34	9	La4	A4	305	305	1	16	192	95	96	.	4.000000
35	9	Si4b4	B4b4	310	310	1	4	769	95	78	.	4.250000
36	9	Es	Es	-1	-1	1	8	385	100	78	.	4.375000
37	9	La4	A4	305	305	1	16	192	95	78	.	4.437500
38	9	Si4b4	B4b4	310	310	1	16	192	95	78	.	4.500000
39	9	Do5#4	C5#4	322	322	1	4	769	95	78	.	4.750000
40	9	Es	Es	-1	-1	1	16	192	100	78	.	4.812500
41	9	La4	A4	305	305	1	16	192	95	84	.	4.875000
42	9	Si4b4	B4b4	310	310	1	16	192	95	90	.	4.937500
43	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	5.000000
44	9	Re5	D5	327	327	1	2	1538	95	102	.	5.500000
45	9	Es	Es	-1	-1	1	8	385	100	108	.	5.625000
46	9	Fa5	F5	340	340	1	8	385	95	114	.	5.750000
47	9	Mi5	E5	336	336	1	8	385	95	96	.	5.875000
48	9	Re5	D5	327	327	1	8	385	95	96	.	6.000000
49	9	Do5#4	C5#4	322	322	3	16	577	95	96	.	6.187500
50	9	Si4b4	B4b4	310	310	1	16	192	95	78	.	6.250000
51	9	La4	A4	305	305	1	8	385	95	85	.	6.375000
52	9	Do5#4	C5#4	322	322	1	8	385	95	92	.	6.500000
53	9	Si4b4	B4b4	310	310	1	2	1538	95	100	.	7.000000
54	9	Si4b4	B4b4	310	310	3	16	577	95	114	.	7.187500
55	9	La4	A4	305	305	1	16	192	95	96	.	7.250000
56	9	Sol4#4	G4#4	300	300	1	8	385	95	96	.	7.375000
57	9	Si4b4	B4b4	310	310	1	16	192	95	96	.	7.437500
58	9	La4	A4	305	305	1	16	192	95	96	.	7.500000
59	9	La4	A4	305	305	1	2	1538	95	96	.	8.000000
60	9	La4	A4	305	305	1	8	385	95	96	Bo	8.125000
61	9	Si4b4	B4b4	310	310	1	16	192	99	96	ğaz_	8.187500
62	9	Do5#4	C5#4	322	322	1	16	192	99	96		8.250000
63	9	Si4b4	B4b4	310	310	1	8	385	95	78		8.375000
64	9	La4	A4	305	305	1	8	385	95	78	i	8.500000
65	9	Mi5	E5	336	336	1	2	1538	95	78	çi 	9.000000
66	9	Es	Es	-1	-1	1	8	385	100	78		9.125000
67	9	Mi5	E5	336	336	1	4	769	95	78	şen 	9.375000
68	9	Sol5	G5	349	349	1	8	385	95	96	gö	9.500000
69	9	Fa5	F5	340	340	3	16	577	99	96	nül	9.687500
70	9	Mi5	E5	336	336	1	16	192	95	96		9.750000
71	9	Re5	D5	327	327	1	4	769	95	96	ler 	10.000000
72	9	Do5#4	C5#4	322	322	3	32	288	99	96	ya	10.093750
73	9	Si4b4	B4b4	310	310	1	32	96	99	96		10.125000
74	9	Do5#4	C5#4	322	322	1	8	385	95	96		10.250000
75	9	Re5	D5	327	327	3	32	288	99	96	ta	10.343750
76	9	Do5#4	C5#4	322	322	1	32	96	99	96		10.375000
77	9	Re5	D5	327	327	1	8	385	95	96		10.500000
78	9	Mi5	E5	336	336	1	2	1538	95	96	ğı  	11.000000
79	9	Re5	D5	327	327	1	4	769	95	84	Her 	11.250000
80	9	Re5	D5	327	327	1	8	385	95	84	bu	11.375000
81	9	Re5	D5	327	327	1	8	385	95	84	ca	11.500000
82	9	Sol5	G5	349	349	1	2	1538	95	84	ğı 	12.000000
83	9	Fa5#4	F5#4	344	344	3	32	288	99	96	â	12.093750
84	9	Mi5	E5	336	336	1	32	96	99	96		12.125000
85	9	Fa5#4	F5#4	344	344	1	8	385	95	96		12.250000
86	9	Sol5	G5	349	349	3	32	288	99	96	şık	12.343750
87	9	Fa5#4	F5#4	344	344	1	32	96	99	96		12.375000
88	9	Sol5	G5	349	349	1	8	385	95	96		12.500000
89	9	La5	A5	358	358	1	4	769	95	78	la	12.750000
90	9	Sol5	G5	349	349	1	4	769	95	82	rın 	13.000000
91	9	Fa5#4	F5#4	344	344	3	32	288	99	87	o	13.093750
92	9	Mi5	E5	336	336	1	32	96	99	92		13.125000
93	9	Fa5#4	F5#4	344	344	1	8	385	95	96		13.250000
94	9	Sol5	G5	349	349	1	4	769	95	100	ta	13.500000
95	9	La5	A5	358	358	1	4	769	95	105	ğı  	13.750000
96	9	Es	Es	-1	-1	1	4	769	100	110		14.000000
97	9	La5	A5	358	358	1	8	385	95	114	Ya	14.125000
98	9	Sol5	G5	349	349	1	8	385	99	96	maç	14.250000
99	9	Fa5	F5	340	340	1	8	385	95	96		14.375000
100	9	Mi5	E5	336	336	1	8	385	95	96	la	14.500000
101	10	Re5	D5	327	327	1	8	385	99	96	rı 	14.625000
102	8	Mi5	E5	336	336	0	0	0	99	96		14.625000
103	9	Re5	D5	327	327	1	16	192	99	96		14.687500
104	9	Do5#4	C5#4	322	322	1	16	192	99	96		14.750000
105	9	Re5	D5	327	327	1	4	769	95	96		15.000000
106	9	Es	Es	-1	-1	1	8	385	100	0		15.125000
107	9	Mi5	E5	336	336	1	4	769	95	96	san	15.375000
108	9	Sol5	G5	349	349	1	8	385	95	96	ki 	15.500000
109	9	Fa5	F5	340	340	3	16	577	99	84	cen	15.687500
110	9	Mi5	E5	336	336	1	16	192	95	84		15.750000
111	9	Re5	D5	327	327	1	8	385	99	84	ne	15.875000
112	9	Do5#4	C5#4	322	322	1	8	385	95	84		16.000000
113	9	Si4b4	B4b4	310	310	1	8	385	99	84	tin 	16.125000
114	9	Do5#4	C5#4	322	322	1	8	385	95	84		16.250000
115	10	Re5	D5	327	327	1	8	385	99	78	ba	16.375000
116	8	Mi5	E5	336	336	0	0	0	99	78		16.375000
117	9	Re5	D5	327	327	1	16	192	99	78		16.437500
118	9	Do5#4	C5#4	322	322	1	16	192	95	78		16.500000
119	9	Do5#4	C5#4	322	322	1	2	1538	95	78	ğı  	17.000000
120	9	Do5#4	C5#4	322	322	1	8	385	95	78	Meh	17.125000
121	9	Re5	D5	327	327	1	8	385	99	78	tâ	17.250000
122	9	Do5#4	C5#4	322	322	1	8	385	95	78		17.375000
123	9	Si4b4	B4b4	310	310	1	8	385	95	78	bı 	17.500000
124	9	La4	A4	305	305	1	2	1538	95	78	hoş 	18.000000
125	9	La4	A4	305	305	1	8	385	95	78	gü	18.125000
126	9	Re5	D5	327	327	1	8	385	99	96	ne	18.250000
127	9	Do5#4	C5#4	322	322	1	8	385	95	96		18.375000
128	9	Re5	D5	327	327	1	8	385	95	96	şi 	18.500000
129	9	Mi5	E5	336	336	1	2	1538	95	96	hoş 	19.000000
130	9	Fa5	F5	340	340	3	32	288	99	96	gü	19.093750
131	9	Mi5	E5	336	336	1	32	96	99	96		19.125000
132	9	Fa5	F5	340	340	1	8	385	95	96		19.250000
