Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa4#4	F4#4	291	291	1	8	200	95	96	ARANAĞME	0.142857142857
2	9	Sol4	G4	296	296	1	8	200	95	96	.	0.285714285714
3	9	Fa4#4	F4#4	291	291	1	8	200	95	96	.	0.428571428571
4	9	Sol4	G4	296	296	1	8	200	95	96	.	0.571428571429
5	9	La4	A4	305	305	1	4	400	95	96	.	0.857142857143
6	9	Sol4	G4	296	296	1	8	200	95	96	.	1.0
7	9	La4	A4	305	305	1	8	200	95	96	.	1.14285714286
8	9	Si4b4	B4b4	310	310	1	8	200	95	96	.	1.28571428571
9	9	La4	A4	305	305	1	8	200	95	96	.	1.42857142857
10	9	Si4b4	B4b4	310	310	1	8	200	95	96	.	1.57142857143
11	9	Do5#4	C5#4	322	322	1	4	400	95	96	.	1.85714285714
12	9	Si4b4	B4b4	310	310	1	8	200	95	96	.	2.0
13	9	Re5	D5	327	327	1	4	400	95	96	.	2.28571428571
14	9	Re5	D5	327	327	1	8	200	95	96	.	2.42857142857
15	9	Do5#4	C5#4	322	322	1	8	200	95	96	.	2.57142857143
16	9	Si4b4	B4b4	310	310	1	8	200	95	96	.	2.71428571429
17	9	La4	A4	305	305	1	8	200	95	96	.	2.85714285714
18	9	Sol4	G4	296	296	1	8	200	95	96	.	3.0
19	9	Re5	D5	327	327	1	4	400	95	96	.	3.28571428571
20	9	Do5#4	C5#4	322	322	1	8	200	95	96	.	3.42857142857
21	9	Mi5	E5	336	336	1	8	200	95	96	.	3.57142857143
22	9	Re5	D5	327	327	3	8	600	95	96	.	4.0
23	9	Fa4#4	F4#4	291	291	1	8	200	95	96	ARANAĞME	4.14285714286
24	9	Sol4	G4	296	296	1	8	200	95	96	.	4.28571428571
25	9	Fa4#4	F4#4	291	291	1	8	200	95	96	.	4.42857142857
26	9	Sol4	G4	296	296	1	8	200	95	96	.	4.57142857143
27	9	La4	A4	305	305	1	4	400	95	96	.	4.85714285714
28	9	Sol4	G4	296	296	1	8	200	95	96	.	5.0
29	9	La4	A4	305	305	1	8	200	95	96	.	5.14285714286
