Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	8	714	95	84	ARANAĞME	0.142857142857
2	9	Re5	D5	327	327	1	4	1429	95	96	.	0.428571428571
3	8	Sol5	G5	349	349	0	0	0	95	96	.	0.428571428571
4	9	Fa5	F5	340	340	3	32	536	95	96	.	0.535714285714
5	9	Mi5	E5	336	336	1	32	179	95	96	.	0.571428571429
6	9	Re5	D5	327	327	1	16	357	95	96	.	0.642857142857
7	9	Do5#4	C5#4	322	322	1	16	357	95	96	.	0.714285714286
8	9	Re5	D5	327	327	1	4	1429	95	96	.	1.0
9	9	La4	A4	305	305	1	8	714	95	96	.	1.14285714286
10	9	La4	A4	305	305	1	16	357	95	96	.	1.21428571429
11	9	Do5#4	C5#4	322	322	1	16	357	95	96	.	1.28571428571
12	9	Si4b4	B4b4	310	310	1	16	357	95	96	.	1.35714285714
13	9	La4	A4	305	305	1	16	357	95	96	.	1.42857142857
14	9	La4	A4	305	305	3	32	536	95	96	.	1.53571428571
15	9	Sol4	G4	296	296	1	32	179	95	96	.	1.57142857143
16	9	Sol4	G4	296	296	1	16	357	95	96	.	1.64285714286
17	9	Fa4#4	F4#4	291	291	1	16	357	95	96	.	1.71428571429
18	9	Sol4	G4	296	296	1	4	1429	95	96	.	2.0
19	9	Sol4	G4	296	296	1	8	714	95	96	.	2.14285714286
20	12	Re5	D5	327	327	3	16	1071	95	96	.	2.35714285714
21	9	Mi5	E5	336	336	1	16	357	95	96	.	2.42857142857
22	8	Sol5	G5	349	349	0	0	0	95	96	.	2.42857142857
23	9	Fa5	F5	340	340	3	32	536	95	96	.	2.53571428571
24	9	Mi5	E5	336	336	1	32	179	95	96	.	2.57142857143
25	9	Re5	D5	327	327	1	16	357	95	96	.	2.64285714286
26	9	Do5#4	C5#4	322	322	1	16	357	95	114	.	2.71428571429
27	9	Re5	D5	327	327	1	8	714	95	102	.	2.85714285714
28	9	Sol5	G5	349	349	1	8	714	95	90	.	3.0
29	9	Sol5	G5	349	349	1	16	357	95	78	.	3.07142857143
30	9	Fa5	F5	340	340	1	16	357	95	96	.	3.14285714286
31	9	Fa5	F5	340	340	1	16	357	95	96	.	3.21428571429
32	9	Mi5	E5	336	336	1	16	357	95	114	.	3.28571428571
33	9	Mi5	E5	336	336	1	16	357	95	114	.	3.35714285714
34	9	Re5	D5	327	327	1	16	357	95	114	.	3.42857142857
35	9	Mi5	E5	336	336	3	32	536	95	108	.	3.53571428571
36	9	Re5	D5	327	327	1	32	179	95	102	.	3.57142857143
37	9	Re5	D5	327	327	1	16	357	95	96	.	3.64285714286
38	9	Do5#4	C5#4	322	322	1	16	357	95	90	.	3.71428571429
39	9	Re5	D5	327	327	1	4	1429	95	84	.	4.0
40	9	Do5#4	C5#4	322	322	1	16	357	95	78	.	4.07142857143
41	9	Re5	D5	327	327	1	16	357	95	96	.	4.14285714286
42	9	Mi5	E5	336	336	1	16	357	95	96	.	4.21428571429
43	9	Fa5	F5	340	340	1	32	179	95	96	.	4.25
44	9	Sol5	G5	349	349	1	32	179	95	114	.	4.28571428571
45	9	Fa5	F5	340	340	1	16	357	95	114	.	4.35714285714
46	9	Mi5	E5	336	336	1	16	357	95	114	.	4.42857142857
47	9	Re5	D5	327	327	3	32	536	95	114	.	4.53571428571
48	9	Do5#4	C5#4	322	322	1	32	179	95	96	.	4.57142857143
49	24	Si4b4	B4b4	310	310	1	8	714	95	96	.	4.71428571429
50	9	Do5#4	C5#4	322	322	1	4	1429	95	96	.	5.0
51	9	La4	A4	305	305	1	16	357	95	96	.	5.07142857143
52	9	Si4b4	B4b4	310	310	1	16	357	95	114	.	5.14285714286
53	9	Do5#4	C5#4	322	322	1	16	357	95	111	.	5.21428571429
54	9	Re5	D5	327	327	1	32	179	95	107	.	5.25
55	9	Mi5	E5	336	336	1	32	179	95	104	.	5.28571428571
56	9	Re5	D5	327	327	1	16	357	95	101	.	5.35714285714
57	9	Do5#4	C5#4	322	322	1	16	357	95	98	.	5.42857142857
58	9	Do5#4	C5#4	322	322	3	32	536	95	94	.	5.53571428571
59	9	Si4b4	B4b4	310	310	1	32	179	95	91	.	5.57142857143
60	9	Si4b4	B4b4	310	310	1	16	357	95	88	.	5.64285714286
61	9	La4	A4	305	305	1	16	357	95	85	.	5.71428571429
62	9	Sol4	G4	296	296	1	4	1429	95	81	.	6.0
63	9	Fa4#4	F4#4	291	291	1	16	357	95	78	.	6.07142857143
64	9	Sol4	G4	296	296	1	16	357	95	96	.	6.14285714286
