Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	8	476	95	96	ARANAĞME	0.111111
2	9	Do5#4	C5#4	322	322	1	16	238	95	96	.	0.166667
3	9	Si4b4	B4b4	310	310	1	16	238	95	96	.	0.222222
4	9	Do5#4	C5#4	322	322	1	8	476	95	96	.	0.333333
5	9	Si4b4	B4b4	310	310	1	16	238	95	96	.	0.388889
6	9	La4	A4	305	305	1	16	238	95	96	.	0.444444
7	9	Si4b4	B4b4	310	310	1	8	476	95	96	.	0.555556
8	9	La4	A4	305	305	1	16	238	95	96	.	0.611111
9	9	Sol4	G4	296	296	1	16	238	95	96	.	0.666667
10	9	La4	A4	305	305	1	8	476	95	96	.	0.777778
11	9	Si4b4	B4b4	310	310	1	8	476	95	96	.	0.888889
12	9	Do5#4	C5#4	322	322	1	8	476	95	96	.	1.000000
13	9	Re5	D5	327	327	1	8	476	95	96	.	1.111111
14	9	Mi5	E5	336	336	1	16	238	95	96	.	1.166667
15	9	Fa5#4	F5#4	344	344	1	16	238	95	96	.	1.222222
16	9	Sol5	G5	349	349	1	8	476	95	96	.	1.333333
17	9	Fa5	F5	340	340	1	16	238	95	96	.	1.388889
18	9	Mi5	E5	336	336	1	16	238	95	96	.	1.444444
19	9	Mi5	E5	336	336	1	16	238	95	96	.	1.500000
20	9	Re5	D5	327	327	1	16	238	95	96	.	1.555556
21	9	Re5	D5	327	327	1	16	238	95	96	.	1.611111
22	9	Do5#4	C5#4	322	322	1	16	238	95	96	.	1.666667
23	9	Re5	D5	327	327	1	8	476	95	96	.	1.777778
24	9	Mi5	E5	336	336	1	8	476	95	96	.	1.888889
25	9	Fa5#4	F5#4	344	344	1	8	476	95	96	.	2.000000
26	9	Sol5	G5	349	349	1	8	476	95	96	.	2.111111
27	9	Fa5	F5	340	340	1	16	238	95	96	.	2.166667
28	9	Mi5	E5	336	336	1	16	238	95	96	.	2.222222
29	9	Fa5	F5	340	340	1	8	476	95	96	.	2.333333
30	9	Mi5	E5	336	336	1	16	238	95	96	.	2.388889
31	9	Re5	D5	327	327	1	16	238	95	96	.	2.444444
32	9	Mi5	E5	336	336	1	8	476	95	96	.	2.555556
33	9	Re5	D5	327	327	1	16	238	95	96	.	2.611111
34	9	Do5#4	C5#4	322	322	1	16	238	95	96	.	2.666667
35	9	Re5	D5	327	327	1	16	238	95	96	.	2.722222
36	9	Do5#4	C5#4	322	322	1	16	238	95	96	.	2.777778
37	9	Si4b4	B4b4	310	310	1	16	238	95	96	.	2.833333
38	9	La4	A4	305	305	1	16	238	95	96	.	2.888889
39	9	Sol4	G4	296	296	1	8	476	95	96	.	3.000000
40	9	La4	A4	305	305	1	16	238	95	96	.	3.055556
41	9	Si4b4	B4b4	310	310	1	16	238	95	96	.	3.111111
42	9	Do5#4	C5#4	322	322	1	16	238	95	96	.	3.166667
43	9	Re5	D5	327	327	1	16	238	95	96	.	3.222222
44	9	Mi5	E5	336	336	1	8	476	95	96	.	3.333333
45	9	Re5	D5	327	327	1	16	238	95	96	.	3.388889
46	9	Do5#4	C5#4	322	322	1	16	238	95	96	.	3.444444
47	9	Do5#4	C5#4	322	322	1	16	238	95	96	.	3.500000
48	9	Si4b4	B4b4	310	310	1	16	238	95	96	.	3.555556
49	9	Si4b4	B4b4	310	310	1	16	238	95	96	.	3.611111
50	9	La4	A4	305	305	1	16	238	95	96	.	3.666667
51	9	La4	A4	305	305	1	4	952	95	96	.	3.888889
52	9	Es	Es	-1	-1	1	8	476	100	0		4.000000
53	9	Re5	D5	327	327	1	8	476	95	96	ARANAĞME	4.111111
54	9	Do5#4	C5#4	322	322	1	16	238	95	96	.	4.166667
55	9	Si4b4	B4b4	310	310	1	16	238	95	96	.	4.222222
56	9	Do5#4	C5#4	322	322	1	8	476	95	96	.	4.333333
57	9	Si4b4	B4b4	310	310	1	16	238	95	96	.	4.388889
58	9	La4	A4	305	305	1	16	238	95	96	.	4.444445
59	9	Si4b4	B4b4	310	310	1	8	476	95	96	.	4.555555
60	9	La4	A4	305	305	1	16	238	95	96	.	4.611111
61	9	Sol4	G4	296	296	1	16	238	95	96	.	4.666667
62	9	La4	A4	305	305	1	8	476	95	96	.	4.777778
63	9	Si4b4	B4b4	310	310	1	8	476	95	96	.	4.888889
64	9	Do5#4	C5#4	322	322	1	8	476	95	96	.	5.000000
65	9	Re5	D5	327	327	1	8	476	95	96	.	5.111111
66	9	Mi5	E5	336	336	1	16	238	95	96	.	5.166667
