Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	4	588	95	96	Terk_	0.166667
2	9	Re5	D5	327	327	1	4	588	95	96	ey	0.333333
3	9	Re5	D5	327	327	1	4	588	95	96	le	0.500000
4	9	Mi5	E5	336	336	1	4	588	95	96	di 	0.666667
5	10	Re5	D5	327	327	1	4	588	99	96	ger	0.833333
6	8	Mi5	E5	336	336	0	0	0	99	96		0.833333
7	9	Do5#4	C5#4	322	322	1	4	588	95	96		1.000000
8	10	Si4b4	B4b4	310	310	1	4	588	99	96	çi 	1.166667
9	8	Do5#4	C5#4	322	322	0	0	0	99	96		1.166667
10	9	La4	A4	305	305	1	4	588	95	96		1.333333
11	9	Sol4	G4	296	296	1	4	588	95	96	be	1.500000
12	9	Sol4	G4	296	296	1	4	588	95	96	ni 	1.666667
13	9	Re5	D5	327	327	1	2	1176	95	96	ol 	2.000000
14	9	Re5	D5	327	327	1	2	1176	99	96	mâh 	2.333333
15	9	Mi5	E5	336	336	1	8	294	99	96		2.416667
16	9	Sol5	G5	349	349	1	8	294	95	96		2.500000
17	9	Fa5#4	F5#4	344	344	1	8	294	99	96	ce	2.583333
18	9	Mi5	E5	336	336	1	8	294	95	96		2.666667
19	9	Mi5	E5	336	336	3	16	441	99	96	mâ	2.791667
20	9	Re5	D5	327	327	1	16	147	99	96		2.833333
21	9	Do5#4	C5#4	322	322	1	8	294	99	96		2.916667
22	9	Re5	D5	327	327	1	8	294	95	96		3.000000
23	9	Mi5	E5	336	336	1	2	1176	95	96	lim  	3.333333
24	9	Mi5	E5	336	336	1	4	588	95	96	SAZ	3.500000
25	9	Re5	D5	327	327	1	8	294	95	96	.	3.583333
26	10	Do5#4	C5#4	322	322	1	8	294	95	96	.	3.666667
27	8	Re5	D5	327	327	0	0	0	95	96	.	3.666667
28	9	Do5#4	C5#4	322	322	1	8	294	95	96	.	3.750000
29	9	Si4b4	B4b4	310	310	1	8	294	95	96	.	3.833333
30	9	La4	A4	305	305	1	4	588	95	96	.	4.000000
31	9	Re5	D5	327	327	1	4	588	95	96	Terk_	4.166667
32	9	Re5	D5	327	327	1	4	588	95	96	ey	4.333333
33	9	Re5	D5	327	327	1	4	588	95	96	le	4.500000
34	9	Mi5	E5	336	336	1	4	588	95	96	di 	4.666667
35	10	Re5	D5	327	327	1	4	588	99	96	ger	4.833333
36	8	Mi5	E5	336	336	0	0	0	99	96		4.833333
37	9	Do5#4	C5#4	322	322	1	4	588	95	96		5.000000
38	10	Si4b4	B4b4	310	310	1	4	588	99	96	çi 	5.166667
39	8	Do5#4	C5#4	322	322	0	0	0	99	96		5.166667
40	9	La4	A4	305	305	1	4	588	95	96		5.333333
41	9	Sol4	G4	296	296	1	4	588	95	96	be	5.500000
42	9	Sol4	G4	296	296	1	4	588	95	96	ni 	5.666667
43	9	Re5	D5	327	327	1	2	1176	95	96	ol 	6.000000
44	9	Re5	D5	327	327	1	2	1176	99	96	mâh 	6.333333
45	9	Mi5	E5	336	336	1	8	294	99	96		6.416667
46	9	Sol5	G5	349	349	1	8	294	95	96		6.500000
47	9	Fa5#4	F5#4	344	344	1	8	294	99	96	ce	6.583333
48	9	Mi5	E5	336	336	1	8	294	95	96		6.666667
49	9	Mi5	E5	336	336	3	16	441	99	96	mâ	6.791667
50	9	Re5	D5	327	327	1	16	147	99	96		6.833333
51	9	Do5#4	C5#4	322	322	1	8	294	99	96		6.916667
52	9	Re5	D5	327	327	1	8	294	95	96		7.000000
53	9	Mi5	E5	336	336	5	4	2941	95	96	lim  	7.833333
54	9	Es	Es	-1	-1	1	4	588	100	0		8.000000
55	9	Mi5	E5	336	336	1	4	588	95	96	Şa	8.166667
56	9	Mi5	E5	336	336	1	4	588	95	96	yes	8.333333
57	9	Mi5	E5	336	336	1	4	588	95	96	te 	8.500000
58	9	Sol5	G5	349	349	1	4	588	95	96	i 	8.666667
59	9	Fa5	F5	340	340	1	4	588	99	96	vasl_	8.833333
60	9	Mi5	E5	336	336	1	4	588	95	96		9.000000
61	9	Re5	D5	327	327	1	4	588	99	96	et	9.166667
62	9	Do5#4	C5#4	322	322	1	4	588	95	96		9.333333
