Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	8	312	95	96	ARANAĞME	0.125000
2	9	Si4b4	B4b4	310	310	1	4	625	95	96	.	0.375000
3	9	La4	A4	305	305	1	8	312	95	96	.	0.500000
4	9	Sol4#4	G4#4	300	300	3	8	938	95	96	.	0.875000
5	9	Fa4#1	F4#1	288	288	1	8	312	95	96	.	1.000000
6	9	La4	A4	305	305	1	1	2500	95	96	.	2.000000
7	9	La4	A4	305	305	1	8	312	95	96	.	2.125000
8	9	Si4b4	B4b4	310	310	1	4	625	95	96	.	2.375000
9	9	La4	A4	305	305	1	8	312	95	96	.	2.500000
10	9	Sol4#4	G4#4	300	300	3	8	938	95	96	.	2.875000
11	9	Fa4#1	F4#1	288	288	1	8	312	95	96	.	3.000000
12	9	Si4b4	B4b4	310	310	1	1	2500	95	96	.	4.000000
13	9	Es	Es	-1	-1	1	8	312	100	0	.	4.125000
14	9	Re5	D5	327	327	1	8	312	95	96	.	4.250000
15	9	Do5#4	C5#4	322	322	1	8	312	95	96	.	4.375000
16	9	Si4b4	B4b4	310	310	1	8	312	95	96	.	4.500000
17	9	Re5	D5	327	327	1	2	1250	95	96	.	5.000000
18	9	Do5#4	C5#4	322	322	1	1	2500	95	96	.	6.000000
19	9	Es	Es	-1	-1	1	8	312	100	0	.	6.125000
20	9	Si4b4	B4b4	310	310	1	8	312	95	96	.	6.250000
21	9	La4	A4	305	305	1	8	312	95	96	.	6.375000
22	9	Sol4#4	G4#4	300	300	1	8	312	95	96	.	6.500000
23	9	Si4b4	B4b4	310	310	1	2	1250	95	96	.	7.000000
24	9	La4	A4	305	305	1	1	2500	95	96	.	8.000000
25	9	Es	Es	-1	-1	1	8	312	100	0	.	8.125000
26	9	Re5	D5	327	327	1	8	312	95	96	.	8.250000
27	9	Do5#4	C5#4	322	322	1	8	312	95	96	.	8.375000
28	9	Si4b4	B4b4	310	310	1	8	312	95	96	.	8.500000
29	9	Re5	D5	327	327	1	2	1250	95	96	.	9.000000
30	9	Do5#4	C5#4	322	322	1	1	2500	95	96	.	10.000000
31	9	Es	Es	-1	-1	1	8	312	100	0	.	10.125000
32	9	Si4b4	B4b4	310	310	1	8	312	95	96	.	10.250000
33	9	La4	A4	305	305	1	8	312	95	96	.	10.375000
34	9	Sol4#4	G4#4	300	300	1	8	312	95	96	.	10.500000
35	9	Si4b4	B4b4	310	310	1	2	1250	95	96	.	11.000000
36	9	La4	A4	305	305	1	1	2500	95	96	.	12.000000
37	9	La4	A4	305	305	1	8	312	95	96	ARANAĞME	12.125000
38	9	Si4b4	B4b4	310	310	1	4	625	95	96	.	12.375000
39	9	La4	A4	305	305	1	8	312	95	96	.	12.500000
40	9	Sol4#4	G4#4	300	300	3	8	938	95	96	.	12.875000
41	9	Fa4#1	F4#1	288	288	1	8	312	95	96	.	13.000000
42	9	La4	A4	305	305	1	1	2500	95	96	.	14.000000
43	9	La4	A4	305	305	1	8	312	95	96	.	14.125000
44	9	Si4b4	B4b4	310	310	1	4	625	95	96	.	14.375000
45	9	La4	A4	305	305	1	8	312	95	96	.	14.500000
46	9	Sol4#4	G4#4	300	300	3	8	938	95	96	.	14.875000
47	9	Fa4#1	F4#1	288	288	1	8	312	95	96	.	15.000000
48	9	Si4b4	B4b4	310	310	1	1	2500	95	96	.	16.000000
49	9	Es	Es	-1	-1	1	8	312	100	0	.	16.125000
50	9	Re5	D5	327	327	1	8	312	95	96	.	16.250000
51	9	Do5#4	C5#4	322	322	1	8	312	95	96	.	16.375000
52	9	Si4b4	B4b4	310	310	1	8	312	95	96	.	16.500000
53	9	Re5	D5	327	327	1	2	1250	95	96	.	17.000000
54	9	Do5#4	C5#4	322	322	1	1	2500	95	96	.	18.000000
55	9	Es	Es	-1	-1	1	8	312	100	0	.	18.125000
56	9	Si4b4	B4b4	310	310	1	8	312	95	96	.	18.250000
57	9	La4	A4	305	305	1	8	312	95	96	.	18.375000
