Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	2	1667	95	96	1. HANE	0.500000
2	9	La5b4	A5b4	354	354	1	12	278	95	96		0.583333
3	9	Sol5	G5	349	349	1	12	278	95	92		0.666667
4	9	Fa5#4	F5#4	344	344	1	12	278	95	96		0.750000
5	9	Sol5	G5	349	349	1	8	417	95	96		0.875000
6	9	La5b4	A5b4	354	354	1	8	417	95	94		1.000000
7	9	Sol5	G5	349	349	1	8	417	95	96		1.125000
8	9	La5b4	A5b4	354	354	1	8	417	95	94		1.250000
9	9	Sol5	G5	349	349	1	8	417	95	96		1.375000
10	9	Fa5#4	F5#4	344	344	1	8	417	95	94		1.500000
11	9	Mi5b4	E5b4	332	332	1	8	417	95	96		1.625000
12	9	Fa5#4	F5#4	344	344	1	8	417	95	94		1.750000
13	9	Mi5b4	E5b4	332	332	1	8	417	95	96		1.875000
14	9	Re5	D5	327	327	1	8	417	95	94		2.000000
15	9	Mi5b4	E5b4	332	332	1	8	417	95	96		2.125000
16	9	Fa5#4	F5#4	344	344	1	8	417	95	94		2.250000
17	9	Sol5	G5	349	349	1	4	833	95	96		2.500000
18	9	Fa5#4	F5#4	344	344	1	4	833	95	95		2.750000
19	9	Sol5	G5	349	349	1	4	833	95	96		3.000000
20	9	La5b4	A5b4	354	354	3	16	625	95	95		3.187500
21	9	Sol5	G5	349	349	1	16	208	95	90		3.250000
22	9	La5b4	A5b4	354	354	1	8	417	95	96		3.375000
23	9	Si5b1	B5b1	366	366	1	8	417	95	94		3.500000
24	9	La5b4	A5b4	354	354	1	8	417	95	96		3.625000
25	9	Si5b1	B5b1	366	366	1	8	417	95	94		3.750000
26	9	Sol5	G5	349	349	1	4	833	95	96		4.000000
27	9	Es	Es	-1	-1	1	8	417	100	0		4.125000
28	9	Sol5	G5	349	349	1	4	833	95	96		4.375000
29	9	La5b4	A5b4	354	354	1	8	417	95	96		4.500000
30	9	Es	Es	-1	-1	1	8	417	100	0		4.625000
