Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	7	8	0	14	0	Devr-i Hindî (7/8)	0.0
2	9	Sol5	G5	349	349	1	4	1000	99	96		0.285714285714
3	9	Sol5	G5	349	349	1	16	250	99	96		0.357142857143
4	9	Fa5#4	F5#4	344	344	1	16	250	95	96		0.428571428571
5	9	La5	A5	358	358	1	16	250	99	96		0.5
6	9	Sol5	G5	349	349	1	16	250	95	96		0.571428571429
7	9	Sol5	G5	349	349	1	16	250	99	96		0.642857142857
8	9	Fa5#4	F5#4	344	344	1	16	250	99	96		0.714285714286
9	9	Sol5	G5	349	349	1	4	1000	99	96		1.0
10	9	La5	A5	358	358	1	4	1000	95	96		1.28571428571
11	9	Sol5	G5	349	349	1	16	250	95	96		1.35714285714
12	9	La5	A5	358	358	1	16	250	95	96		1.42857142857
13	9	Do6	C6	371	371	1	16	250	99	96		1.5
14	9	Si5b1	B5b1	366	366	1	16	250	99	96		1.57142857143
15	9	La5	A5	358	358	1	16	250	99	96		1.64285714286
16	9	Sol5	G5	349	349	1	16	250	99	96		1.71428571429
17	9	Fa5#4	F5#4	344	344	1	4	1000	95	96		2.0
18	9	La5	A5	358	358	1	16	250	95	96		2.07142857143
19	9	Sol5	G5	349	349	1	16	250	95	96		2.14285714286
20	9	Fa5#4	F5#4	344	344	1	16	250	95	96		2.21428571429
21	9	Mi5b4	E5b4	332	332	1	16	250	95	96		2.28571428571
22	9	Re5	D5	327	327	1	8	500	95	96		2.42857142857
23	9	Fa5#4	F5#4	344	344	1	4	1000	99	96		2.71428571429
24	9	Sol5	G5	349	349	3	16	750	99	96		2.92857142857
25	9	La5	A5	358	358	1	16	250	95	96		3.0
26	9	Fa5#4	F5#4	344	344	1	16	250	99	96		3.07142857143
27	9	Sol5	G5	349	349	1	16	250	99	96		3.14285714286
28	9	Fa5#4	F5#4	344	344	1	16	250	99	96		3.21428571429
29	9	Mi5b4	E5b4	332	332	1	16	250	95	96		3.28571428571
30	9	Mi5b4	E5b4	332	332	1	16	250	99	96		3.35714285714
31	9	Re5	D5	327	327	1	16	250	95	96		3.42857142857
32	9	Re5	D5	327	327	1	4	1000	95	96		3.71428571429
33	9	Es	Es	-1	-1	1	4	1000	100	0		4.0
34	9	Sol5	G5	349	349	1	16	250	99	96		4.07142857143
35	9	Fa5#4	F5#4	344	344	1	16	250	99	96		4.14285714286
36	9	Mi5b4	E5b4	332	332	1	16	250	99	96		4.21428571429
37	9	Re5	D5	327	327	1	16	250	99	96		4.28571428571
38	9	Do5	C5	318	318	1	8	500	95	96		4.42857142857
39	9	Re5	D5	327	327	1	16	250	99	96		4.5
40	9	Mi5b4	E5b4	332	332	1	16	250	99	96		4.57142857143
41	9	Re5	D5	327	327	1	16	250	99	96		4.64285714286
42	9	Mi5b4	E5b4	332	332	1	16	250	99	96		4.71428571429
43	9	Sol5	G5	349	349	1	16	250	99	96		4.78571428571
44	9	Fa5#4	F5#4	344	344	1	16	250	99	96		4.85714285714
45	9	Mi5b4	E5b4	332	332	1	16	250	99	96		4.92857142857
46	9	Re5	D5	327	327	1	16	250	95	96		5.0
