Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	8	8	0	17	0	Düyek	0.0
2	9	Es	Es	-1	-1	1	8	385	100	0	ARANAĞME	0.125
3	9	Sol5	G5	349	349	1	8	385	95	96		0.25
4	9	Fa5#4	F5#4	344	344	1	8	385	95	96		0.375
5	9	Mi5b4	E5b4	332	332	1	8	385	95	96	.	0.5
6	9	Sol5	G5	349	349	1	4	769	95	96	.	0.75
7	9	Sol5	G5	349	349	3	32	288	95	96	.	0.84375
8	9	Fa5#4	F5#4	344	344	1	32	96	95	96	.	0.875
9	9	Sol5	G5	349	349	1	8	385	95	96	.	1.0
10	9	Es	Es	-1	-1	1	8	385	100	0	.	1.125
11	9	Sol5	G5	349	349	1	8	385	95	96	.	1.25
12	9	Fa5#4	F5#4	344	344	1	8	385	95	96	.	1.375
13	9	Mi5b4	E5b4	332	332	1	8	385	95	96	.	1.5
14	9	Sol5	G5	349	349	1	4	769	95	96	.	1.75
15	9	Sol5	G5	349	349	3	32	288	95	96	.	1.84375
16	9	Fa5#4	F5#4	344	344	1	32	96	95	96	.	1.875
17	9	Sol5	G5	349	349	1	8	385	95	96	.	2.0
18	9	Es	Es	-1	-1	1	8	385	100	0	.	2.125
19	9	Re5	D5	327	327	1	8	385	95	96	.	2.25
20	9	Mi5b4	E5b4	332	332	1	8	385	95	96	.	2.375
21	9	Fa5#4	F5#4	344	344	1	8	385	95	96	.	2.5
22	9	Sol5	G5	349	349	1	8	385	95	96	.	2.625
23	9	Fa5#4	F5#4	344	344	1	16	192	95	96	.	2.6875
24	9	Mi5b4	E5b4	332	332	1	16	192	95	96	.	2.75
25	9	Fa5#4	F5#4	344	344	1	8	385	95	96	.	2.875
26	9	Mi5b4	E5b4	332	332	1	16	192	95	96	.	2.9375
27	9	Re5	D5	327	327	1	16	192	95	96	.	3.0
28	9	Mi5b4	E5b4	332	332	1	8	385	95	96	.	3.125
29	9	Re5	D5	327	327	1	16	192	95	96	.	3.1875
30	9	Do5	C5	318	318	1	16	192	95	96	.	3.25
31	9	Re5	D5	327	327	1	8	385	95	96	.	3.375
32	9	Do5	C5	318	318	1	16	192	95	96	.	3.4375
33	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	3.5
34	9	Do5	C5	318	318	1	16	192	95	96	.	3.5625
35	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	3.625
36	9	Do5	C5	318	318	1	16	192	95	96	.	3.6875
37	9	Re5	D5	327	327	1	16	192	95	96	.	3.75
38	9	Mi5b4	E5b4	332	332	1	16	192	95	96	.	3.8125
39	9	Re5	D5	327	327	1	16	192	95	96	.	3.875
40	9	Mi5b4	E5b4	332	332	1	8	385	95	96	.	4.0
41	9	Es	Es	-1	-1	1	8	385	100	0	.	4.125
42	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	4.1875
43	9	Do5	C5	318	318	1	16	192	95	96	.	4.25
44	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	4.3125
45	9	La4b4	A4b4	301	301	1	16	192	95	96	.	4.375
46	9	La4b4	A4b4	301	301	1	16	192	95	96	.	4.4375
47	11	Sol4	G4	296	296	1	16	192	95	96	.	4.5
48	9	Sol4	G4	296	296	1	8	385	95	96	.	4.625
49	9	Es	Es	-1	-1	1	16	192	100	0	.	4.6875
50	9	Sol4	G4	296	296	1	16	192	95	96	.	4.75
51	9	La4b4	A4b4	301	301	1	16	192	95	96	.	4.8125
52	9	Fa4#4	F4#4	291	291	1	16	192	95	96	.	4.875
53	9	Sol4	G4	296	296	1	8	385	95	96	.	5.0
54	9	Es	Es	-1	-1	1	8	385	100	0		5.125
55	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	5.1875
56	9	Do5	C5	318	318	1	16	192	95	96	.	5.25
57	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	5.3125
58	9	La4b4	A4b4	301	301	1	16	192	95	96	.	5.375
59	9	La4b4	A4b4	301	301	1	16	192	95	96	.	5.4375
60	11	Sol4	G4	296	296	1	16	192	95	96	.	5.5
61	9	Sol4	G4	296	296	1	8	385	95	96	.	5.625
62	9	Es	Es	-1	-1	1	16	192	100	0	.	5.6875
63	9	Sol4	G4	296	296	1	16	192	95	96	.	5.75
64	9	La4b4	A4b4	301	301	1	16	192	95	96	.	5.8125
65	9	Fa4#4	F4#4	291	291	1	16	192	95	96	.	5.875
66	9	Sol4	G4	296	296	1	8	385	95	96	.	6.0
67	9	Es	Es	-1	-1	1	8	385	100	0	ARANAĞME	6.125
68	9	Sol5	G5	349	349	1	8	385	95	96		6.25
69	9	Fa5#4	F5#4	344	344	1	8	385	95	96		6.375
70	9	Mi5b4	E5b4	332	332	1	8	385	95	96	.	6.5
71	9	Sol5	G5	349	349	1	4	769	95	96	.	6.75
