Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Fa5#4	F5#4	344	344	1	8	417	95	96	ARANAÐME
2	9	Sol5	G5	349	349	1	4	833	95	96	
3	9	Re5	D5	327	327	1	8	417	95	96	
4	9	Mi5b4	E5b4	332	332	3	16	625	95	96	
5	9	Re5	D5	327	327	1	16	208	95	96	
6	9	Do5	C5	318	318	1	4	833	95	96	
7	9	Re5	D5	327	327	1	16	208	95	96	
8	9	Mi5b4	E5b4	332	332	1	16	208	95	96	
9	9	Fa5#4	F5#4	344	344	1	16	208	95	96	
10	9	Sol5	G5	349	349	1	16	208	95	96	
11	9	Fa5#4	F5#4	344	344	1	16	208	95	96	
12	9	Mi5b4	E5b4	332	332	1	16	208	95	96	
13	9	Re5	D5	327	327	1	16	208	95	96	
14	9	Do5	C5	318	318	1	16	208	95	96	
15	9	Si4b1	B4b1	313	313	3	16	625	95	96	
16	9	La4b4	A4b4	301	301	1	16	208	95	96	
17	9	Sol4	G4	296	296	1	4	833	95	96	
18	9	Sol4	G4	296	296	3	16	625	95	96	
19	9	La4b4	A4b4	301	301	1	16	208	95	96	
20	9	Si4b1	B4b1	313	313	1	8	417	95	96	
21	9	Do5	C5	318	318	1	8	417	95	96	
22	9	Re5	D5	327	327	1	8	417	95	96	
23	9	Mi5b4	E5b4	332	332	1	8	417	95	96	
24	9	Fa5#4	F5#4	344	344	1	8	417	95	96	
25	9	Mi5b4	E5b4	332	332	1	16	208	95	96	
26	9	Fa5#4	F5#4	344	344	1	16	208	95	96	
27	9	Sol5	G5	349	349	3	8	1250	95	96	
28	9	Re5	D5	327	327	1	8	417	95	96	
29	9	Mi5b4	E5b4	332	332	1	16	208	95	96	
30	9	Re5	D5	327	327	1	16	208	95	96	
31	9	Mi5b4	E5b4	332	332	1	16	208	95	96	
32	9	Fa5#4	F5#4	344	344	1	16	208	95	96	
33	9	Sol5	G5	349	349	1	4	833	95	96	
34	9	Fa5#4	F5#4	344	344	1	8	417	95	96	
35	9	Sol5	G5	349	349	1	4	833	95	96	
36	9	Re5	D5	327	327	1	8	417	95	96	
37	9	Mi5b4	E5b4	332	332	3	16	625	95	96	
38	9	Re5	D5	327	327	1	16	208	95	96	
39	9	Do5	C5	318	318	1	4	833	95	96	
40	9	Re5	D5	327	327	1	16	208	95	96	
41	9	Mi5b4	E5b4	332	332	1	16	208	95	96	
42	9	Fa5#4	F5#4	344	344	1	16	208	95	96	
43	9	Sol5	G5	349	349	1	16	208	95	96	
44	9	Fa5#4	F5#4	344	344	1	16	208	95	96	
45	9	Mi5b4	E5b4	332	332	1	16	208	95	96	
46	9	Re5	D5	327	327	1	16	208	95	96	
47	9	Do5	C5	318	318	1	16	208	95	96	
48	9	Si4b1	B4b1	313	313	3	16	625	95	96	
49	9	La4b4	A4b4	301	301	1	16	208	95	96	
50	9	Sol4	G4	296	296	1	4	833	95	96	
51	9	Sol5	G5	349	349	3	16	625	95	96	
52	9	Fa5#4	F5#4	344	344	1	16	208	95	96	
53	9	Mi5b4	E5b4	332	332	1	16	208	95	96	
54	9	Re5	D5	327	327	1	16	208	95	96	
55	9	Do5	C5	318	318	1	8	417	95	96	
56	9	Si4b1	B4b1	313	313	3	16	625	95	96	
57	9	La4b4	A4b4	301	301	1	16	208	95	96	
58	9	Si4b1	B4b1	313	313	1	16	208	95	96	
59	9	La4b4	A4b4	301	301	1	16	208	95	96	
60	9	La4b4	A4b4	301	301	1	16	208	95	96	
61	9	Sol4	G4	296	296	1	16	208	95	96	
62	9	Sol4	G4	296	296	4	4	3333	95	96	
63	9	Fa5#4	F5#4	344	344	1	4	833	95	96	Bir 
64	9	Sol5	G5	349	349	3	16	625	99	96	hâ
65	9	La5	A5	358	358	1	16	208	95	96	
66	9	Fa5#4	F5#4	344	344	1	16	208	99	96	let_
67	9	Mi5b4	E5b4	332	332	1	16	208	95	96	
68	9	Mi5b4	E5b4	332	332	1	16	208	99	96	i
69	9	Re5	D5	327	327	1	16	208	95	96	
70	9	Re5	D5	327	327	2	8	834	95	96	le 
71	9	Do5	C5	318	318	3	16	625	99	96	süz
72	9	Re5	D5	327	327	1	16	208	95	96	
73	9	Mi5b4	E5b4	332	332	1	16	208	99	96	dü 
74	9	Fa5#4	F5#4	344	344	1	16	208	95	96	
75	9	Mi5b4	E5b4	332	332	1	16	208	99	96	yi
76	9	Re5	D5	327	327	1	16	208	95	96	
77	9	Re5	D5	327	327	1	16	208	99	96	ne 
78	9	Do5	C5	318	318	1	16	208	99	96	
79	9	Do5	C5	318	318	1	16	208	99	96	
80	9	Si4b1	B4b1	313	313	1	16	208	99	96	
81	9	Do5	C5	318	318	2	8	834	95	96	
82	9	Re5	D5	327	327	1	4	833	95	96	çeþ
83	9	Mi5b4	E5b4	332	332	1	8	417	95	96	mi
84	9	Fa5#4	F5#4	344	344	1	8	417	95	96	ni 
85	9	Sol5	G5	349	349	3	16	625	99	96	dil
86	9	La5	A5	358	358	1	16	208	99	96	
87	9	Fa5#4	F5#4	344	344	1	16	208	99	96	
88	9	Mi5b4	E5b4	332	332	1	16	208	99	96	
89	9	Re5	D5	327	327	1	8	417	95	96	
90	9	La5	A5	358	358	1	8	417	99	96	dâr  
91	9	Sol5	G5	349	349	1	16	208	99	96	
92	9	Fa5#4	F5#4	344	344	1	16	208	99	96	
93	9	Fa5#4	F5#4	344	344	1	16	208	99	96	
94	9	Mi5b4	E5b4	332	332	1	16	208	99	96	
95	9	Mi5b4	E5b4	332	332	1	16	208	99	96	
96	9	Re5	D5	327	327	1	16	208	99	96	
97	9	Re5	D5	327	327	3	16	625	95	96	
98	9	Do5	C5	318	318	1	16	208	95	96	SAZ 
99	9	Si4b1	B4b1	313	313	1	16	208	95	96	.
100	9	La4b4	A4b4	301	301	1	16	208	95	96	.
101	9	Sol4	G4	296	296	1	8	417	95	96	.
102	9	Fa5#4	F5#4	344	344	1	4	833	95	96	Bir 
103	9	Sol5	G5	349	349	3	16	625	99	96	hâ
104	9	La5	A5	358	358	1	16	208	95	96	
105	9	Fa5#4	F5#4	344	344	1	16	208	99	96	let_
106	9	Mi5b4	E5b4	332	332	1	16	208	95	96	
107	9	Mi5b4	E5b4	332	332	1	16	208	99	96	i
108	9	Re5	D5	327	327	1	16	208	95	96	
109	9	Re5	D5	327	327	2	8	834	95	96	le 
110	9	Do5	C5	318	318	3	16	625	99	96	süz
111	9	Re5	D5	327	327	1	16	208	95	96	
112	9	Mi5b4	E5b4	332	332	1	16	208	99	96	dü 
113	9	Fa5#4	F5#4	344	344	1	16	208	95	96	
114	9	Mi5b4	E5b4	332	332	1	16	208	99	96	yi
115	9	Re5	D5	327	327	1	16	208	95	96	
116	9	Re5	D5	327	327	1	16	208	99	96	ne 
117	9	Do5	C5	318	318	1	16	208	99	96	
118	9	Do5	C5	318	318	1	16	208	99	96	
119	9	Si4b1	B4b1	313	313	1	16	208	99	96	
120	9	Do5	C5	318	318	2	8	834	95	96	
121	9	Re5	D5	327	327	1	4	833	95	96	çeþ
122	9	Mi5b4	E5b4	332	332	1	8	417	95	96	mi
123	9	Fa5#4	F5#4	344	344	1	8	417	95	96	ni 
124	9	Sol5	G5	349	349	3	16	625	99	96	dil
125	9	La5	A5	358	358	1	16	208	99	96	
126	9	Fa5#4	F5#4	344	344	1	16	208	99	96	
127	9	Mi5b4	E5b4	332	332	1	16	208	99	96	
128	9	Re5	D5	327	327	1	8	417	95	96	
129	9	La5	A5	358	358	1	8	417	99	96	dâr  
130	9	Sol5	G5	349	349	1	16	208	99	96	
131	9	Fa5#4	F5#4	344	344	1	16	208	99	96	
132	9	Fa5#4	F5#4	344	344	1	16	208	99	96	
133	9	Mi5b4	E5b4	332	332	1	16	208	99	96	
134	9	Mi5b4	E5b4	332	332	1	16	208	99	96	
135	9	Re5	D5	327	327	1	16	208	99	96	
136	9	Re5	D5	327	327	3	16	625	95	96	
137	9	Sol5	G5	349	349	1	16	208	95	96	SAZ 
138	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.
139	9	La5b4	A5b4	354	354	1	16	208	95	96	.
140	9	Sol5	G5	349	349	1	8	417	95	96	.
141	9	Sol5	G5	349	349	3	16	625	99	96	Ev
142	9	Fa5	F5	340	340	1	16	208	95	96	
143	9	Fa5	F5	340	340	3	16	625	99	96	vel 
144	9	Sol5	G5	349	349	1	16	208	95	96	
145	9	La5b5	A5b5	353	353	1	8	417	95	96	na
146	9	Sol5	G5	349	349	1	16	208	99	96	za
147	9	Fa5	F5	340	340	1	16	208	95	96	
148	9	Mi5b5	E5b5	331	331	1	16	208	99	96	rý 
149	9	Re5	D5	327	327	1	16	208	99	96	
150	9	Do5	C5	318	318	1	8	417	95	96	
151	9	Re5	D5	327	327	3	16	625	99	96	et
152	9	Mi5b5	E5b5	331	331	1	16	208	95	96	
153	9	Fa5	F5	340	340	1	8	417	95	96	ti 
154	9	Mi5b5	E5b5	331	331	1	16	208	99	96	be
155	9	Re5	D5	327	327	1	16	208	95	96	
156	9	Re5	D5	327	327	1	16	208	99	96	ni 
157	9	Do5	C5	318	318	1	16	208	99	96	
158	9	Si4b1	B4b1	313	313	1	16	208	99	96	
159	9	Do5	C5	318	318	1	16	208	99	96	
160	9	Re5	D5	327	327	2	8	834	95	96	
161	9	Si4b1	B4b1	313	313	1	4	833	95	96	aþ
162	9	Do5	C5	318	318	1	8	417	95	96	ka 
163	9	Re5	D5	327	327	1	8	417	95	96	gi
164	9	Fa5	F5	340	340	1	16	208	99	96	rif
165	9	Mi5b5	E5b5	331	331	1	16	208	99	96	
166	9	Re5	D5	327	327	1	16	208	99	96	
167	9	Do5	C5	318	318	1	16	208	99	96	
168	9	Si4b1	B4b1	313	313	1	16	208	99	96	
169	9	La4b4	A4b4	301	301	1	16	208	99	96	
170	9	Sol4	G4	296	296	1	8	417	95	96	
171	9	Re5	D5	327	327	1	8	417	99	96	târ  
172	9	Do5	C5	318	318	1	16	208	99	96	
173	9	Si4b1	B4b1	313	313	1	16	208	99	96	
174	9	Si4b1	B4b1	313	313	1	16	208	99	96	
175	9	La4b4	A4b4	301	301	1	16	208	99	96	
176	9	La4b4	A4b4	301	301	1	16	208	99	96	
177	9	Sol4	G4	296	296	1	16	208	99	96	
178	9	Sol4	G4	296	296	1	16	208	95	96	
179	9	La4b4	A4b4	301	301	1	16	208	95	96	SAZ 
180	9	Si4b1	B4b1	313	313	1	16	208	95	96	.
181	9	Do5	C5	318	318	1	16	208	95	96	.
182	9	Re5	D5	327	327	1	16	208	95	96	.
183	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.
184	9	Fa5	F5	340	340	1	16	208	95	96	.
185	9	Sol5	G5	349	349	1	16	208	95	96	.
186	9	Sol5	G5	349	349	3	16	625	99	96	Ev
187	9	Fa5	F5	340	340	1	16	208	95	96	
188	9	Fa5	F5	340	340	3	16	625	99	96	vel 
189	9	Sol5	G5	349	349	1	16	208	95	96	
190	9	La5b5	A5b5	353	353	1	8	417	95	96	na
191	9	Sol5	G5	349	349	1	16	208	99	96	za
192	9	Fa5	F5	340	340	1	16	208	95	96	
193	9	Mi5b5	E5b5	331	331	1	16	208	99	96	rý 
194	9	Re5	D5	327	327	1	16	208	99	96	
195	9	Do5	C5	318	318	1	8	417	95	96	
196	9	Re5	D5	327	327	3	16	625	99	96	et
197	9	Mi5b5	E5b5	331	331	1	16	208	95	96	
198	9	Fa5	F5	340	340	1	8	417	95	96	ti 
199	9	Mi5b5	E5b5	331	331	1	16	208	99	96	be
200	9	Re5	D5	327	327	1	16	208	95	96	
201	9	Re5	D5	327	327	1	16	208	99	96	ni 
202	9	Do5	C5	318	318	1	16	208	99	96	
203	9	Si4b1	B4b1	313	313	1	16	208	99	96	
204	9	Do5	C5	318	318	1	16	208	99	96	
205	9	Re5	D5	327	327	2	8	834	95	96	
206	9	Si4b1	B4b1	313	313	1	4	833	95	96	aþ
207	9	Do5	C5	318	318	1	8	417	95	96	ka 
208	9	Re5	D5	327	327	1	8	417	95	96	gi
209	9	Fa5	F5	340	340	1	16	208	99	96	rif
210	9	Mi5b5	E5b5	331	331	1	16	208	99	96	
211	9	Re5	D5	327	327	1	16	208	99	96	
212	9	Do5	C5	318	318	1	16	208	99	96	
213	9	Si4b1	B4b1	313	313	1	16	208	99	96	
214	9	La4b4	A4b4	301	301	1	16	208	99	96	
215	9	Sol4	G4	296	296	1	8	417	95	96	
216	9	Re5	D5	327	327	1	8	417	99	96	târ  
217	9	Do5	C5	318	318	1	16	208	99	96	
218	9	Si4b1	B4b1	313	313	1	16	208	99	96	
219	9	Si4b1	B4b1	313	313	1	16	208	99	96	
220	9	La4b4	A4b4	301	301	1	16	208	99	96	
221	9	La4b4	A4b4	301	301	1	16	208	99	96	
222	9	Sol4	G4	296	296	1	16	208	99	96	
223	9	Sol4	G4	296	296	3	16	625	95	96	
224	9	Do5	C5	318	318	1	16	208	95	96	SAZ 
225	9	Si4b1	B4b1	313	313	1	16	208	95	96	.
226	9	Do5	C5	318	318	1	16	208	95	96	.
227	9	Re5	D5	327	327	1	8	417	95	96	.
228	9	Do5	C5	318	318	3	16	625	99	96	Gel 
229	9	Re5	D5	327	327	1	16	208	95	96	
230	9	Re5	D5	327	327	1	4	833	95	96	ba
231	9	Mi5b4	E5b4	332	332	1	16	208	99	96	ri 
232	9	Fa5#4	F5#4	344	344	1	16	208	95	96	
