Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5#4	F5#4	344	344	1	8	312	95	96	1. HANE	0.25
2	9	Sol5	G5	349	349	3	8	938	95	96		1.0
3	9	Sol5	G5	349	349	1	16	156	95	96		1.125
4	9	Fa5#4	F5#4	344	344	1	16	156	95	96		1.25
5	9	Mi5b4	E5b4	332	332	1	16	156	95	96		1.375
6	9	Re5	D5	327	327	1	16	156	95	96		1.5
7	9	Do5	C5	318	318	1	16	156	95	96		1.625
8	9	Si4b1	B4b1	313	313	1	16	156	95	96		1.75
9	9	Do5	C5	318	318	1	8	312	95	96		2.0
10	9	Si4b1	B4b1	313	313	1	16	156	95	96		2.125
11	9	Do5	C5	318	318	1	16	156	95	96		2.25
12	9	Re5	D5	327	327	1	16	156	95	96		2.375
13	9	Mi5b4	E5b4	332	332	1	16	156	95	96		2.5
14	9	Fa5#4	F5#4	344	344	1	16	156	95	96		2.625
15	9	Sol5	G5	349	349	1	16	156	95	96		2.75
16	9	La5b4	A5b4	354	354	1	16	156	95	96		2.875
17	9	Fa5#4	F5#4	344	344	1	16	156	95	96		3.0
18	9	Sol5	G5	349	349	3	8	938	95	96		3.75
19	9	Es	Es	-1	-1	1	8	312	100	0		4.0
20	9	Fa5#4	F5#4	344	344	1	16	156	95	96		4.125
21	9	Sol5	G5	349	349	1	16	156	95	96		4.25
22	9	La5b4	A5b4	354	354	1	16	156	95	96		4.375
23	9	Si5b1	B5b1	366	366	1	16	156	95	96		4.5
24	9	Do6	C6	371	371	1	8	312	95	96		4.75
25	9	Si5b1	B5b1	366	366	1	16	156	95	96		4.875
26	9	La5b4	A5b4	354	354	1	16	156	95	96		5.0
27	9	Sol5	G5	349	349	1	16	156	95	96		5.125
28	9	La5b4	A5b4	354	354	1	16	156	95	96		5.25
29	9	Sol5	G5	349	349	1	16	156	95	96		5.375
30	9	Fa5#4	F5#4	344	344	1	16	156	95	96		5.5
31	9	Mi5b4	E5b4	332	332	1	16	156	95	96		5.625
32	9	Re5	D5	327	327	1	16	156	95	96		5.75
33	9	Mi5b4	E5b4	332	332	1	8	312	95	96		6.0
34	9	Fa5#4	F5#4	344	344	1	24	104	95	96		6.08333333333
35	9	Sol5	G5	349	349	1	24	104	95	96		6.16666666667
36	9	La5b4	A5b4	354	354	1	24	104	95	96		6.25
37	9	Sol5	G5	349	349	1	16	156	95	96		6.375
38	9	Fa5#4	F5#4	344	344	1	16	156	95	96		6.5
39	9	Fa5#4	F5#4	344	344	1	16	156	95	96		6.625
40	9	Mi5b4	E5b4	332	332	1	16	156	95	96		6.75
41	9	Mi5b4	E5b4	332	332	1	16	156	95	96		6.875
42	9	Re5	D5	327	327	1	16	156	95	96		7.0
43	9	Re5	D5	327	327	3	16	469	95	96		7.375
44	9	Mi5b4	E5b4	332	332	1	16	156	95	96		7.5
45	9	Re5	D5	327	327	1	16	156	95	96		7.625
46	9	Fa5#4	F5#4	344	344	1	16	156	95	96		7.75
47	9	Mi5b4	E5b4	332	332	1	16	156	95	96		7.875
48	9	Re5	D5	327	327	1	16	156	95	96		8.0
49	9	Do5	C5	318	318	1	16	156	95	96		8.125
50	9	Si4b1	B4b1	313	313	1	16	156	95	96		8.25
51	9	Do5	C5	318	318	1	16	156	95	96		8.375
52	9	Re5	D5	327	327	1	16	156	95	96		8.5
53	9	Mi5b4	E5b4	332	332	1	16	156	95	96		8.625
54	9	Re5	D5	327	327	1	16	156	95	96		8.75
55	9	Mi5b4	E5b4	332	332	1	16	156	95	96		8.875
56	9	Fa5#4	F5#4	344	344	1	16	156	95	96		9.0
57	9	Sol5	G5	349	349	1	16	156	95	96		9.125
58	9	Fa5#4	F5#4	344	344	1	16	156	95	96		9.25
59	9	Sol5	G5	349	349	1	16	156	95	96		9.375
60	9	La5b4	A5b4	354	354	1	16	156	95	96		9.5
61	9	Si5b1	B5b1	366	366	1	16	156	95	96		9.625
62	9	La5b4	A5b4	354	354	1	16	156	95	96		9.75
63	9	Sol5	G5	349	349	1	16	156	95	96		9.875
64	9	Fa5#4	F5#4	344	344	1	16	156	95	96		10.0
65	9	Sol5	G5	349	349	1	16	156	95	96		10.125
66	9	La5b4	A5b4	354	354	1	16	156	95	96		10.25
67	9	Si5b1	B5b1	366	366	1	16	156	95	96		10.375
68	9	Do6	C6	371	371	1	16	156	95	96		10.5
69	9	Si5b1	B5b1	366	366	1	16	156	95	96		10.625
70	9	Do6	C6	371	371	1	16	156	95	96		10.75
71	9	Si5b1	B5b1	366	366	1	16	156	95	96		10.875
72	9	La5b4	A5b4	354	354	1	16	156	95	96		11.0
73	9	Si5b1	B5b1	366	366	1	16	156	95	96		11.125
74	9	La5b4	A5b4	354	354	1	16	156	95	96		11.25
75	9	Sol5	G5	349	349	1	16	156	95	96		11.375
76	9	Fa5#4	F5#4	344	344	1	16	156	95	96		11.5
77	9	Mi5b4	E5b4	332	332	1	16	156	95	96		11.625
78	9	Re5	D5	327	327	1	16	156	95	96		11.75
79	9	Do5	C5	318	318	1	8	312	95	96		12.0
80	9	Si4b1	B4b1	313	313	1	16	156	95	96		12.125
81	9	Do5	C5	318	318	1	16	156	95	96		12.25
82	9	Re5	D5	327	327	1	16	156	95	96		12.375
83	9	Si4b1	B4b1	313	313	1	16	156	95	96		12.5
84	9	Do5	C5	318	318	3	16	469	95	96		12.875
85	9	Re5	D5	327	327	1	16	156	95	96		13.0
86	9	Mi5b4	E5b4	332	332	3	16	469	95	96		13.375
87	9	Fa5#4	F5#4	344	344	1	16	156	95	96		13.5
88	9	Sol5	G5	349	349	1	8	312	95	96		13.75
89	9	Fa5#4	F5#4	344	344	1	16	156	95	96		13.875
90	9	Mi5b4	E5b4	332	332	1	16	156	95	96		14.0
91	9	Re5	D5	327	327	1	16	156	95	96		14.125
92	9	Do5	C5	318	318	1	16	156	95	96		14.25
93	9	Do5	C5	318	318	1	16	156	95	96		14.375
94	9	Si4b1	B4b1	313	313	1	16	156	95	96		14.5
95	9	Si4b1	B4b1	313	313	1	16	156	95	96		14.625
96	9	La4b4	A4b4	301	301	1	16	156	95	96		14.75
97	9	La4b4	A4b4	301	301	1	16	156	95	96		14.875
98	9	Sol4	G4	296	296	1	16	156	95	96		15.0
99	9	Sol4	G4	296	296	3	8	938	95	96		15.75
100	9	Es	Es	-1	-1	1	8	312	100	0		16.0
101	9	Si5b1	B5b1	366	366	1	16	156	95	96	2. HANE	16.125
102	9	La5b4	A5b4	354	354	1	16	156	95	96		16.25
103	9	La5b4	A5b4	354	354	1	16	156	95	96		16.375
104	9	Sol5	G5	349	349	1	16	156	95	96		16.5
105	9	Sol5	G5	349	349	1	16	156	95	96		16.625
