Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	7	Fa5	F5	340	340	6	16	763	99	96	ARANAÐME 
2	7	Fa5	F5	340	340	4	16	508	95	96	.
3	9	Mi5	E5	336	336	1	4	508	95	96	.
4	23	Do5	C5	318	318	1	8	254	95	96	.
5	9	Do5	C5	318	318	1	8	254	95	96	.
6	9	Re5	D5	327	327	1	8	254	95	96	.
7	9	Mi5	E5	336	336	5	8	1271	95	96	.
8	9	Do5	C5	318	318	3	16	381	95	96	.
9	9	Si4	B4	314	314	1	16	127	95	96	.
10	9	La4	A4	305	305	3	8	763	95	96	.
11	9	Mi5	E5	336	336	1	16	127	95	96	.
12	9	Re5#4	D5#4	331	331	1	16	127	95	96	.
13	9	Mi5	E5	336	336	1	8	254	95	96	.
14	7	Do5	C5	318	318	4	16	508	95	96	.
15	9	Si4	B4	314	314	1	8	254	95	96	.
16	9	Re5	D5	327	327	1	16	127	95	96	.
17	9	Do5#4	C5#4	322	322	1	16	127	95	96	.
18	9	Re5	D5	327	327	1	8	254	95	96	.
19	12	Si4	B4	314	314	2	8	508	95	96	.
20	9	La4	A4	305	305	1	8	254	95	96	.
21	9	Do5	C5	318	318	1	8	254	95	96	.
22	9	Si4	B4	314	314	1	8	254	95	96	.
23	9	La4	A4	305	305	1	8	254	95	96	.
24	9	La4	A4	305	305	1	8	254	95	96	.
25	9	Sol4#4	G#4	300	300	1	8	254	95	96	.
26	9	La4	A4	305	305	1	8	254	95	96	.
27	9	Si4	B4	314	314	1	8	254	95	96	.
28	9	Do5	C5	318	318	1	8	254	95	96	.
29	9	Re5	D5	327	327	1	8	254	95	96	.
30	9	Mi5	E5	336	336	1	8	254	95	96	.
31	7	Fa5	F5	340	340	6	16	763	99	96	ARANAÐME 
32	7	Fa5	F5	340	340	4	16	508	95	96	.
33	9	Mi5	E5	336	336	1	4	508	95	96	.
34	23	Do5	C5	318	318	1	8	254	95	96	.
35	9	Do5	C5	318	318	1	8	254	95	96	.
36	9	Re5	D5	327	327	1	8	254	95	96	.
