Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	7	8	0	14	0	Devr-i Hindî (7/8)	0.0
2	9	La4	A4	305	305	1	8	556	99	96	İb	0.142857142857
3	9	Mi5	E5	336	336	1	8	556	95	96		0.285714285714
4	9	Mi5	E5	336	336	1	8	556	95	96	ti	0.428571428571
5	9	Mi5	E5	336	336	3	16	833	99	96	dâ	0.642857142857
6	9	Re5	D5	327	327	1	16	278	95	96		0.714285714286
7	9	Mi5	E5	336	336	3	32	417	99	96	dan 	0.821428571429
8	9	Re5	D5	327	327	1	32	139	99	96		0.857142857143
9	9	Do5	C5	318	318	1	8	556	95	96		1.0
10	9	Re5	D5	327	327	1	4	1111	95	96	yol 	1.28571428571
11	9	Mi5	E5	336	336	1	8	556	95	96	so	1.42857142857
12	9	Fa5	F5	340	340	1	16	278	99	96	rar	1.5
13	9	Mi5	E5	336	336	1	16	278	99	96		1.57142857143
14	9	Fa5	F5	340	340	1	16	278	99	96		1.64285714286
15	9	Sol5	G5	349	349	1	16	278	99	96		1.71428571429
16	9	Mi5	E5	336	336	1	16	278	99	96		1.78571428571
17	9	Fa5	F5	340	340	1	16	278	99	96		1.85714285714
18	9	Mi5	E5	336	336	1	16	278	99	96		1.92857142857
19	11	Re5	D5	327	327	1	16	278	95	96		2.0
20	9	Re5	D5	327	327	1	4	1111	95	96	san 	2.28571428571
21	9	Es	Es	-1	-1	1	8	556	100	0		2.42857142857
22	9	Mi5	E5	336	336	1	16	278	99	96	so	2.5
23	9	Fa5	F5	340	340	1	16	278	99	96		2.57142857143
24	9	Mi5	E5	336	336	1	16	278	99	96		2.64285714286
25	9	Re5	D5	327	327	1	16	278	95	96		2.71428571429
26	9	Do5	C5	318	318	1	16	278	99	96	fum  	2.78571428571
27	9	Si4b2	B4b1	312	313	1	16	278	99	96		2.85714285714
28	9	La4	A4	305	305	1	8	556	95	96		3.0
29	9	La4	A4	305	305	1	4	1111	95	96	Yol 	3.28571428571
30	9	Si4b1	B4b1	313	313	1	8	556	95	96	Mu	3.42857142857
31	9	Do5	C5	318	318	1	8	556	99	96	ham	3.57142857143
32	9	Si4b1	B4b1	313	313	1	16	278	99	96		3.64285714286
33	9	Do5	C5	318	318	1	16	278	95	96		3.71428571429
34	9	Re5	D5	327	327	1	4	1111	95	96	med 	4.0
35	9	Sol5	G5	349	349	1	8	556	95	96	A	4.14285714286
36	9	Sol5	G5	349	349	1	8	556	99	96	li	4.28571428571
37	9	La5	A5	358	358	1	8	556	95	96		4.42857142857
38	8	La5	A5	358	358	0	0	0	95	96		4.42857142857
39	9	Sol5	G5	349	349	1	8	556	99	96	nin	4.57142857143
40	9	Fa5	F5	340	340	1	8	556	99	96		4.71428571429
41	9	Mi5	E5	336	336	1	8	556	99	96		4.85714285714
42	9	Re5	D5	327	327	1	8	556	95	96		5.0
43	9	Do5	C5	318	318	3	8	1667	99	96	dir  	5.42857142857
44	9	Si4b2	B4b1	312	313	1	4	1111	99	96		5.71428571429
45	9	Si4b2	B4b1	312	313	3	32	417	99	96		5.82142857143
46	9	La4	A4	305	305	1	32	139	99	96		5.85714285714
47	9	Sol4	G4	296	296	1	8	556	95	96		6.0
48	9	La4	A4	305	305	1	8	556	99	96	Yet	6.14285714286
49	9	Mi5	E5	336	336	1	8	556	95	96		6.28571428571
50	9	Mi5	E5	336	336	1	8	556	95	96	miş 	6.42857142857
51	9	Mi5	E5	336	336	3	16	833	99	96	i	6.64285714286
52	9	Re5	D5	327	327	1	16	278	95	96		6.71428571429
53	9	Mi5	E5	336	336	3	32	417	99	96	ki 	6.82142857143
54	9	Re5	D5	327	327	1	32	139	99	96		6.85714285714
55	9	Do5	C5	318	318	1	8	556	95	96		7.0
56	9	Re5	D5	327	327	1	4	1111	95	96	dil 	7.28571428571
57	9	Mi5	E5	336	336	1	8	556	95	96	so	7.42857142857
58	9	Fa5	F5	340	340	1	16	278	99	96	rar	7.5
59	9	Mi5	E5	336	336	1	16	278	99	96		7.57142857143
60	9	Fa5	F5	340	340	1	16	278	99	96		7.64285714286
61	9	Sol5	G5	349	349	1	16	278	99	96		7.71428571429
62	9	Mi5	E5	336	336	1	16	278	99	96		7.78571428571
63	9	Fa5	F5	340	340	1	16	278	99	96		7.85714285714
64	9	Mi5	E5	336	336	1	16	278	99	96		7.92857142857
65	11	Re5	D5	327	327	1	16	278	95	96		8.0
66	9	Re5	D5	327	327	1	4	1111	95	96	san 	8.28571428571
67	9	Es	Es	-1	-1	1	8	556	100	0		8.42857142857
68	9	Mi5	E5	336	336	1	16	278	99	96	so	8.5
69	9	Fa5	F5	340	340	1	16	278	99	96		8.57142857143
70	9	Mi5	E5	336	336	1	16	278	99	96		8.64285714286
71	9	Re5	D5	327	327	1	16	278	95	96		8.71428571429
