Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si5b2	B5b1	365	366	1	16	217	95	96	ARANAĞME	0.0277777777778
2	9	La5	A5	358	358	1	16	217	95	96		0.0555555555556
3	9	Sol5	G5	349	349	1	16	217	95	96	.	0.0833333333333
4	9	La5	A5	358	358	1	16	217	95	96	.	0.111111111111
5	9	Sol5	G5	349	349	1	8	435	95	96	.	0.166666666667
6	9	Do6	C6	371	371	1	8	435	95	96	.	0.222222222222
7	9	Si5b2	B5b1	365	366	1	8	435	95	96	.	0.277777777778
8	9	Do6	C6	371	371	1	16	217	95	96	.	0.305555555556
9	9	Si5b2	B5b1	365	366	1	16	217	95	96	.	0.333333333333
10	9	La5	A5	358	358	1	8	435	95	96	.	0.388888888889
11	9	Si5b2	B5b1	365	366	1	16	217	95	96	.	0.416666666667
12	9	La5	A5	358	358	1	16	217	95	96	.	0.444444444444
13	9	Sol5	G5	349	349	1	8	435	95	96	.	0.5
14	9	La5	A5	358	358	1	16	217	95	96	.	0.527777777778
15	9	Sol5	G5	349	349	1	16	217	95	96	.	0.555555555556
16	9	Fa5#3	F5#4	343	344	1	8	435	95	96	.	0.611111111111
17	9	Sol5	G5	349	349	1	16	217	95	96	.	0.638888888889
18	9	Fa5#3	F5#4	343	344	1	16	217	95	96	.	0.666666666667
19	9	Mi5	E5	336	336	1	8	435	95	96	.	0.722222222222
20	9	Fa5	F5	340	340	1	16	217	95	96	.	0.75
21	9	Mi5	E5	336	336	1	16	217	95	96	.	0.777777777778
22	9	Re5	D5	327	327	1	8	435	95	96	.	0.833333333333
23	9	Mi5	E5	336	336	1	16	217	95	96	.	0.861111111111
24	9	Fa5	F5	340	340	1	16	217	95	96	.	0.888888888889
25	9	Mi5	E5	336	336	1	16	217	95	96	.	0.916666666667
26	9	Re5	D5	327	327	1	16	217	95	96	.	0.944444444444
27	9	Do5	C5	318	318	1	8	435	95	96	.	1.0
28	9	Re5	D5	327	327	1	16	217	95	96	.	1.02777777778
29	9	Do5	C5	318	318	1	16	217	95	96	.	1.05555555556
30	9	Si4b2	B4b1	312	313	1	16	217	95	96	.	1.08333333333
31	9	Do5	C5	318	318	1	16	217	95	96	.	1.11111111111
32	9	Re5	D5	327	327	1	8	435	95	96	.	1.16666666667
33	9	Mi5	E5	336	336	1	16	217	95	96	.	1.19444444444
34	9	Fa5#3	F5#4	343	344	1	16	217	95	96	.	1.22222222222
35	9	La5	A5	358	358	1	16	217	95	96	.	1.25
36	9	Sol5	G5	349	349	1	16	217	95	96	.	1.27777777778
