Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	3	8	938	95	96	Bak 	0.300000
2	9	Mi5	E5	336	336	1	4	625	95	96	şu 	0.500000
3	9	Mi5	E5	336	336	1	4	625	95	96	gü	0.700000
4	9	Mi5	E5	336	336	1	4	625	99	96	zel 	0.900000
5	9	Do5	C5	318	318	1	8	312	95	96		1.000000
6	9	Re5	D5	327	327	1	4	625	99	96	köy	1.200000
7	9	Do5	C5	318	318	1	8	312	95	96		1.300000
8	9	Do5	C5	318	318	1	8	312	99	96	lü	1.400000
9	9	Si4b2	B4b1	312	313	1	8	312	95	96		1.500000
10	9	Si4b2	B4b1	312	313	1	8	312	99	96	ye 	1.600000
11	9	La4	A4	305	305	1	8	312	99	96		1.700000
12	9	La4	A4	305	305	3	8	938	95	96		2.000000
13	9	Re5	D5	327	327	3	8	938	95	96	iş	2.300000
14	9	Mi5	E5	336	336	1	4	625	95	96	te 	2.500000
15	9	Fa5#3	F5#4	343	344	1	4	625	95	96	bu 	2.700000
16	9	La5	A5	358	358	1	4	625	99	96	kız	2.900000
17	9	Sol5	G5	349	349	1	8	312	95	96		3.000000
18	9	Sol5	G5	349	349	1	4	625	99	96	dır 	3.200000
19	9	Fa5#3	F5#4	343	344	1	8	312	95	96		3.300000
20	9	Fa5#3	F5#4	343	344	1	8	312	99	96	pe	3.400000
21	9	Mi5	E5	336	336	1	8	312	95	96		3.500000
22	9	Mi5	E5	336	336	5	8	1563	95	96	ri  	4.000000
23	9	Mi5	E5	336	336	1	4	625	95	96	SAZ	4.200000
24	9	Fa5	F5	340	340	1	8	312	95	96	.	4.300000
25	9	Mi5	E5	336	336	1	8	312	95	96	.	4.400000
26	9	Re5	D5	327	327	1	8	312	95	96	.	4.500000
27	9	Do5	C5	318	318	1	8	312	95	96	.	4.600000
28	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	4.700000
29	9	La4	A4	305	305	3	8	938	95	96	.	5.000000
30	9	Re5	D5	327	327	3	8	938	95	96	Bak 	5.300000
31	9	Mi5	E5	336	336	1	4	625	95	96	şu 	5.500000
32	9	Mi5	E5	336	336	1	4	625	95	96	gü	5.700000
33	9	Mi5	E5	336	336	1	4	625	99	96	zel 	5.900000
34	9	Do5	C5	318	318	1	8	312	95	96		6.000000
35	9	Re5	D5	327	327	1	4	625	99	96	köy	6.200000
36	9	Do5	C5	318	318	1	8	312	95	96		6.300000
37	9	Do5	C5	318	318	1	8	312	99	96	lü	6.400000
38	9	Si4b2	B4b1	312	313	1	8	312	95	96		6.500000
39	9	Si4b2	B4b1	312	313	1	8	312	99	96	ye 	6.600000
40	9	La4	A4	305	305	1	8	312	99	96		6.700000
41	9	La4	A4	305	305	3	8	938	95	96		7.000000
42	9	Re5	D5	327	327	3	8	938	95	96	iş	7.300000
43	9	Mi5	E5	336	336	1	4	625	95	96	te 	7.500000
44	9	Fa5#3	F5#4	343	344	1	4	625	95	96	bu 	7.700000
45	9	La5	A5	358	358	1	4	625	99	96	kız	7.900000
46	9	Sol5	G5	349	349	1	8	312	95	96		8.000000
47	9	Sol5	G5	349	349	1	4	625	99	96	dır 	8.200000
48	9	Fa5#3	F5#4	343	344	1	8	312	95	96		8.300000
49	9	Fa5#3	F5#4	343	344	1	8	312	99	96	pe	8.400000
50	9	Mi5	E5	336	336	1	8	312	95	96		8.500000
51	9	Mi5	E5	336	336	5	8	1563	95	96	ri  	9.000000
52	9	Es	Es	-1	-1	1	4	625	100	0		9.200000
53	9	Sol5	G5	349	349	1	8	312	95	96	SAZ	9.300000
54	9	Fa5#3	F5#4	343	344	1	8	312	95	96	.	9.400000
55	9	Mi5	E5	336	336	1	8	312	95	96	.	9.500000
56	9	Fa5#3	F5#4	343	344	1	8	312	95	96	.	9.600000
57	9	Sol5	G5	349	349	1	8	312	95	96	.	9.700000
58	9	La5	A5	358	358	3	8	938	95	96	.	10.000000
59	9	Sol5	G5	349	349	3	8	938	95	96	Top	10.300000
60	9	La5	A5	358	358	1	4	625	95	96	rak 	10.500000
61	9	La5	A5	358	358	1	4	625	95	96	i	10.700000
62	9	La5	A5	358	358	1	4	625	99	96	le 	10.900000
63	9	Mi5	E5	336	336	1	8	312	95	96		11.000000
64	9	Mi5	E5	336	336	1	4	625	99	96	oy	11.200000
65	9	Fa5#3	F5#4	343	344	1	8	312	95	96		11.300000
66	9	Sol5	G5	349	349	1	8	312	99	96	na	11.400000
67	9	La5	A5	358	358	1	8	312	95	96		11.500000
68	9	La5	A5	358	358	1	8	312	99	96	mış 	11.600000
69	9	Sol5	G5	349	349	1	8	312	99	96		11.700000
70	9	Fa5	F5	340	340	1	8	312	99	96		11.800000
71	9	Mi5	E5	336	336	1	8	312	99	96		11.900000
72	9	Re5	D5	327	327	1	8	312	95	96		12.000000
73	9	La5	A5	358	358	1	4	625	99	96	bel	12.200000
74	9	Sol5	G5	349	349	1	8	312	95	96		12.300000
75	9	Sol5	G5	349	349	1	8	312	99	96	li 	12.400000
76	9	Fa5	F5	340	340	1	8	312	95	96		12.500000
77	9	Fa5	F5	340	340	1	8	312	99	96	gü	12.600000
78	9	Mi5	E5	336	336	1	8	312	95	96		12.700000
79	9	Mi5	E5	336	336	1	4	625	99	96	zel 	12.900000
80	9	Re5	D5	327	327	1	8	312	95	96		13.000000
81	9	Re5	D5	327	327	1	4	625	99	96	el	13.200000
82	9	Mi5	E5	336	336	1	8	312	95	96		13.300000
83	9	Mi5	E5	336	336	1	8	312	99	96	le	13.400000
84	9	Re5	D5	327	327	1	8	312	95	96		13.500000
85	9	Do5	C5	318	318	1	8	312	99	96	ri  	13.600000
86	9	Si4b2	B4b1	312	313	1	8	312	99	96		13.700000
87	9	Do5	C5	318	318	3	8	938	95	96		14.000000
88	9	Es	Es	-1	-1	1	4	625	100	0		14.200000
89	9	Fa5	F5	340	340	1	8	312	95	96	SAZ	14.300000
90	9	Mi5	E5	336	336	1	8	312	95	96	.	14.400000
91	9	Re5	D5	327	327	1	8	312	95	96	.	14.500000
92	9	Do5	C5	318	318	1	8	312	95	96	.	14.600000
93	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	14.700000
94	9	Do5	C5	318	318	3	8	938	95	96	.	15.000000
95	9	Re5	D5	327	327	3	8	938	95	96	Top	15.300000
96	9	Mi5	E5	336	336	1	4	625	95	96	rak 	15.500000
97	9	Mi5	E5	336	336	1	4	625	95	96	i	15.700000
98	9	Mi5	E5	336	336	1	4	625	99	96	le 	15.900000
99	9	Do5	C5	318	318	1	8	312	95	96		16.000000
100	9	Re5	D5	327	327	1	4	625	99	96	oy	16.200000
101	9	Do5	C5	318	318	1	8	312	95	96		16.300000
102	9	Do5	C5	318	318	1	8	312	99	96	na	16.400000
103	9	Si4b2	B4b1	312	313	1	8	312	95	96		16.500000
104	9	Si4b2	B4b1	312	313	1	8	312	99	96	mış 	16.600000
105	9	La4	A4	305	305	1	8	312	99	96		16.700000
106	9	La4	A4	305	305	3	8	938	95	96		17.000000
107	9	Sol5	G5	349	349	3	8	938	95	96	bel	17.300000
108	9	La5	A5	358	358	1	4	625	95	96	li 	17.500000
