Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	8	8	0	19	0	Müsemmen	0.0
2	9	Sol5	G5	349	349	1	8	500	99	108	Hem 	0.125
3	9	Fa5#3	F5#4	343	344	1	8	500	95	108		0.25
4	9	Sol5	G5	349	349	1	24	167	95	96	ce	0.291666666667
5	9	Fa5#3	F5#4	343	344	1	24	167	95	96		0.333333333333
6	9	Mi5	E5	336	336	1	24	167	95	96		0.375
7	8	Fa5	F5	340	340	0	0	0	95	114		0.375
8	9	Mi5	E5	336	336	1	4	1000	95	113	ma	0.625
9	10	Mi5	E5	336	336	1	8	500	99	112	lin 	0.75
10	8	Fa5	F5	340	340	0	0	0	99	111		0.75
11	9	Mi5	E5	336	336	1	8	500	99	110		0.875
12	9	Re5	D5	327	327	1	8	500	95	109		1.0
13	9	Re5	D5	327	327	3	32	375	99	108	gös	1.09375
14	9	Mi5	E5	336	336	1	32	125	99	96		1.125
15	9	Re5	D5	327	327	1	8	500	95	96		1.25
16	9	Mi5	E5	336	336	1	8	500	95	96	te	1.375
17	9	Mi5	E5	336	336	1	8	500	99	96	rip 	1.5
18	9	Re5	D5	327	327	1	16	250	99	96		1.5625
19	9	Do5	C5	318	318	1	16	250	95	96		1.625
20	10	Re5	D5	327	327	1	8	500	99	96	çek	1.75
21	8	Mi5	E5	336	336	0	0	0	99	96		1.75
22	9	Re5	D5	327	327	1	8	500	99	96		1.875
23	9	Mi5	E5	336	336	1	8	500	95	96		2.0
24	10	Do5	C5	318	318	1	8	500	99	96	mek 	2.125
25	8	Re5	D5	327	327	0	0	0	99	96		2.125
26	9	Do5	C5	318	318	1	8	500	95	96		2.25
27	9	Re5	D5	327	327	1	8	500	95	96	o	2.375
28	9	Mi5	E5	336	336	1	8	500	99	96	lur 	2.5
29	9	Re5	D5	327	327	1	16	250	99	96		2.5625
30	9	Do5	C5	318	318	1	16	250	95	96		2.625
31	9	Re5	D5	327	327	1	8	500	99	96	mu 	2.75
32	9	Do5	C5	318	318	1	24	167	99	96		2.79166666667
33	9	Si4b2	B4b1	312	313	1	24	167	99	96		2.83333333333
34	9	La4	A4	305	305	1	24	167	99	96		2.875
35	9	La4	A4	305	305	1	8	500	95	114		3.0
36	10	Re5	D5	327	327	1	8	500	99	114	ken	3.125
37	8	Mi5	E5	336	336	0	0	0	99	114		3.125
38	9	Re5	D5	327	327	1	8	500	95	114		3.25
39	9	Mi5	E5	336	336	1	8	500	95	114	di	3.375
40	9	Mi5	E5	336	336	1	4	1000	95	114	ni 	3.625
41	9	La5	A5	358	358	3	32	375	99	114	çek	3.71875
42	9	Sol5	G5	349	349	1	32	125	99	96		3.75
43	9	Fa5#3	F5#4	343	344	1	16	250	99	96		3.8125
44	9	Mi5	E5	336	336	1	16	250	99	96		3.875
45	9	Re5	D5	327	327	1	8	500	95	96		4.0
46	9	Sol5	G5	349	349	1	8	500	99	96	mek 	4.125
47	9	Fa5#3	F5#4	343	344	1	8	500	95	96		4.25
48	9	Sol5	G5	349	349	1	8	500	95	96	o	4.375
49	9	La5	A5	358	358	1	8	500	99	96	lur 	4.5
50	8	Do6	C6	371	371	0	0	0	99	96		4.5
51	9	Si5b1	B5b1	366	366	1	16	250	99	96		4.5625
52	9	La5	A5	358	358	1	16	250	95	96		4.625
53	9	Sol5	G5	349	349	3	32	375	99	96	mu 	4.71875
54	10	Fa5#3	F5#4	343	344	1	32	125	99	96		4.75
55	8	Sol5	G5	349	349	0	0	0	99	96		4.75
56	9	Fa5#3	F5#4	343	344	1	16	250	99	96		4.8125
57	10	Mi5	E5	336	336	1	16	250	99	96		4.875
58	8	Fa5#3	F5#4	343	344	0	0	0	99	96		4.875
59	9	Mi5	E5	336	336	1	8	500	95	96		5.0
60	10	Re5	D5	327	327	1	8	500	99	96	ken	5.125
61	8	Mi5	E5	336	336	0	0	0	99	96		5.125
62	9	Re5	D5	327	327	1	8	500	95	96		5.25
63	9	Mi5	E5	336	336	1	8	500	95	96	di	5.375
64	9	Mi5	E5	336	336	1	4	1000	95	96	ni  	5.625
65	9	Mi5	E5	336	336	1	16	250	95	96	SAZ	5.6875
66	9	Re5	D5	327	327	1	16	250	95	96	.	5.75
67	9	Do5	C5	318	318	1	16	250	95	96	.	5.8125
68	9	Si4b2	B4b1	312	313	1	32	125	95	96	.	5.84375
69	9	La4	A4	305	305	1	32	125	95	96	.	5.875
70	9	La4	A4	305	305	1	8	500	95	96	.	6.0
71	9	Sol5	G5	349	349	1	8	500	99	108	Hem 	6.125
72	9	Fa5#3	F5#4	343	344	1	8	500	95	108		6.25
73	9	Sol5	G5	349	349	1	24	167	95	96	ce	6.29166666667
74	9	Fa5#3	F5#4	343	344	1	24	167	95	96		6.33333333333
75	9	Mi5	E5	336	336	1	24	167	95	96		6.375
76	8	Fa5	F5	340	340	0	0	0	95	114		6.375
77	9	Mi5	E5	336	336	1	4	1000	95	113	ma	6.625
78	10	Mi5	E5	336	336	1	8	500	99	112	lin 	6.75
79	8	Fa5	F5	340	340	0	0	0	99	111		6.75
80	9	Mi5	E5	336	336	1	8	500	99	110		6.875
81	9	Re5	D5	327	327	1	8	500	95	109		7.0
82	9	Re5	D5	327	327	3	32	375	99	108	gös	7.09375
83	9	Mi5	E5	336	336	1	32	125	99	96		7.125
