Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	4	625	95	96	ARANAĞME	0.166667
2	9	Re5	D5	327	327	1	4	625	95	96	.	0.333333
3	9	Mi5	E5	336	336	1	4	625	95	96	.	0.500000
4	9	Re5	D5	327	327	1	4	625	95	96	.	0.666667
5	9	Mi5	E5	336	336	3	8	938	95	96	.	0.916667
6	9	Es	Es	-1	-1	1	8	312	100	0	.	1.000000
7	9	Sol5	G5	349	349	3	8	938	95	96	.	1.250000
8	9	Mi5	E5	336	336	1	8	312	95	96	.	1.333333
9	9	Mi5	E5	336	336	1	8	312	95	96	.	1.416667
10	9	Re5	D5	327	327	1	8	312	95	96	.	1.500000
11	9	Re5	D5	327	327	1	8	312	95	96	.	1.583333
12	9	Do5	C5	318	318	1	8	312	95	96	.	1.666667
13	8	Mi5	E5	336	336	0	0	0	95	96	.	1.666667
14	9	Re5	D5	327	327	1	4	625	95	96	.	1.833333
15	9	Es	Es	-1	-1	1	4	625	100	0	.	2.000000
16	9	Mi5	E5	336	336	3	8	938	95	96	.	2.250000
17	9	Re5	D5	327	327	1	8	312	95	96	.	2.333333
18	9	Re5	D5	327	327	1	8	312	95	96	.	2.416667
19	9	Do5	C5	318	318	1	8	312	95	96	.	2.500000
20	9	Do5	C5	318	318	1	8	312	95	96	.	2.583333
21	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	2.666667
22	9	Do5	C5	318	318	3	8	938	95	96	.	2.916667
23	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	3.000000
24	9	Mi5	E5	336	336	1	8	312	95	96	.	3.083333
25	9	Re5	D5	327	327	1	8	312	95	96	.	3.166667
26	9	Do5	C5	318	318	1	8	312	95	96	.	3.250000
27	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	3.333333
28	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	3.416667
29	9	La4	A4	305	305	1	8	312	95	96	.	3.500000
30	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	3.583333
31	9	La4	A4	305	305	1	8	312	95	96	.	3.666667
32	9	La4	A4	305	305	3	8	938	95	96	.	3.916667
33	9	Es	Es	-1	-1	1	8	312	100	0		4.000000
34	9	Do5	C5	318	318	1	4	625	95	96	ARANAĞME	4.166667
35	9	Re5	D5	327	327	1	4	625	95	96	.	4.333333
36	9	Mi5	E5	336	336	1	4	625	95	96	.	4.500000
37	9	Re5	D5	327	327	1	4	625	95	96	.	4.666667
38	9	Mi5	E5	336	336	3	8	938	95	96	.	4.916667
39	9	Es	Es	-1	-1	1	8	312	100	0	.	5.000000
40	9	Sol5	G5	349	349	3	8	938	95	96	.	5.250000
41	9	Mi5	E5	336	336	1	8	312	95	96	.	5.333333
42	9	Mi5	E5	336	336	1	8	312	95	96	.	5.416667
43	9	Re5	D5	327	327	1	8	312	95	96	.	5.500000
44	9	Re5	D5	327	327	1	8	312	95	96	.	5.583333
45	9	Do5	C5	318	318	1	8	312	95	96	.	5.666667
46	8	Mi5	E5	336	336	0	0	0	95	96	.	5.666667
47	9	Re5	D5	327	327	1	4	625	95	96	.	5.833333
48	9	Es	Es	-1	-1	1	4	625	100	0	.	6.000000
49	9	Mi5	E5	336	336	3	8	938	95	96	.	6.250000
50	9	Re5	D5	327	327	1	8	312	95	96	.	6.333333
51	9	Re5	D5	327	327	1	8	312	95	96	.	6.416667
52	9	Do5	C5	318	318	1	8	312	95	96	.	6.500000
53	9	Do5	C5	318	318	1	8	312	95	96	.	6.583333
54	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	6.666667
55	9	Do5	C5	318	318	3	8	938	95	96	.	6.916667
56	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	7.000000
57	9	Mi5	E5	336	336	1	8	312	95	96	.	7.083333
58	9	Re5	D5	327	327	1	8	312	95	96	.	7.166667
59	9	Do5	C5	318	318	1	8	312	95	96	.	7.250000
60	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	7.333333
61	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	7.416667
62	9	La4	A4	305	305	1	8	312	95	96	.	7.500000
63	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	7.583333
64	9	La4	A4	305	305	1	8	312	95	96	.	7.666667
65	9	La4	A4	305	305	3	8	938	95	96	.	7.916667
66	9	Es	Es	-1	-1	1	8	312	100	0		8.000000
67	9	Re5	D5	327	327	1	4	625	95	96	Sen	8.166667
68	9	Re5	D5	327	327	1	4	625	95	96	den 	8.333333
69	9	Mi5	E5	336	336	1	4	625	95	96	bi	8.500000
70	9	Mi5	E5	336	336	1	4	625	95	96	li	8.666667
71	9	Mi5	E5	336	336	1	2	1250	95	96	rim 	9.000000
72	9	Mi5	E5	336	336	1	8	312	99	96	yok 	9.083333
73	9	Fa5	F5	340	340	1	8	312	99	96		9.166667
74	9	Mi5	E5	336	336	1	8	312	99	96		9.250000
75	9	Re5	D5	327	327	1	8	312	95	96		9.333333
76	9	Re5	D5	327	327	1	8	312	99	96	ba	9.416667
77	9	Mi5	E5	336	336	1	8	312	95	96		9.500000
78	9	Re5	D5	327	327	1	8	312	99	96	na 	9.583333
79	9	Do5	C5	318	318	1	8	312	95	96		9.666667
80	9	Do5	C5	318	318	1	2	1250	95	96	bir 	10.000000
81	9	Re5	D5	327	327	3	8	938	99	96	fa	10.250000
82	9	Mi5	E5	336	336	1	8	312	95	96		10.333330
83	9	Re5	D5	327	327	1	8	312	99	96	i	10.416670
84	9	Do5	C5	318	318	1	8	312	95	96		10.500000
85	9	Do5	C5	318	318	1	8	312	99	96	de 	10.583330
86	9	Si4b2	B4b1	312	313	1	8	312	95	96		10.666670
87	9	Si4b2	B4b1	312	313	1	8	312	99	96	ey 	10.750000
88	9	La4	A4	305	305	1	8	312	99	96		10.833330
89	8	Do5	C5	318	318	0	0	0	99	96		10.833330
90	9	Si4b2	B4b1	312	313	1	8	312	99	96		10.916670
91	9	La4	A4	305	305	1	8	312	95	96		11.000000
92	9	La4	A4	305	305	1	4	625	99	96	gül  	11.166670
93	9	Si4b2	B4b1	312	313	1	4	625	99	96		11.333330
94	9	Do5	C5	318	318	1	4	625	99	96		11.500000
95	9	Re5	D5	327	327	1	4	625	99	96		11.666670
96	9	Mi5	E5	336	336	1	2	1250	95	96		12.000000
97	9	Re5	D5	327	327	1	2	1250	95	96	fa	12.333330
98	9	La5	A5	358	358	1	8	312	99	96	i	12.416670
99	9	Sol5	G5	349	349	1	8	312	95	96		12.500000
100	9	Sol5	G5	349	349	1	8	312	99	96	de 	12.583330
101	9	Fa5#3	F5#4	343	344	1	8	312	95	96		12.666670
102	9	Fa5#3	F5#4	343	344	1	8	312	99	96	ey 	12.750000
103	9	Mi5	E5	336	336	1	8	312	99	96		12.833330
104	8	Sol5	G5	349	349	0	0	0	99	96		12.833330
105	9	Fa5#3	F5#4	343	344	1	8	312	99	96		12.916670
106	9	Mi5	E5	336	336	1	8	312	95	96		13.000000
107	9	Mi5	E5	336	336	3	8	938	95	96	gül  	13.250000
108	9	Fa5	F5	340	340	1	8	312	95	96	SAZ	13.333330
109	9	Mi5	E5	336	336	1	8	312	95	96	.	13.416670
110	9	Re5	D5	327	327	1	8	312	95	96	.	13.500000
111	9	Do5	C5	318	318	1	8	312	95	96	.	13.583330
